Topic,Tweets,Date,Number,Permalink
,@DukeEnergy What about Windermere area?,2017-09-11 ,1,https://twitter.com/Isnelmar/status/907323685136105472
,What about the New port richey area or Holiday area,2017-09-13 ,1,https://twitter.com/c0lby2/status/908060512298172416
,Click on the shaded area around for more info and what they have done in that area ..,2017-09-13 ,1,https://twitter.com/Krypto_1D/status/907984995888893953
,#BoyntonBeach outage Congress and Gateway area,2017-09-06 ,1,https://twitter.com/Michael_Ivory65/status/905491166921187329
,@insideFPL please get power back on in the Brownsville area,2017-09-12 ,1,https://twitter.com/galaxx_y/status/907583535120338944
,34983 area out. When do you anticipate power in this area? We cannot get any information,2017-09-11 ,1,https://twitter.com/kazroxx/status/907255193124962305
,@DukeEnergy no damages in my area but still no power??? This is why monopolies shouldnt exist,2017-09-13 ,1,https://twitter.com/danielle1nonli/status/907945213733359618
,"Anyone in the Jamestown area of altamonte that can confirm @DukeEnergy is in the area, since they can't seem to confirm it themselves?",2017-09-18 ,1,https://twitter.com/XanderRich/status/909857212322996224
,What area is this 375k restored?????,2017-09-12 ,1,https://twitter.com/ureadyftness/status/907690345974177792
,When will that be for Mandarin Road area!!??????? It's been 5 days and no one hardly working the area.,2017-09-14 ,1,https://twitter.com/issa_odeh/status/908325544483328000
,Any trucks in your area?,2017-09-15 ,1,https://twitter.com/Butch964/status/908890839665037312
,No trucks in Daytona area,2017-09-12 ,1,https://twitter.com/Dawndaller/status/907707666612584449
,And IF they are working in our area.,2017-09-13 ,1,https://twitter.com/keyshaszone/status/908110859376975872
,No one is working to give power to this area. Area has more customers than any other area but GRU doesn't care. WHAT GREAT SERVICE,2017-09-15 ,1,https://twitter.com/Gangrell84/status/908805021470531584
,Same in our area - fpl rep claimed they were routing the power to another area.,2017-09-12 ,1,https://twitter.com/S_Wolf67/status/907778698656587781
,"@DukeEnergy On your outage map, there's no triangles on my area even though I have reported the whole area is down. Hernando County",2017-09-14 ,1,https://twitter.com/CallMeGNR/status/908472861328904192
,What area is the top btw so I know where I stand ??,2017-09-12 ,1,https://twitter.com/Candaces407/status/907670458371375104
,Anyone know about our area?,2017-09-11 ,1,https://twitter.com/paulsont/status/907321116506681344
,Any work in the Wedgefield area?,2017-09-12 ,1,https://twitter.com/RebeccaGBess/status/907659054385856512
,Aye but what about our area? Any update?,2017-09-11 ,1,https://twitter.com/BoatsLaa/status/907296623457443841
,Anyone have an update on Terra Verde Resort area?,2017-09-12 ,1,https://twitter.com/aDAMgehMAN21/status/907657553571610624
,"In each area appoint a person to relay: ER services, then this area, then this area...At least people will know where they sit.",2017-09-12 ,1,https://twitter.com/Awest76nSC/status/907679718228590592
,"why is it growing and not going down? 4,016 5,955 NOW 6500 AREA N1.. And why ??????",2017-09-13 ,1,https://twitter.com/justah_voice/status/907983819839606784
,But there are no crews in the area,2017-09-18 ,1,https://twitter.com/mahilena/status/909861603822247941
,"GRU working hard in every area other than NW GNV. They have no trucks or crews in that area, claim that area ""too difficult"" to restore.",2017-09-14 ,1,https://twitter.com/Gangrell84/status/908388372510646275
,71st and Rue Vendome area has not power!! Many section 8 and elderly live in the area. Please help us,2017-09-16 ,1,https://twitter.com/LaMiss305/status/909058204524584962
,"Called in and was informed the first alert for my area was only this morning. My area has been down since Sunday, have my alert from then",2017-09-15 ,1,https://twitter.com/Tigerhawk247/status/908740198133043201
,Can you define the border area you are referring to? Street names please,2017-09-17 ,1,https://twitter.com/BeachBum410/status/909459662621364225
,Same here... not one truck in my area.,2017-09-12 ,1,https://twitter.com/KonstantinMetz/status/907726822305140736
,Any report for the Melbourne area?,2017-09-12 ,1,https://twitter.com/Trashalope/status/907486925057130497
,When will you be getting to the Cleveland Heights area S7?,2017-09-13 ,1,https://twitter.com/VeruskaSuarez/status/907959099794452480
,But not in my area!! Only 50 houses in my area with no power!,2017-09-15 ,1,https://twitter.com/ThaisH83/status/908760318607847424
,Where is the help? Wekiva area is still out of power.,2017-09-13 ,1,https://twitter.com/KalinichMylene/status/907943168280338433
,We are still without power in the @MarlinsPark area. Please help.,2017-09-14 ,1,https://twitter.com/TurnerKnowsThat/status/908381004397772806
,What is the western part of your service area??????????,2017-09-12 ,1,https://twitter.com/JJSmilz727/status/907709704088047617
,@DukeEnergy It's been 7 days without power in the goldenrod area and I still haven't seen anyone in my area working on anything. What's up?,2017-09-16 ,1,https://twitter.com/johnjohn_sports/status/909204169541767168
,"You shouldn't move to anther area until that area is totally back on, in The Roads there are no FPL trucks working",2017-09-12 ,1,https://twitter.com/amsantarelli/status/907695731338891264
,Can you give a status for the baymeadows area?,2017-09-12 ,1,https://twitter.com/cfrizze/status/907604250133397505
,"still 5,955 last night it was 4,016.... In 1 area only....",2017-09-13 ,1,https://twitter.com/justah_voice/status/907946086052106240
,What area do you live in?,2017-09-22 ,1,https://twitter.com/ABC7Jeff/status/911337161005391872
,What area do u live in,2017-09-14 ,1,https://twitter.com/Dweezy07/status/908441090566606848
,Irma exited the area hours ago. How is it the power co. with the fewest customers in the area still has no timeframe and the other two do?,2017-09-11 ,1,https://twitter.com/malevolentmuse/status/907267270442983424
,Not in my area. Good bye,2017-09-14 ,1,https://twitter.com/bertm1975/status/908324313392132102
,Day 5 without power... Made it to Avondale area yet?,2017-09-14 ,1,https://twitter.com/iWrite4orU_LRW/status/908358444394205189
,What area will there be extended outages ?,2017-09-12 ,1,https://twitter.com/AllHailQween/status/907630745530777600
,What area will there be extended outages ?,2017-09-11 ,1,https://twitter.com/AllHailQween/status/907320085072752640
,"They have to be in the area first. Baby Steps, you know, get a crew to the area first.",2017-09-16 ,1,https://twitter.com/kjlamborn/status/909253034533933057
,@insideFPL THANK YOU! We have power in my area of WPB again,2017-09-11 ,1,https://twitter.com/PRAtlanta2009/status/907369776988786688
,So does it for our area.,2017-09-16 ,1,https://twitter.com/REtweet_mylink/status/909061766885384192
,Does this affect the 34744 area?!,2017-09-12 ,1,https://twitter.com/YukiChanCosplay/status/907668145137123330
,My street is the only one in this area that has power...,2017-09-13 ,1,https://twitter.com/rossd392/status/908090046410055680
,@DukeEnergy I have watched as power has been restored to every neighboring area but ours. Why skip us??,2017-09-14 ,1,https://twitter.com/Matthew69846941/status/908301446675910658
,@DukeEnergy I work for 2 radio stations in the Orlando area and can put you guys on blast to listeners in the area just so u know,2017-09-19 ,1,https://twitter.com/DaniesARascal/status/910118009750134784
,Candyland park area is still out.,2017-09-17 ,1,https://twitter.com/craigmac24/status/909409880427188224
,Doesn't show anything except we are in red area,2017-09-12 ,1,https://twitter.com/Lyssie1976/status/907615013426393090
,"How long for my area, Goldenrod and curry Ford?",2017-09-13 ,1,https://twitter.com/p356921c/status/907913703076622337
,How long for casselberry area please,2017-09-11 ,1,https://twitter.com/dannys_Js/status/907348492305227788
,@insideFPL come to the 33168 area paleaaseee,2017-09-11 ,1,https://twitter.com/therealbrooke__/status/907452124891676672
,"What's does ""my area"" mean? I've been told this before and my area means the entire county, and ho do you know what area of Pinellas I am in",2017-09-18 ,1,https://twitter.com/Matt_Hickman_/status/909809462013243397
,"5,955 in 1 area with no lights. #BLESS_KATHLEEN_SWINDELL",2017-09-13 ,1,https://twitter.com/justah_voice/status/907939059791785985
,Any news of 33455 area?,2017-09-12 ,1,https://twitter.com/hblakesl/status/907671062732828674
,Any news for the Wellington area,2017-09-11 ,1,https://twitter.com/lpappala/status/907334038997934081
,"If you are the only one in your area without power, please report the outage again to 352-334-2871.",2017-09-15 ,1,https://twitter.com/GRUStormCentral/status/908798405777907712
,@insideFPL any update on power in area of 33177 / cutler ridge?,2017-09-10 ,1,https://twitter.com/tubby34/status/907079009443381249
,@mylkldelectric 5955 homes in 1 area...The largest area in all of Lakeland with no power. Also the BLACKEST ??,2017-09-13 ,1,https://twitter.com/justah_voice/status/907937948867407873
,Same here. The area of Sheridan and 46th Ave.,2017-09-12 ,1,https://twitter.com/CapnCristo/status/907660400010907650
,"How about Orlando, UCF area?",2017-09-12 ,1,https://twitter.com/PayPalx10/status/907734007265325057
,Which area. Still waiting,2017-09-11 ,1,https://twitter.com/DFSSpot/status/907238509693554688
,@DukeEnergy when are you restoring power for the 82nd st area in seminole? We have been out well every area around us is getting it back.,2017-09-13 ,1,https://twitter.com/SeanDockham/status/908090807453962243
,"Please give a an update area by area, I haven't had power since 6:30am yesterday here in Loxahatchee. It's getting hot",2017-09-11 ,1,https://twitter.com/curlyapple06/status/907364801717948419
,@insideFPL Any updates on the Plantation area?,2017-09-11 ,1,https://twitter.com/Millett01/status/907133116904562688
,Hopping on this because I am also without power in this area. It's been a week,2017-09-16 ,1,https://twitter.com/DaniesARascal/status/909244378316763136
,NOTHING here in the Tyrone - Kenneth City area... :(,2017-09-12 ,1,https://twitter.com/Masecliosis/status/907718216633470976
,"Yup. And I'm in an area where they say power ""should"" be on. Worthless.",2017-09-16 ,1,https://twitter.com/Awesomenessly00/status/909132479587651590
,They were in my area for two days just chilling. This is torture,2017-09-13 ,1,https://twitter.com/MissyJo59534605/status/908038831563255809
,@DukeEnergy what’s going on in 27518 area? No power,2017-09-30 ,1,https://twitter.com/amgolfer69/status/914108785656045568
,@DukeEnergy when is my area is going to have power???,2017-09-14 ,1,https://twitter.com/p356921c/status/908290690043531264
,Is power restored throughout Maitland? What area of Maitland has power?,2017-09-15 ,1,https://twitter.com/rbk525/status/908870055466819590
,@DukeEnergy any updates with Poinciana area?,2017-09-11 ,1,https://twitter.com/Blushfulnebula/status/907373402293448705
,I don't see no trucks around my area,2017-09-12 ,1,https://twitter.com/deeznuts114/status/907647947365593088
,No ma'am/sir... There were no down lines in the area so why do we have to wait so long?! The surrounding area has power so should we.,2017-09-11 ,1,https://twitter.com/EYEAMLISALOVE/status/907312646231351296
,I so appreciate your coverage and concern for residence in this area. Keep it up.,2017-09-10 ,1,https://twitter.com/GregoryOhl/status/906904673571008512
,- and I have yet to see people working on anything in my area.,2017-09-11 ,1,https://twitter.com/hobishq/status/907356029637283840
,Where in Springs are you? I'm still down too but some of my area is up,2017-09-13 ,1,https://twitter.com/HuntingMaguire/status/907987463553142784
,My area i want my area back i need that today or i gonna loss all my food 32818 hiawasse oaks,2017-09-13 ,1,https://twitter.com/XxFEARLEGENDxX/status/908022127621808128
,"Meanwhile my area, a Very Brown Neighborhood, is still without power. @DukeEnergy is not slick.",2017-09-14 ,1,https://twitter.com/Phunky_Brewster/status/908395455318560768
,"@DukeEnergy seems to think the 33756 area only has one house without power, but it's the whole area, 100 or so homes without. Very worrying",2017-09-15 ,1,https://twitter.com/embargo4741/status/908833259014037506
,But there are no updates and other companies have a great part of area on. Shelters are closing. No where to go. Not a FEMA area.,2017-09-12 ,1,https://twitter.com/thepeterbraunst/status/907655113556164608
,@insideFPL when is the Fontainebleau area getting power back?,2017-09-11 ,1,https://twitter.com/r_marcode/status/907336504426549248
,Look I'm in ocoee commons and power is up on 95 percent of the area minuse the few neighborhoods in the area. I've had to throw out food,2017-09-12 ,1,https://twitter.com/MR_Bill2030/status/907778251946414084
,@DukeEnergy Is there a way to keep up with what sections are being serviced in the Wekiva area?,2017-09-11 ,1,https://twitter.com/tylerperkins/status/907289151661330432
,The whole area of the hammocks and countrywalk is without power @insideFPL please fix this,2017-09-11 ,1,https://twitter.com/camaro_miguel/status/907366273604046849
,"@DukeEnergy l live in oviedo area, still no power when the lights come one? I already report outage in my area",2017-09-11 ,1,https://twitter.com/lubulyellow/status/907364119493390336
,Which area do you live in? I'm pretty sure they'll be in that area sometime today,2017-09-13 ,1,https://twitter.com/DamnYouBrian/status/907964041020276736
,And all in the same area should be worked on a fixed at the same time for Pete sake. heavy debris in my area causing delays is B.S.. None,2017-09-16 ,1,https://twitter.com/jmichellehall/status/909208536021913603
,"Screw you. Almost no danage in my area, most people around me have power, yet I have no power.",2017-09-13 ,1,https://twitter.com/Josejoso777/status/908028732450930688
,"I'm sorry kua but this is absurd, THE BVL AREA IS STRUGGLING AT THE MOMENT!",2017-09-11 ,1,https://twitter.com/Reallilflakko/status/907430223825776640
,Hey @DukeEnergy can we get some power back in the Orlando area today? You guys have a lot of servicemen in the area.,2017-09-11 ,1,https://twitter.com/Jrocku33/status/907299355635351553
,Yet no update as to when your crews will be here in the area.,2017-09-12 ,1,https://twitter.com/stpetemichael/status/907716844840214528
,Where are them? In my area I didn't see one! And still no power.,2017-09-12 ,1,https://twitter.com/J0rl3nny/status/907583019262889984
,None of your trucks have been in my neighborhood or general area,2017-09-13 ,1,https://twitter.com/MiamiGlitterGrl/status/907963436893708293
,None in sunrise/plantation area either. And all businesses in surrounding area have electricity. Don't get it @insidefpl,2017-09-12 ,1,https://twitter.com/Sweetpeaflo/status/907656034713526272
,@Whale_Hunter_23 whale_hunter_23 Guess that would be my area :(,2017-09-14 ,1,https://twitter.com/JoannLPanter/status/908345462578696200
,"Any updates on the Lakewood area power situation? Seems most folks have power, but our area. @NewsfromJEA",2017-09-13 ,1,https://twitter.com/MustSee58/status/908132317599817728
,When in my area? No update as to what is going on.,2017-09-12 ,1,https://twitter.com/stpetemichael/status/907672569691742208
,"My area seems to be the last to get power... Lake Berkley, Oren Brown...",2017-09-12 ,1,https://twitter.com/gagyrl30458/status/907592748445978624
,Who has power in pompano beach??? In the 33064 area???,2017-09-13 ,1,https://twitter.com/Anthony03364800/status/908018189988179973
,"@OUCreliableone I've seen your trucks roll through my area in Sodo/ Michigan St. area, any word when the power will be up",2017-09-11 ,1,https://twitter.com/Calvin_Shamoon/status/907283820902313985
,@DukeEnergy No Outages Reported in Area We do not show an existing outage in your area. Please call 800-228-8485. Number does not work,2017-09-18 ,1,https://twitter.com/XeoneVI/status/909818100589240321
,"Hi, what area are you in?",2017-09-14 ,1,https://twitter.com/GSalmaci/status/908373557692039168
,How do we find out about the status of our area? Thank you,2017-09-11 ,1,https://twitter.com/BDenmon/status/907321405175410688
,"@dukeenergy Just called for an update and was told power was already restored to my area. Now we are the ""1st reported outage in the area"".",2017-09-16 ,1,https://twitter.com/Paulgf3/status/909033681104367617
,area north of cc elm still w/o power,2017-09-14 ,1,https://twitter.com/elliemae0404/status/908451828400082949
,Any updates on power outage in the area @DukeEnergy,2017-09-11 ,1,https://twitter.com/Adrenix_/status/907320091251023874
,Where the drones and helicopter and dont see anyone this area,2017-09-13 ,1,https://twitter.com/XxFEARLEGENDxX/status/907974200811499520
,Where is your area? I'm looking for 32811,2017-09-11 ,1,https://twitter.com/ChristineParro6/status/907391347782504448
,Please restore Beacon Square area in Holiday for 5 days we have been without!,2017-09-14 ,1,https://twitter.com/Karenragazzi/status/908520575710134272
,Hi Sabeen. We are moving area to area throughout our territory. What is your address? I will check for you.,2017-09-14 ,1,https://twitter.com/OUCreliableone/status/908337665166147584
,@mylkldelectric Is the power back on in the Dixieland area?,2017-09-12 ,1,https://twitter.com/HEELZIPPY/status/907746374162305024
,"5 days, are you serious? For an area that has no damage whatsoever?",2017-09-12 ,1,https://twitter.com/WanqiYuan/status/907703243836477441
,What do you mean entire service area vs individual service area?,2017-09-12 ,1,https://twitter.com/Will_Savino/status/907708278280421377
,17-92 & 434 area,2017-09-12 ,1,https://twitter.com/smileydevil/status/907695941599326209
,My area don't have bad damage the area been accessed and said outage is due to adversed weather. All of i-drive have power but tangelo,2017-09-12 ,1,https://twitter.com/TheOriginalJo_1/status/907780349144567810
,@GetSpectrum @DukeEnergy Thank goodness @TMobile is operational in #TampaBay area after #Irma and I can get fuel #UnlimitedPlan #Lifelines,2017-09-12 ,1,https://twitter.com/Hoku_Lanii/status/907765143081283584
,@DukeEnergy any idea when you will have the SeaWorld area back up?,2017-09-11 ,1,https://twitter.com/sh1kak1/status/907248776833839104
,WHERE THE HELL ARE THEY...NOT OUR AREA...NOT ONE,2017-09-12 ,1,https://twitter.com/billy_brick1953/status/907605484999454722
,Oh! What area are you in? Still no power in my section of Casselberry.,2017-09-12 ,1,https://twitter.com/Bo5502/status/907704503545331713
,Area code : 33179 PLEASE,2017-09-11 ,1,https://twitter.com/donata_13/status/907439275523919872
,If I get more clarity on that area I will post.,2017-09-16 ,1,https://twitter.com/DE_JeffB/status/909244827979665408
,Please investigate the 33183 and 33173 area ASAP please,2017-09-12 ,1,https://twitter.com/NegronDiaz24/status/907660002315436037
,Just get to my area everyone else has power but are side of the street,2017-09-15 ,1,https://twitter.com/EvanTampafanman/status/908699491661950978
,what area of altamonte is this?,2017-09-14 ,1,https://twitter.com/MisterMeatyMan/status/908418156640788481
,Seriously what area is this 375k,2017-09-12 ,1,https://twitter.com/ureadyftness/status/907688230371434496
,"Frustrated here as well, keep telling me there's no outage in my area pffft",2017-09-14 ,1,https://twitter.com/foxfoxx3/status/908409656430690304
,@OUCreliableone How long before power is restored to Kirkman/LB Mcleod road area? ALSO St Cloud has power restored. Why not our area.,2017-09-11 ,1,https://twitter.com/mstip4/status/907292223062061058
,Any word on 34741 area?,2017-09-11 ,1,https://twitter.com/BabyBulls_01/status/907345432560455681
,Any word on the Panama area?,2017-09-12 ,1,https://twitter.com/twouuni/status/907779348035448832
,@insideFPL Any estimate on when you will get to the area around Marlins Stadium?,2017-09-10 ,1,https://twitter.com/TurnerKnowsThat/status/907003676539150336
,Quail Ridge / Mill Run Area,2017-09-11 ,1,https://twitter.com/hottieb27/status/907324245033803777
,@DukeEnergy how do you 'survey' an area without actually being out there? #TuesdayThoughts,2017-09-12 ,1,https://twitter.com/jessnotarabbit/status/907608029436227585
,I haven't seen one truck in Clearwater area it's not that bad in our area not much damage and yet no power,2017-09-12 ,1,https://twitter.com/CheyenneSulli14/status/907588594503700482
,Any reason? Tornado in your area?,2017-09-18 ,1,https://twitter.com/ChrisSemko/status/909763018740916225
,@insideFPL any idea when area in 33196 will have power back?,2017-09-12 ,1,https://twitter.com/yasminbarevalde/status/907641028991053824
,Each area has crews working. We just move crews around once an area has enough resources for remaining outages.,2017-09-17 ,1,https://twitter.com/DE_JeffB/status/909438700823678976
,Power is outtttttttt in the Lake Jeanette area! #GreensboroNC @greensborocity @DukeEnergy @931_TheWolf,2017-09-12 ,1,https://twitter.com/paulette_wyatt/status/907768751591968770
,@OUCreliableone Almost no damage to my area. Trucks came & turned on lights for everyone in my area except myself and two or so neighbors.,2017-09-12 ,1,https://twitter.com/JayThom111/status/907627298475663360
,Is there a way to get an alert once power is restored in my area?,2017-09-12 ,1,https://twitter.com/OReallyReal/status/907803136726847488
,@DukeEnergy wondering about Avon Park area. Are there crews for this area? I have elderly parents there.,2017-09-11 ,1,https://twitter.com/truthfinderrr/status/907337273590530049
,Any change in the area?,2017-09-13 ,1,https://twitter.com/Jibarito/status/908089045376479234
,@insideFPL how do we find out about the status of our area? Thank you,2017-09-11 ,1,https://twitter.com/BDenmon/status/907321170994888704
,@DukeEnergy Do you have any idea when the power will be on around the UCF area?,2017-09-11 ,1,https://twitter.com/angie_thepoet/status/907335014240722945
,I've yet to see a truck in my area,2017-09-13 ,1,https://twitter.com/bertm1975/status/908030136930447373
,@DukeEnergy any updates for the Williamsburg area? Thank you.,2017-09-13 ,1,https://twitter.com/CJForero/status/908002093788786688
,We have not seen 1 truck in our area,2017-09-11 ,1,https://twitter.com/Cdawgorl/status/907449529083076608
,Thanks for getting our power back here in the ucf area,2017-09-12 ,1,https://twitter.com/iforeveridaly/status/907596066907934720
,@DukeEnergy I take back all I said there are so many trucks in my area now!,2017-09-17 ,1,https://twitter.com/MayeaIsaac/status/909405697133162497
,@dukeenergy please get it together in the winter garden area.,2017-09-11 ,1,https://twitter.com/GracefulOddBall/status/907445882697678849
,That's the same for my area it's crazy,2017-09-14 ,1,https://twitter.com/Candaces407/status/908329939400871936
,Are you near championsgate area? Thank you,2017-09-12 ,1,https://twitter.com/MannyDouglas419/status/907600671301652480
,@DukeEnergy hey guys... what's the outlook on the Central Florida area? many of us still with no power despite little damage in the area.,2017-09-11 ,1,https://twitter.com/philbaety/status/907381284883877888
,"Have yet to see a Duke or any other contractor in my area, feel like the update information and time frames should be more area specific",2017-09-14 ,1,https://twitter.com/Rossconeus/status/908465184624214016
,Yet I don't see not one @insideFPL truck in my area !!,2017-09-12 ,1,https://twitter.com/Marcelaa_xo3/status/907686703799980032
,"Its a lie, the area that was ""fixed"" hasnt been restored at all I know cuz im in the supposed area and no power anywhere",2017-09-14 ,1,https://twitter.com/DisneyDanny863/status/908465625948987392
,Is Orange county the next area that your company will be restoring? But there's literally no damage to the lines in my area.,2017-09-12 ,1,https://twitter.com/DanielRuiz115/status/907695824431407109
,@DukeEnergy what is the ETA on UCF area getting trucks in the area? Absolutely nothing being seen by anybody and it's sad.,2017-09-11 ,1,https://twitter.com/SeanTerry123/status/907401560564682753
,Any reliable updates for restoration in Windermere/Ocoee area?,2017-09-12 ,1,https://twitter.com/MDSunshine/status/907567971010334720
,Any idea how long it will be before restoration in the East DeLand area by lake winnemesset/Vorhis area?,2017-09-15 ,1,https://twitter.com/robt_olsen/status/908690723813433344
,No lineman in our area #DukeEnergy,2017-09-12 ,1,https://twitter.com/bfoster68/status/907629847358447622
,Lucky you! Which area?,2017-09-12 ,1,https://twitter.com/AmeenaKero/status/907788698531622912
,72+ hrs without power in my area @insideFPL,2017-09-11 ,1,https://twitter.com/guez_megalonyx/status/907395720218648576
,What about homestead ? Our area was the first with no light almost 3 days now!?,2017-09-11 ,1,https://twitter.com/krold88/status/907429114465980416
,Duke says our area is fixed on its outage map but it's not. I called to check the outage and they said it was the 1st report in the area...,2017-09-15 ,1,https://twitter.com/_CrazyPaul/status/908835259374080001
,Say you swear..... what area do you live in?,2017-09-13 ,1,https://twitter.com/Sneaker_Barb/status/908172101063979009
,I'm in a rich area,2017-09-12 ,1,https://twitter.com/CharlesCarmik44/status/907660864068767745
,Has power been restored to Pompano Beach area,2017-09-12 ,1,https://twitter.com/MarilynSalter/status/907602701462245376
,EastLake area of Pinellas county,2017-09-12 ,1,https://twitter.com/Maisie313927/status/907724642252726272
,@mylkldelectric any update on the Southgate area (W. Poinsettia)?,2017-09-17 ,1,https://twitter.com/aprildotssmile/status/909397303135481857
,Ours restored at 8am (Winter Garden area).,2017-09-12 ,1,https://twitter.com/banks_stan/status/907640442019303424
,Any estimates on the UCF area?,2017-09-11 ,1,https://twitter.com/thebdc_scott/status/907321916284968962
,ok thank you and that is for the 32803 area??,2017-09-11 ,1,https://twitter.com/pinknadeen/status/907311712931639296
,@mylkldelectric did you guys forget about Cleveland Heights area between Eastway & Lake Hollingsworth?? All Carleton St Area? ETA?,2017-09-12 ,1,https://twitter.com/whobarrycarew/status/907794859825790976
,"@insideFPL still without power by 152 st and 157, and no one sayd anything nor anyone working in this area.",2017-09-13 ,1,https://twitter.com/27OscarAcosta/status/908020520649674752
,@insideFPL what's going with electricity in Lauderhill area? Please advise,2017-09-10 ,1,https://twitter.com/_cutejamaican/status/907030445182906370
,No Power. Have not seen a truck anywhere in our area.,2017-09-14 ,1,https://twitter.com/em7corey/status/908424476727050243
,Dadeland area still with no power and don't see any workers out here,2017-09-13 ,1,https://twitter.com/Stephan76294342/status/907966939779215360
,Called this morning said we had power (day7 no power) and that there were no crews in the area none dispatched. Over 500 folks in this area,2017-09-16 ,1,https://twitter.com/VansickleChuck/status/909118276881534976
,Those faster numbers are a lie if in my area it's the same. No holds you accountable for bad stats. My area restor. Is worse. And I have #'s,2017-09-14 ,1,https://twitter.com/RigoLabradaJr/status/908300564592775170
,"Standard noncommital reply. Street without power right behind Ritchie Bros in Davenport Duke Staging area, paying no attention to area.",2017-09-12 ,1,https://twitter.com/dizdata/status/907713255421988864
,@DukeEnergy any update for Williamsburg area of Orlando???,2017-09-11 ,1,https://twitter.com/EthanBice1/status/907404883535568898
,"Tiffany, we do have crews working on the substation that serves your area. We are still expecting today.",2017-09-15 ,1,https://twitter.com/OUCreliableone/status/908725553489903616
,@DukeEnergy when can we expect power in the 32726 area,2017-09-12 ,1,https://twitter.com/bobthomas_55/status/907724515442077697
