Tweet,Date,Link,RF,Lex,Manual,Both Manual&RF,Both Lex&Manual,,
"Michael Cohen says his payment to Stephanie Clifford, the adult film star known as Stormy Daniels, ""was lawful and was not a campaign contribution or a campaign expenditure by anyone."" https://www. npr.org/2018/02/14/585 719431/attorney-says-he-paid-adult-film-actress-who-alleges-affair-with-trump?utm_source=twitter.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180214 Â  â¦",2018-02-14,/NPR/status/963829692384948224,0,0,0,0,0,,
2005: Samuel W. Bodman confirmed by Senate as 11th Secretary of Energy. #Energy40 ,2017-09-03,/ENERGY/status/904373190150938624,0,0,0,0,0,,
New Star Wars Halloween phone cases at Launch Bay ,2017-10-21,/WDWNT/status/921840219053322240,0,0,0,0,0,,
"Brazilian deputies approve military intervention in Rio http://bit.ly/2FiYkf6 __NEWLINE____NEWLINE__With a total of 340 votes in favor, 72 against and one abstention, parliamentarians voted in favor of Michel Temer's move to intervene militarily in Rio de Janeiro . pic.twitter.com/IzjgWTPdIh",2018-02-20,/teleSURtv/status/965984019241422848,0,1,0,0,0,,
Ireland demands 'significantly more clarity' from UK over Brexit border  http://reut.rs/2zSQhX8 Â  pic.twitter.com/MfzBKX8dxb,2017-11-30,/Reuters/status/936361748696846336,0,0,0,0,0,,
"If you receive a message with this symbol on your iPhone, do not open it http://bit.ly/2o6BK1Z pic.twitter.com/SeDS17Avyx",2018-02-16,/Metro_PR/status/964613729919827968,0,0,0,0,0,,
# AgendaMundial Donald Trump signed a new budget and avoids closure of the federal administration #CDN pic.twitter.com/jasZa0sUyY,2018-02-09,/CDN37/status/962063818300903424,0,0,0,0,0,,
"[Update] AEE: 65,447 subscribers without electricity - http://trib.al/SMkl3tr pic.twitter.com/FmbwruidPa",2017-09-17,/TelenoticiasPR/status/909451141460742144,0,0,1,0,0,,
# Russia2018 __PIPE__ Vibrant conference in America leaves the US without a World Cup and Chile http://bit.ly/2kELJMN pic.twitter.com/4XbUO1dZRH,2017-10-11,/teleSURtv/status/917997442972438528,0,0,0,0,0,,
"# Mundo Comcast challenges Rupert Murdoch and offers 25,043 million euros for Sky # EconomÃ­a https: // www. diariolasamericas.com/c4144585",2018-02-28,/DLasAmericas/status/969037037671247873,0,0,0,0,0,,
"We'd love to feature this on our platforms! When and where did you take this? To give  http://Weather.com Â   permission, respond with #yesweather . View the terms here: https://weather.com/en-US/twc/priv acy-policy Â  â¦",2018-03-13,/weatherchannel/status/973574008305307648,0,0,0,0,0,,
".@JudgeJeanine : Sheriff Scott Israel should ""get the hell out"" of Broward County law enforcement or be recalled by the voters in South Florida  http://bit.ly/2ESf3ox Â  pic.twitter.com/urO47vZIfl",2018-02-25,/FoxNews/status/967870846340554752,0,1,0,0,0,,
"This is so New York City.   __NEWLINE____NEWLINE__""Knock it off!"" #SubwayKaraoke  #GRAMMYs pic.twitter.com/q42Ow2B7V1",2018-01-28,/CBSThisMorning/status/957793796984573953,0,0,0,0,0,,
I got my son a STEM toy that teaches kids as young as preschoolers learning robotics and programming â and he loved it  http://read.bi/2I527O9 Â   by @insider_picks pic.twitter.com/jQ3Sui5wZ5,2018-03-05,/businessinsider/status/970797226200125441,0,0,0,0,0,,
The FBI will post billboards throughout Las Vegas appealing for public tips about the shooting rampage.  Â ,2017-10-06,/USATODAY/status/916480711930114049,0,,0,0,0,,
VIDEO __PIPE__ @TeatroBreve is gufea the row of gasoline http://bit.ly/2xNcUcY pic.twitter.com/L64rXInmhM,2017-09-30,/primerahora/status/914096200667877376,0,0,0,0,0,,
This group seeks to monitor resources for reconstruction after the September earthquakes http://ow.ly/7Jgt30fG0qc #Epicentro pic.twitter.com/id2whBQyyg,2017-10-07,/ExpansionMx/status/916732457239633920,0,0,0,0,0,,
Raheem Sterling 'attacked and racially abused' ahead of Manchester City's win over Spurs http://www. telegraph.co.uk/football/2017/ 12/16/raheem-sterling-attacked-racially-abused-ahead-manchester-city/?utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter Â  â¦,2017-12-17,/Telegraph/status/942327097019785216,0,1,0,0,0,,
NHS hospitals in England record worst ever A&E performance https://trib.al/Bec3UId Â ,2018-02-08,/guardian/status/961563702490206209,0,0,0,0,0,,
# Culture __PIPE__ Guatemala will enjoy the IX edition of the Film Festival http://bit.ly/2AGxaML pic.twitter.com/Fp7z1SmYng,2017-11-14,/teleSURtv/status/930348828628316160,0,0,0,0,0,,
Russians in # Egypt will be able to vote during presidential elections http://bit.ly/2EIrypT pic.twitter.com/x6MygxzUda,2018-02-15,/teleSURtv/status/964329988731236352,0,0,0,0,0,,
"It review â enthusiastic, cine-literate retelling of Stephen Kingâs horror novel  http://trib.al/wf13NAq Â ",2017-09-10,/guardian/status/906799870371139584,0,0,0,0,0,,
"The process of leaving the FARC-EP's arms contributed to the peace of #Colombia, in this framework the #GiraPapal will be made http://bit.ly/2gL67KC pic.twitter.com/YirQXhSd7F",2017-09-08,/teleSURtv/status/906058272876228608,0,0,0,0,0,,
Low press in Caribbean Sea w high chance for growth. Recon plane set for tomorrow if needed.__NEWLINE__Heavy rain over region. ,2017-10-03,/7Weather/status/915387420614344704,0,,1,0,0,,
"Jake Gyllenhaal's 'Stronger' will make you cry, but not for the reasons you think__NEWLINE__  Â ",2017-09-22,/mashable/status/911241808365178880,0,,0,0,0,,
Gary Oldman's son defends his dad as 2001 domestic abuse allegation resurfaces http://on.mash.to/2G2ZuMi Â ,2018-03-07,/mashable/status/971492266857631745,0,0,0,0,0,,
"U.S. Coast Guard ships chug through the cold to break ice on the water in Green Bay, Wisconsin.  http://abcn.ws/2DxyQc5 Â  pic.twitter.com/Oi7H4ZePSK",2017-12-30,/ABC/status/947032242580344832,0,0,0,0,0,,
The second one that happens in less than a month. http://ow.ly/u5gz30iitL3,2018-02-09,/VoceroPR/status/961849806824992769,0,0,0,0,0,,
Mexico appeals the WTO decision on its tuna products in the US #AFP http://u.afp.com/4CAG pic.twitter.com/FiY3VMlsOs,2017-12-01,/AFPespanol/status/936781465257328640,0,0,0,0,0,,
"Two weeks after # Sismo19S, businesses in the affected neighborhoods in @DelegacionBJ begin to recover http://exp.mx/2fUxuSy pic.twitter.com/XtTNZEX2nD",2017-10-05,/ExpansionMx/status/915982473237901312,0,1,0,0,0,,
Pinellas students start learning how to code from a young age   Â  ,2017-10-01,/10NewsWTSP/status/914649907839021056,0,0,0,0,0,,
"A referral from a former co-worker, colleague, or client overwhelmingly benefits white men more than any other demographic group. About 44 percent of all referrals are white men, while just 22 percent are white women, according to a new report. http://nbcnews.to/2BebSIR Â ",2018-02-06,/NBCNews/status/961053171010457600,0,0,0,0,0,,
North Korea vs. South Korea: 9 charts to understand how people live in the most hermetic country in the world http://bbc.in/2hE7z1K,2017-09-30,/bbcmundo/status/914198920133267457,0,0,0,0,0,,
For #NationalComicBookDay  #StanLee  has a special message for #USArmy  troopsâ¦âYouâre the greatest!â ,2017-09-25,/USArmy/status/912399971902730241,0,1,0,0,0,,
# BoycottSanFrancisco  takes off after Steinle case acquittal http://www. foxnews.com/us/2017/12/02/ boycottsanfrancisco-takes-off-after-steinle-case-acquittal.html Â  â¦,2017-12-02,/FoxNews/status/936861360738017283,0,0,0,0,0,,
The $99 fares will be available through Sept. 13 depending on availability. STORY>>>   Â  ,2017-09-06,/mysuncoast/status/905550431337811973,0,0,0,0,0,,
WATCH: Yellen's quiet power meets Trumpâs force as term-end looms   Â   via @ReutersTV ,2017-10-20,/Reuters/status/921245853607776258,0,0,0,0,0,,
Elementia wants to expand its cement division and announces investment in Costa Rica http://exp.mx/2xGuwFJ,2017-09-29,/ExpansionMx/status/913974199265431553,0,0,0,0,0,,
Sink your Jaguar in a river to perceive the insurance and the story has a tragic end https://es.rt.com/5ho6 pic.twitter.com/zrlqBTTq8D,2017-11-28,/ActualidadRT/status/935428364495720449,0,1,0,0,0,,
"US mystery: Washington spends more on military, but #Trump  still thinks itâs weak â ex-CIA officer https://on.rt.com/8z1g Â ",2018-02-13,/RT_com/status/963425788946210818,0,1,0,0,0,,
Government of #Colombia declares red alert in MedellÃ­n before atmospheric contamination http://bit.ly/2FmXTQn pic.twitter.com/CJ9nvQFfw6,2018-03-07,/teleSURtv/status/971337412520497152,0,0,0,0,0,,
"# CDNDiscursoVI I suggest to Chanel Rosa, director SNS, to supervise the hospitals from early morning hours @RodrigMarchena",2018-02-27,/CDN37/status/968547719349526528,0,0,0,0,0,,
Coast Guard searching for plane believed to have crashed into Gulf of Mexico:  http://abcn.ws/2EXoKTa Â  pic.twitter.com/UawaGhIfyu,2018-01-04,/ABCWorldNews/status/949076522488553473,0,0,0,0,0,,
The schools opted to ditch the Thunder Bear mascot because of the âpotentialâ of it being considered an offensive racial slur. http://bit.ly/2IljgU1 Â ,2018-03-12,/theblaze/status/973242240310153216,0,0,0,0,0,,
Details: http://ow.ly/AZQh30hVJOg,2018-01-22,/VoceroPR/status/955512935497064450,0,0,0,0,0,,
https: // www. metro.pr/pr/news/2017/10/13 / fema-announce-arrival-20-million-food-11-million-liters-water.html ...,2017-10-13,/Metro_PR/status/918809312839036928,0,0,0,0,0,,
We're at the White House press briefing during the first day of the government shutdown. Watch live:  http://cnn.it/2FYLvqD Â ,2018-01-20,/CNN/status/954800201943920641,0,0,0,0,0,,
A Dutch sculptor spent 27 years building giant kinetic creatures pic.twitter.com/QP2WZMIeem,2018-02-14,/mashable/status/963833482903343105,0,0,0,0,0,,
"Climate change is destroying our planet, but oh boy is it good for the mainstream media's ratings! #Newsbroke pic.twitter.com/XyAHn664jT",2017-09-16,/ajplus/status/909051766729089024,0,1,0,0,0,,
# ReferendumCataluÃ±a __PIPE__ Can # Catalonia declare its independence after the referendum? http://bit.ly/2gbWSAd pic.twitter.com/FUwH8Z8EGz,2017-10-05,/teleSURtv/status/915918998021304324,0,0,0,0,0,,
Princes William and Harry chose sculptor for Diana statue  http://abcn.ws/2yVKq1e Â  pic.twitter.com/xcUJBYPYS5,2017-12-10,/ABC/status/939863936576507904,0,0,0,0,0,,
"Inside the church, the deceased ranged from 18 months to 77 years of age, official confirms  http://cbsn.ws/2zik9v6 Â  pic.twitter.com/5cuMxwYGPF",2017-11-06,/CBSNews/status/927578166981484544,0,0,0,0,0,,
Hope Day for hundreds of low income young people of #Miami #MLKDay https: // www. diariolasamericas.com/c4141397,2018-01-16,/DLasAmericas/status/953441762730790915,0,0,0,0,0,,
How Peru attacked chronic malnutrition in children and became a global example according to Bill Gates http://bbc.in/2xvvLax pic.twitter.com/PzsyhKFaKv,2017-09-25,/bbcmundo/status/912460990779936769,0,1,0,0,0,,
Hereâs why your jeans have that tiny front pocket pic.twitter.com/5mcvZtKg0p,2018-03-08,/businessinsider/status/971786874871336960,0,0,0,0,0,,
'Tensions âbalancing on brink of large-scale conflict' - #Putin  on #NorthKorea  crisis pic.twitter.com/h3thBIkZOT,2017-09-01,/RT_com/status/903614618609823748,0,1,0,0,0,,
"Fire official: Twelve off-duty firefighters shot, two while performing CPR, during Vegas mass shooting: ""This was a true feat of heroism."" pic.twitter.com/gW40oa13Wi",2017-10-03,/ABC/status/915272678633697280,0,1,0,0,0,,
Powerful Afghan regional leader ousted as political picture clouds  http://reut.rs/2CCgKoN Â  pic.twitter.com/e1cMC7umIG,2017-12-18,/Reuters/status/942922485292584966,0,0,0,0,0,,
After being hospitalized for emergency last week http://ow.ly/EY6t30gTOYC,2017-11-29,/VoceroPR/status/935966652407173127,0,1,0,0,0,,
Retweeted JAX ACROCAT (@JaxAcrocat ):__NEWLINE____NEWLINE__HOW CAN U HAZ DA SADS WHEN DIS FLOOFY BEAST EXISTS?!?   BEHOLD DA GLORY!  ...   Â ,2017-09-08,/SupportPets/status/906360419199193090,0,,0,0,0,,
"Tikhon Shevkunov, the powerful and controversial ""spiritual adviser"" of Russian President Vladimir Putin http://bbc.in/2Aen4oq pic.twitter.com/GUUC1eW4V7",2017-11-30,/bbcmundo/status/936172022480166912,0,0,0,0,0,,
"NATO Nervous As Russia, Belarus Team Up For Cold-War-Style War Games  Â ",2017-09-14,/NPR/status/908367772253536257,0,,0,0,0,,
Now the socials of #CDNResumenFinal with @JacmiMinaya for @ CDN37,2018-02-26,/CDN37/status/968335261968068610,0,0,0,0,0,,
The President of Turkey stated that they will not be able to buy Turkey's vote at the UN http://bit.ly/2BM7Aab pic.twitter.com/hKdyjwU3ll,2017-12-21,/teleSURtv/status/944047089821954048,0,0,0,0,0,,
"International Organization of Migrants indicates that during 2017 there were more than 6,000 migrants killed worldwide http://bit.ly/2ouM17P pic.twitter.com/op1aAztpVJ",2018-02-24,/teleSURtv/status/967353663361515520,0,0,0,0,0,,
"# OnThisDay  in 1947, US Air Force pilot Chuck Yeager became the first person to go supersonic when he flew the Bell X-1 rocket plane pic.twitter.com/uU6GdbQOJi",2017-10-14,/AFP/status/919182250381524993,0,0,0,0,0,,
"Oil up on threats of rebel attacks in Nigeria, falling US crude stocks  http://reut.rs/2DgXD4m Â  pic.twitter.com/CwksDvN2Rt",2018-01-18,/Reuters/status/953897263725711360,0,1,0,0,0,,
Some of Europe's top ski resorts are cut off after the avalanche danger was raised to the highest level  https://bloom.bg/2n0D7yM Â  pic.twitter.com/BV6UmrbRt7,2018-01-22,/business/status/955459732533399553,0,0,0,0,0,,
Myanmar Mass: Pope issues warning on exacting revenge http://bbc.in/2AiBLaI Â ,2017-11-29,/BBCWorld/status/935800441081876480,0,1,0,0,0,,
"He was one of the first people I met in the industry, and he told me, 'This is the way it is.' https://usat.ly/2hRyFPJ Â ",2017-10-19,/USATODAY/status/921221950583771136,0,0,0,0,0,,
"Overweight fliers should pay more to sit in their own section of the plane, says British public__NEWLINE__ http://www. telegraph.co.uk/travel/news/ov erweight-fat-passengers-should-pay-more-for-seats/ Â  â¦ pic.twitter.com/ws7tEJCKDL",2017-11-24,/Telegraph/status/934047702702104577,0,0,0,0,0,,
# NCDN: Amarante Baret says budget increase is to equip PN http://youtu.be/_B-FGPfLgQA?a,2017-10-05,/CDN37/status/916020301389017090,0,0,0,0,0,,
"Hunger, scarcity and high costs lead Venezuelans to hunt cattle and loot shops__NEWLINE__ http://bit.ly/2r543BY pic.twitter.com/zKSvxdT7RJ",2018-01-14,/NTN24/status/952597430725480449,0,0,0,0,0,,
HAPPENING NOW: President Trump is addressing the nation about the mass school shooting that has left parents in shock and a South Florida community in agony  http://cbsn.ws/2o39VHR Â  pic.twitter.com/mbiTD3Ftte,2018-02-15,/CBSThisMorning/status/964173970772844551,0,0,0,0,0,,
Gowdy says House panel probing Rob Porter's security clearance (via @AdamShawNY ) http://fxn.ws/2o6jIMJ Â ,2018-02-14,/FoxNews/status/963832713802268672,0,0,0,0,0,,
It only took a couple days for this robot arm to build an entire house. ,2017-10-08,/mashable/status/916981020288675841,0,,0,0,0,,
These floating babies are having the time of their lives  ,2017-10-18,/mashable/status/920678108415647745,0,,0,0,0,,
"Flaw in gay dating app exposed: 'One could, without too much difficulty or even a huge amount of technological skill, easily pinpoint a userâs exact location' https://on.rt.com/9253 Â ",2018-03-29,/RT_com/status/979335111916376065,0,0,0,0,0,,
When Tottenham first faced Real Madrid they cursed their luck âÂ and the referee   theguardian.com/football/that- 1980s-sports-blog/2017/oct/31/tottenham-hotspur-real-madrid-own-goal-1985-europe?CMP=share_btn_tw Â  â¦  #THFC  By @1980sSportsBlog,2017-10-31,/guardian/status/925330262187114496,0,0,0,0,0,,
A deadly 6.4 magnitude earthquake rocking Taiwan leaving a number of buildings damaged and two people killed. @BobWoodruff  has the latest.  http://abcn.ws/2FUvlxv Â  pic.twitter.com/BEFXHCV6vx,2018-02-06,/ABCWorldNews/status/961022948915187712,0,1,0,0,0,,
"# EnVivoCDN: Five thousand displaced persons, energy suspension and infrastructure damage in Puerto Plata #NCDNIrma pic.twitter.com/bspd0v6KbJ",2017-09-07,/CDN37/status/905910874942124033,0,1,0,0,0,,
MorningÂ Briefing: Here's what you need to know to start your day   Â  ,2017-09-25,/nytimes/status/912318030914490369,0,,0,0,0,,
Old hands in South Korea #Bitcoin  market unfazed by threats of ban  http://reut.rs/2ERNdsb Â  pic.twitter.com/c7jzJeoh3P,2018-01-18,/Reuters/status/953961447729623040,0,0,0,0,0,,
Why so many times a tragedy that affects thousands of people does not impact us emotionally as much as the one that affects one or two? pic.twitter.com/VH7RWAStPF,2017-11-23,/ActualidadRT/status/933746121826062336,0,1,0,0,0,,
Check it out! The @Pirates  have released their 2018 schedule!  Â ,2017-09-12,/KDKA/status/907674560987897856,0,0,0,0,0,,
".@LawrenceBJones3 : ""This whole notion that under President Trump... that black lives are worse, is just simply not true."" pic.twitter.com/aCWWNCBAqe",2017-11-29,/FoxNews/status/935821619762745344,0,0,0,0,0,,
"North Koreaâs Kim Jong Un is âbegging for war,â US Ambassador to the UN Nikki Haley says  http://cnn.it/2gzgqO5 Â  pic.twitter.com/SggBefHOal",2017-09-04,/cnni/status/904793074202705920,0,0,0,0,0,,
VIDEO: This was the installation of the bridge that collapsed in Miami __PIPE__ There are several dead and injured - https://trib.al/Z3svyWF pic.twitter.com/4fiTzUlrdH,2018-03-15,/TelenoticiasPR/status/974363233569165312,0,1,0,0,0,,
Former French President Nicolas Sarkozy will be tried for trying to corrupt a judge #AFP http://u.afp.com/oTbP pic.twitter.com/dPmpvs5XiM,2018-03-29,/AFPespanol/status/979407448263020544,0,0,0,0,0,,
Saudi Arabia may raise December crude oil prices to Asia to highest in few years   Â  ,2017-11-01,/Reuters/status/925663763130404865,0,0,0,0,0,,
A look back to a major hurricane from 13 years ago this week. Category 5 Hurricane Ivan - __NEWLINE__ http://bit.ly/2w39K1a Â  pic.twitter.com/rnw4EZdrd3,2017-09-18,/WeatherNation/status/909905546790211584,0,1,1,0,1,,
'Space Kingdom of Asgardia': Toaster-sized satellite is first-ever âspace nationâ  https://on.rt.com/8s4s Â  pic.twitter.com/K6f7TNZ7q7,2017-11-13,/RT_com/status/930042565511876608,0,0,0,0,0,,
.@DeptofDefense  boosts personnel aiding #HurricaneMaria  relief efforts in #PuertoRico :  http://bit.ly/2wtxbko Â  pic.twitter.com/MAulLJJu9G,2017-10-03,/USNationalGuard/status/915184916769501184,0,1,1,0,1,,
Another Latin American president bites the dust amid a swirl of corruption allegations  https://bloom.bg/2pxLu5z Â  pic.twitter.com/eCjggb43F6,2018-03-22,/business/status/976781938999676928,0,0,0,0,0,,
