Tweet,Category,Date,Permalink
Please make sure it's reported by calling 1-800-4OUTAGE. We appreciate your patience and please stay safe.,7,09/16/2017,/insideFPL/status/909219710016909312
"With this powerful of a storm, customers should prepare for potentially prolonged power outages.    ",7,09/06/2017,/insideFPL/status/905490796954210304
"When servicing your main line, crews may encounter damage that isn’t visible to you as they’re working in multiple locations.",7,09/16/2017,/insideFPL/status/909214441950105601
Want to receive email updates from us before and after the storm? Sign up at    ,7,09/05/2017,/insideFPL/status/905219002338828288
"3/3 However, localized damage on equipment may be the issue. If you haven't done so, pls report on     .",7,09/18/2017,/insideFPL/status/909966921327661056
", report any hazardous conditions if they pose a clear & imminent danger to you or others. Call 911 or 1-800-4OUTAGE. Thanks.",7,09/16/2017,/insideFPL/status/909090754240315393
All hands on deck to get our state back to normal after #Irma . Thank you first responders for your help & determination. ,7,09/14/2017,/insideFPL/status/908434206312861696
"1/3 We understand your frustration. Partial power may be caused by tripped breakers, a blown fuse, or damaged connections.",7,09/19/2017,/insideFPL/status/910087267523457030
"2/4 If there is a life-threatening situation, we urge residents to call 911. To find a special needs shelter call 311.",7,09/19/2017,/insideFPL/status/910278194846208001
"Our crews are ready   . When it is safe, we will do everything possible throughout the storm to get your lights back on. #Irma",7,09/10/2017,/insideFPL/status/906849822417793024
1/2 thank you for reaching out. FPL is not responsible for retrieving storm related vegetation debris.,7,09/23/2017,/insideFPL/status/911790917442506752
"Given unprecedented volume, we’re experiencing intermittent issues on      and FPL Mobile App.",7,09/12/2017,/insideFPL/status/907795915972456448
"The storm is now upon us. Whenever it is safe to do so, we will work to get your lights back on. Please be careful out there. #Irma  l/status/906945650776068096   …",7,09/10/2017,/insideFPL/status/906949212377686017
"2/4 As we’re restoring power, we are continuing to determine the full extent of damage.",7,09/17/2017,/insideFPL/status/909591690293506049
"We will work to restore power throughout the storm, in between bands of severe weather, whenever it is safe to do so.  us/906524360365703168   …",1,09/09/2017,/insideFPL/status/906524486119378944
Don’t be alarmed if you get an automated call from us. We’re reaching out with storm prep info before #Irma  arrives.    ,7,09/07/2017,/insideFPL/status/905838107995631617
2/3 There may be localized damage on lines that deliver power directly to your neighborhood.,7,09/17/2017,/insideFPL/status/909563989306363905
2/3 This depends on the extent of damage and work required to restore your service.,7,09/17/2017,/insideFPL/status/909574035289382913
We’re watching #Irma  and getting prepared; please review your emergency plans.    ,7,09/05/2017,/insideFPL/status/905083222962339840
"2/4 After the storm, outages can be caused by loose trees and branches that impact power lines and electrical equipment.",1,09/21/2017,/insideFPL/status/911074073131839488
"1/2 In some areas, damage could require extended repair work and in extreme cases, require us to rebuild parts of our system.",7,09/17/2017,/insideFPL/status/909454653800280064
2/3 We take restoration very seriously. The delay may be from hidden damage.,7,09/19/2017,/insideFPL/status/910006541524389888
"During the storm and the time after, we will be posting updates here and on Facebook, but not responding to individual inquiries. Stay safe.",1,09/08/2017,/insideFPL/status/906260854257192961
"2/2 While we fixed the main line, localized damage on equipment may be the issue. Please report on     .",7,09/18/2017,/insideFPL/status/909916699167789058
"when servicing your main line, crews may encounter damage that isn’t visible to you as they’re working in multiple locations.",7,09/18/2017,/insideFPL/status/909843214659653632
"# Irma  restoration efforts underway. No matter how extensive the damage, you have our commitment we will work 24/7 to get your lights back on",7,09/12/2017,/insideFPL/status/907641697986899970
"2/2 If you see a line down and feel it presents a clear and imminent danger, please call 1-800-4-OUTAGE or call 911. Thanks.",7,09/06/2017,/insideFPL/status/905608812001976322
2/3 We also urge you to consider call 911 if you're experiencing a life-threatening emergency.,7,09/17/2017,/insideFPL/status/909495335080341506
1/3 Sorry we missed you. We can understand your concern with the storm approaching.,7,09/08/2017,/insideFPL/status/906142436455583744
1/3 We apologize for disappointing you. We take restoration very seriously. The delay may be from hidden damage.,7,09/20/2017,/insideFPL/status/910397033206484992
"Omar, we’re working 24/7 to restore power by fixing damaged equipment & may have uncovered new damage that may not be visible.",7,09/17/2017,/insideFPL/status/909450755723194369
"2/2 If you're experiencing a life-threatening emergency, please call 911 or call 1-800-4OUTAGE for power-related inquires.",7,09/17/2017,/insideFPL/status/909569529717690370
2/3 We take restoration very seriously. The delay may be from hidden damage.,7,09/18/2017,/insideFPL/status/909732590478925824
3/3 Our Vegetation Management department has suspended all tree and vine investigations.,7,09/06/2017,/insideFPL/status/905424477143654401
2/3 The Nuclear Regulatory Commission requires us to shut down nuclear plants at least 2hrs prior to hurricane-force winds.,7,09/08/2017,/insideFPL/status/906142720678391808
"2/3 We’ve been working to restore service by fixing damaged equipment, and uncovering new damage which may explain delays.",7,09/18/2017,/insideFPL/status/909732091029540864
"We have assembled the largest pre-storm restoration workforce in U.S. history, more than 17,000 hard working men and women. #Irma",7,09/10/2017,/insideFPL/status/906970618041692160
"@ kevincampbellfl  1/3 Good morning, Kevin. We’re sorry to hear about the damages at your property.",7,09/25/2017,/insideFPL/status/912309346452869121
1/2 We apologize again that you are without power. Safety is our #1 priority & please stay safe around hazardous conditions.,7,09/26/2017,/insideFPL/status/912680015808155648
"2/3 Unfortunately, these repairs did not result in your service being restored and is likely due to more localized damage.",7,09/18/2017,/insideFPL/status/909706663896211456
We will not stop working until every customer's electricity is restored.Customers impacted: 4.4 million Customers restored: 1.1 million,7,09/12/2017,/insideFPL/status/907710851246936064
"# UPDATE : West Coast - estimated power restoration by EOD 9/22, possible exception in areas hit by tornadoes, flooding & severe damage.",7,09/12/2017,/insideFPL/status/907615032032333824
"With a storm of this magnitude and intensity, we know that each hour of preparation counts. Please make safety your top priority. #Irma",7,09/07/2017,/insideFPL/status/905853190075273217
"1/3 We understand your concern and safety is our top priority. We'd like to report this for you, but need more info.",7,09/11/2017,/insideFPL/status/907407539536527361
"2/3 We have a record of your outage, and are continuing to work on it. The delay may be a result of damage to our equipment.",7,09/18/2017,/insideFPL/status/909667031108157440
1/2 Irma is the worst storm in FPL’s history & has affected the entire state. We’re doing everything we can to restore power.,7,09/17/2017,/insideFPL/status/909499950563778561
"As #Irma  nears, please prepare and make safety your top priority. See prep tips at     .",7,09/06/2017,/insideFPL/status/905445508398940162
Please report any fallen wires & poles if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE.,7,09/16/2017,/insideFPL/status/909147500015161344
"2/2 Please keep in mind that delays may be from hidden damage, which makes restoration more challenging.",7,09/19/2017,/insideFPL/status/910018720008949761
2/3 We take restoration very seriously. The delay may be from hidden damage.,7,09/19/2017,/insideFPL/status/910323249258647552
"@ MahoneyWilliam  1/2 We apologize for the confusion. While we fixed the main line, localized damage on power equipment may be the issue.",7,09/17/2017,/insideFPL/status/909498692348137472
"Posible excepciones para áreas afectadas por tornados, inundaciones severas y otras áreas de daños severos.  us/907615284135161858   …",7,09/12/2017,/insideFPL/status/907616984283664384
2/4 We urge residents to call 911 if they’re experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909104969051201536
"Keep safety your top priority, and stay away from downed power lines. If you see a downed power line, call 911 or 1-800-4OUTAGE.",7,09/10/2017,/insideFPL/status/906820401203990528
1/3 Sorry we missed you. We can understand your concern with the storm approaching.,7,09/08/2017,/insideFPL/status/906144714528874496
"As of Wed, we restored nearly 60% of all customers affected by #Irma  & are restoring at a pace of roughly 4:1 faster than Wilma in 2005.",7,09/13/2017,/insideFPL/status/907963703730987008
"No matter how extensive the damage, you have our full commitment that we will work 24/7 to get the lights back on in our communities. #Irma",7,09/07/2017,/insideFPL/status/905871821643423745
2/2 Please call 911 if you’re experiencing a life-threatening emergency. Thank you.,7,09/18/2017,/insideFPL/status/909923857942933509
"Should #Irma ’s worst fears be realized, our crews will likely have to rebuild parts of our electric system. Prepare for outages.",7,09/07/2017,/insideFPL/status/905830364291235840
use caution when cleaning up hurricane debris & vegetation. Stay 10 ft away from power lines.,7,09/16/2017,/insideFPL/status/909227408762523649
"1/3 We understand your frustration. Partial power may be caused by tripped circuit breakers, a blown fuse, or damaged connections.",7,09/18/2017,/insideFPL/status/909704026043936769
1/2 We understand your concern and safety is our top priority.  Have you already reported this situation?,7,09/12/2017,/insideFPL/status/907684131844378626
"3/5 Unfortunately, these repairs did not result in service being restored and is likely due to more localized damage.",7,09/20/2017,/insideFPL/status/910427444498305024
"@ get2wiriamu  2/3 Unfortunately, these repairs did not result in your service being restored and is likely due to more localized damage.",7,09/19/2017,/insideFPL/status/910037487057334272
2/2 Our crews also work around the clock after the storm passes to help restore power as soon as possible.,7,09/06/2017,/insideFPL/status/905578863480250368
2/3 Crews may encounter damage that isn’t visible to you as they’re working in multiple locations.,7,09/16/2017,/insideFPL/status/909252669881163776
1/2 We understand your concern for your safety.,7,09/19/2017,/insideFPL/status/910017863238418432
1/2 We’re working 24/7 to restore power by fixing damaged equipment & may have uncovered new damage that may not be visible.,7,09/16/2017,/insideFPL/status/909083676255948800
"3/4 We're now in the slower part of our restoration process, where we're working on damaged equipment your neighborhood.",7,09/21/2017,/insideFPL/status/911030396061659136
We want to urge safety now more than ever. Call 1-800-OUTAGE (1-800-468-8243) immediately to report downed power lines.,7,09/11/2017,/insideFPL/status/907373326288465921
", report any hazardous conditions if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE. Thanks.",7,09/16/2017,/insideFPL/status/909057536564789248
2/3 The Nuclear Regulatory Commission requires us to shut down nuclear plants at least 2hrs prior to hurricane-force winds.,7,09/08/2017,/insideFPL/status/906142435935477761
"2/3 Unfortunately, repairs didn't result in restoration & is likely due to localized damage that is associated w/ other tickets.",7,09/19/2017,/insideFPL/status/910088725471907842
2/3 We take restoration very seriously. The delay may be from hidden damage.,7,09/18/2017,/insideFPL/status/909931237040705536
"If this is an emergency, please call 911.",7,09/10/2017,/insideFPL/status/907060375656509441
1/3 We can certainly understand your concern with the storm approaching and making preparations.,7,09/08/2017,/insideFPL/status/906220590893281281
"1/2 Yes, we have crews prepared before the storm and are dispatched as soon as conditions are safe to do so.",7,09/06/2017,/insideFPL/status/905578862901424128
3/4 We urge residents to call 911 for a life-threatening emergency. To find a special needs shelter call 311.,7,09/16/2017,/insideFPL/status/909087120559570944
1/3 We sincerely apologize for the inconvenience. Please call 911 if you’re experiencing a life-threatening emergency.,7,09/17/2017,/insideFPL/status/909501460307677185
Please report any fallen wires if they pose a clear and imminent danger to you or others by calling 911 or 1-800-4OUTAGE.,7,09/17/2017,/insideFPL/status/909451129259544576
Don’t be alarmed if you get an automated call from us. We’re reaching out with storm prep info before #Irma  arrives.    ,7,09/06/2017,/insideFPL/status/905551193602129921
"As of this morning, we have restored 70% of our customers affected by #Irma . Our buckets are in the sky & boots on the ground all across #Fl",7,09/14/2017,/insideFPL/status/908389804936744961
"Hi Ayran, we apologize for disappointing you. We take restoration very seriously. The delay may be from hidden damage.",7,09/19/2017,/insideFPL/status/910185720924471299
", while we fixed the main line, localized damage on the lines/transformer may be the issue. Pls report on    ",7,09/16/2017,/insideFPL/status/909082167682244608
We apologize for disappointing you. We take restoration very seriously. The delay may be from hidden damage.,7,09/16/2017,/insideFPL/status/909080046899523584
"18,000+ workers are restoring power - every hour of every day – even as we assess full damage of #Irma",7,09/11/2017,/insideFPL/status/907250096978395136
Thank you to our line men and the first responders. Enjoy!  /status/908079064342319104   …,7,09/13/2017,/insideFPL/status/908081880880357379
We take the safety of our customers veryseriously. Thank you  /status/907387998525956099   …,7,09/11/2017,/insideFPL/status/907394435058716672
"4/4 For your safety, please stay away from the wires.",7,09/19/2017,/insideFPL/status/910262726991151105
PSC approves FPL-JEA plan to shut down St Johns River coal plant; saves FPL customers $183 mil & prevents 5.6 mil tons/yr of CO2 emissions.,7,09/25/2017,/insideFPL/status/912386257526902784
"@ maryhcam  2/4 When servicing your main line, crews may encounter damage that isn’t visible to you as they’re working in multiple locations.",7,09/17/2017,/insideFPL/status/909450626794446854
"Today, we remember our country's resolve on #September11th  & are inspired as we recover & rebuild following #Irma . We stand together as one.",7,09/11/2017,/insideFPL/status/907280085249601536
"2/3 If you’re experiencing a life-threatening emergency, please call 911.",7,09/16/2017,/insideFPL/status/909063196446687232
2/3 The Nuclear Regulatory Commission requires us to shut down nuclear plants at least 2hrs prior to hurricane-force winds.,7,09/08/2017,/insideFPL/status/906144714734358529
"4/4For your safety, please stay away from the downed wires.",7,09/19/2017,/insideFPL/status/910225199538335746
Use caution while driving. Traffic signals may stop working w/o warning. Fl. law requires you treat intersections as a 4-way stop. Stay safe,7,09/11/2017,/insideFPL/status/907213892958420994
Putting up hurricane shutters in preparation of #Irma ? Keep ladders or scaffolds at least 10 ft. from power lines.    ,1,09/06/2017,/insideFPL/status/905453528243634180
1/2 We're sorry to hear about your sister's condition. Please call 911 if she is experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909156068793704449
2/3 We understand your concern for the safety of your family. Your concerns are important to us.,7,09/21/2017,/insideFPL/status/910930126749265920
1/3 We can understand your concern with the storm approaching.,7,09/08/2017,/insideFPL/status/906142720271548416
1/2 We understand your concern and safety is our top priority.  Have you already reported this situation?,7,09/12/2017,/insideFPL/status/907628621992480768
We value your safety and we will do our best to respond to this matter. Thank you for the heads up.,7,09/18/2017,/insideFPL/status/909965642094333952
2/4 Localized damage on the lines/transformer may be the issue. Please report your outage on     .,7,09/16/2017,/insideFPL/status/909071502624124933
2/4 We urge residents to call 911 if there is a life-threatening situation.To find a special needs shelter near you call 311.,7,09/17/2017,/insideFPL/status/909427333731319808
"2/4 We are now in the slower part of our restoration process, where we are working on localized equipment that has been damaged.",7,09/21/2017,/insideFPL/status/911009663675707392
"MUST READ: When the hurricanes came, nuclear plants and operators were ready    bit.ly/2k7AuMG ",6,09/29/2017,https://twitter.com/NEI/status/913804565744676865
"If it was a storm knocking it out, I get that. But for your crew to come out and shut it down for 7 houses with no notice is bad by y'all.",1,09/29/2017,https://twitter.com/BudElliott3/status/913791158752555012
"Neither thunderstorms, hurricanes or 15k watts on the ground. These are the real heroes! They're coming they're coming!  ",6,09/29/2017,https://twitter.com/vranescu/status/913729558586806273
Don't let a storm catch you off guard. Keep the new Storm Center Brevard Hurricane Guide handy!  bit.ly/2wfixxr  ,5,09/28/2017,https://twitter.com/NASHFM1027WHKR/status/913572788455092225
Let storm prepping be easy. The new Storm Center Brevard Hurricane Guide has everything you need to know.  bit.ly/2xCGwdm  ,5,09/28/2017,https://twitter.com/1071A1A/status/913545105939689472
2/2 light storm. Lights were off for 18-days in #Florida thanks to lousy #FPL  . why would  consider Florida? NO! ,2,09/28/2017,https://twitter.com/RevJets/status/913527435810963456
.  always speaks the truth. Laying it down about the great job that  did in the aftermath of the storm.,6,09/28/2017,https://twitter.com/ZichellaEric/status/913480223185829888
Appreciate hearing panelists from     &  on Irma recovery efforts. #FutureofFL,8,09/28/2017,https://twitter.com/FLChamberFDN/status/913448456840032256
Hearing from businesses (     ) on Irma recovery efforts. Super informative. #FutureofFL  – bei JW Marriott Orlando Grande Lakes,8,09/28/2017,https://twitter.com/SaraSClements/status/913446029919387648
Because all Miamians deserve access to solar power and not be dependent on  grid after a disaster #PowerforAll,6,09/28/2017,https://twitter.com/LWVMiamiDade/status/913441082955960320
"No these light ppl ya a fuck up enu, the hurricane wasn't even that serious....why can't my light work good yet ",1,09/28/2017,https://twitter.com/Jano_Don/status/913436113251061760
" absolutely no help, I was promised a phone call by management hours ago. We just where impacted with #hurricaneirma #noassistance",2,09/28/2017,https://twitter.com/AFiscaletti/status/913433759571222528
Let storm prepping be easy. The new Storm Center Brevard Hurricane Guide has everything you need to know.  bit.ly/2wfixxr  ,5,09/28/2017,https://twitter.com/NASHFM1027WHKR/status/913416257210261504
Still have no clue how to prepare for a hurricane? Checkout the new Storm Center Brevard Hurricane Guide!  bit.ly/2xCGwdm  ,5,09/28/2017,https://twitter.com/1071A1A/status/913405183924858881
" We evacuated and not sure how long the power was out at our home for refrigerated food purposes. 100 SW 83rd Way, PP, FL 33025?",8,09/28/2017,https://twitter.com/powertime1972/status/913393924286410752
Need help prepping for the rest of the hurricane season? We've got you covered!  bit.ly/2xCGwdm  ,5,09/27/2017,https://twitter.com/1071A1A/status/913244375190315008
Will  be held accountable for taking our power off grid b4 storm for others? Lost power Sat b4 storm.,1,09/27/2017,https://twitter.com/LucyLooney/status/913131476883050498
First timer? The new Storm Center Brevard Hurricane Guide can help you get prepare for the next storm!  bit.ly/2xCGwdm  ,5,09/27/2017,https://twitter.com/1071A1A/status/913085073842257920
"Get smacked by a hurricane , lost power for a couple days. What's next? BOOM  smacks me with $357 electricity bill because why not",3,09/27/2017,https://twitter.com/Mr_Abyy/status/913046473776025600
Test your hurricane knowledge against the new Storm Center Brevard Hurricane Guide.  bit.ly/2xCGwdm  ,5,09/27/2017,https://twitter.com/1071A1A/status/912999010595594240
Still have no clue how to prepare for a hurricane? Checkout the new Storm Center Brevard Hurricane Guide!  bit.ly/2wfixxr ,5,09/26/2017,https://twitter.com/NASHFM1027WHKR/status/912875694987898880
What happens after a hurricane passes? Get the answers in the new Storm Center Brevard Hurricane Guide.  bit.ly/2xCGwdm  ,8,09/26/2017,https://twitter.com/1071A1A/status/912834673763430400
Test your hurricane knowledge against the new Storm Center Brevard Hurricane Guide.  bit.ly/2wfixxr  ,5,09/26/2017,https://twitter.com/NASHFM1027WHKR/status/912691984707416065
Thanks  anything to keep safety the top priority!,6,09/26/2017,https://twitter.com/CascoTools/status/912670580851265536
Still have no clue how to prepare for a hurricane? Checkout the new Storm Center Brevard Hurricane Guide!  bit.ly/2xCGwdm  ,5,09/26/2017,https://twitter.com/1071A1A/status/912663800138125315
"Not happy but did get a somewhat reasonable explanation from  . Call off the troops. 2 extra days billing cycle, etc.",1,09/26/2017,https://twitter.com/dwm58/status/912649153196560385
  needs to communicate with the residents as to what the issue is with the electricity!  13 days after Irma #FPL,2,09/25/2017,https://twitter.com/AlexAnnaQRetail/status/912447353277337601
 the power has gone out at minimum 5 times since last Monday.  has not communicated with the residents at all!,2,09/25/2017,https://twitter.com/AlexAnnaQRetail/status/912446611367895040
Before y’all pay your FPL bills make sure they take off the “storm charge” no wonder coral gables is sewing y’all ,3,09/25/2017,https://twitter.com/kamtothemad/status/912435826679861253
Find out how to survive during a storm with the NEW Storm Center Brevard Hurricane Guide.   bit.ly/2wfixxr,5,09/25/2017,https://twitter.com/NASHFM1027WHKR/status/912421465299066880
Find out how to survive during a storm with the NEW Storm Center Brevard Hurricane Guide.   bit.ly/2xCGwdm,5,09/25/2017,https://twitter.com/1071A1A/status/912406353188151296
Fun fact:  lobbied to make it illegal to use solar panels during a natural disaster. The time you need solar panels the most!,1,09/25/2017,https://twitter.com/PhotoJ_BD/status/912357661454237697
 Thank you. Always an amazing job. Phenomenal job after storms against all obstacles. Know and appreciate that you do your best.,5,09/25/2017,https://twitter.com/AlwaysLIGal/status/912305031457705984
