Topic,Tweets,Date,Number,Permalink
,We thank you for keeping our residents and visitors informed.  Stay safe out there!  906846423454494720   …,2017-09-10,1,/MiamiBeachNews/status/906960018280509440
,Pasco Sheriff's Office Swift Water Response Team member Sgt. Medina helps deliver food and water to Elfers residents flooded #InThisTogether,2017-09-12,1,/PascoSheriff/status/907709773625393153
,Pasco deputies assisting feeding residents in Lacoochee area with  . More than 2000 residents without power. #InThisTogether,2017-09-13,1,/PascoSheriff/status/907976358948741120
,"# MDPDconnecting  Northside District officers distributed groceries, ice & water to more than 1,000 residents in NW MiamiDade #MiamiDadeStrong",2017-09-19,1,/MiamiDadePD/status/910171009084424192
,Fire Prevention handing out water to residents in the area of 5 ST and Michigan #IrmaCleanUp,2017-09-12,1,/MiamiBeachFire/status/907691195073224705
,"Maggie, still asking residents to conserve water use and avoid activities in lakes",2017-09-16,1,/citybeautiful/status/909132001097191425
,Did your well flood during #Irma ? Use bottled water or find another water source until you know well water is safe.    ,2017-09-11,1,/CDCgov/status/907317846048260096
,The   is out w/ our officers to assist delivering ice & water to the vulnerable residents of Century Village. #HurricaneIrma,2017-09-14,1,/PPinesPD/status/908306210553819143
,On behalf of  an official BOIL WATER ADVISORY has been issued for Pembroke Pines residents;    ,2017-09-11,1,/PPinesPD/status/907323134923157504
,That's okay! Those Alexandria zip coded areas of Fairfax can be tricky for residents,2017-09-15,1,/AlexandriaVAPD/status/908866430560620544
,"Boys&Girls Club,     and #CommissionerOakley  helping feed residents in Lacoochee without power. #InThisTogether",2017-09-13,1,/PascoSheriff/status/908001067371307008
,Public Services is asking residents to please refrain from using water for non-essential purposes at this time; water main repairs underway.,2017-09-11,1,/PPinesPD/status/907263550065975296
,"If you suspect your private well may be contaminated after a flood, DO NOT drink the water.    ",2017-09-08,1,/CDCgov/status/906253332351664129
,Unable to get bottled water? Fill up containers at home with tap water! You have time to boil and cool water if concerned about safety.,2017-09-07,1,/PPinesPD/status/905804460726919168
,# Rescate !   &   members unload food & water in #Carolina  & #Ponce    to deliver to residents impacted by #HurricaneMaria .,2017-09-29,1,/DeptofDefense/status/913791366014128128
,Fire Prevention continues to make their rounds to hand out water to residents #IrmaCleanUp  #OneTeamOneCity,2017-09-13,1,/MiamiBeachFire/status/908051179288109063
,We try our hardest for our residents   #OurCityOurHome  3/status/907394092291837952   …,2017-09-11,1,/MiamiBeachNews/status/907394532681056256
,"East Parkland residents: Refrain from water usage other than for drinking, until further notice. Many sewage pumping stations are out. #Irma",2017-09-11,1,/ReadyBroward/status/907270521607393280
,1 of 2 #Irma  Update: There is a precautionary boil water order for Hallandale Beach residents living in the area of Desoto Park South.,2017-09-10,1,/ReadyBroward/status/906883742739914753
,Captain Seltzer serving food to residents in Lacoochee who have been without power for days. #WeAreInThisTogether,2017-09-15,1,/PascoSheriff/status/908784482873987075
,"We fed more than 1,200 residents in the Lacoochee area who have been without power for days! #InThisTogether",2017-09-13,1,/PascoSheriff/status/908075043229454339
,Cool off for FREE today at Grapeland Water Park! Admission fees are waived for City residents/employees all weekend! #Miami  ,2017-09-15,1,/CityofMiami/status/908723658578960384
,In area affected by #Irma ? Listen for water advisories from local authorities to know if water is safe.    ,2017-09-19,1,/CDCgov/status/910171664339525633
,.  & Operation Blue Roof are offering FREE temporary roof repairs to residents who received damage during Irma;    ,2017-09-28,1,/PPinesPD/status/913399572885655553
,In the aftermath of #Irma  salinity levels in fresh water are higher than acceptable for most wildlife species.    ,2017-09-20,1,/USFWSSoutheast/status/910582788767727617
,We have been notified water & food will be available for Goodland residents today - on Pear St #marcoisland  #colliercoounty  ,2017-09-15,1,/MarcoIslandPD/status/908661299680366592
,"Never eat food that has touched flood water. Flood water can contain sewage, chemicals & other hazards.      #Maria",2017-09-24,1,/PHEgov/status/911908080551464961
,It is free for residents,2017-09-07,1,/MiamiBeachNews/status/905910904721735680
,"Coastal residents- DO NOT wander out where the water is ""missing"". It will come back and quickly when it does!  tatus/907233577494085632   …",2017-09-11,1,/NWSTallahassee/status/907239043137667073
,Members at the Boys and Girls club in Lacoochee where a hot meal was provided to residents. #WeAreInThisTogether,2017-09-15,1,/PascoSheriff/status/908784676248129536
,In area affected by a #hurricane ? Listen for water advisories from local authorities to know if water is safe.    ,2017-09-10,1,/CDCgov/status/906985639375073281
,"Yes, City of Orlando residents can receive bags. Orange County has locations for all County residents.",2017-09-07,1,/citybeautiful/status/905980014449053696
,In area affected by #Harvey ? Listen for water advisories from local authorities to know if water is safe.    ,2017-09-05,1,/CDCgov/status/905203901829332992
,"Timmy,  who is ""13 and a half"" years old, the youngest volunteer, helping distribute food to the Lacoochee area residents with no power.",2017-09-13,1,/PascoSheriff/status/908014872725729281
,# Irma : Flooded areas are expected after the storm. Never walk through flood water. Down power lines may be hidden in the water.,2017-09-09,1,/ReadyBroward/status/906542067890913281
,Happy #RoshHashanah  to   residents who are celebrating the beginning of the Jewish New Year!,2017-09-20,1,/CityofMiami/status/910629017778294784
,Grapeland Water Park is packed w/ hundreds cooling off on this hot Sunday morning! Free admission for   residents and employees.,2017-09-17,1,/CityofMiami/status/909442010477744130
,Never eat food that has touched flood water & don’t use flood water to clean up after #Maria .    ,2017-09-26,1,/PHEgov/status/912700794927026177
,Kendall officers cleared trees and debris so residents can access roads & these adorable kids provided nice cold water! #HurricaneIrma,2017-09-13,1,/MiamiDadePD/status/908043457935155200
,"If your water is not safe, bring drinking water to a rolling boil for 1 minute to kill water-borne diseases.   epa.gov/ground-water-a nd-drinking-water/emergency-disinfection-drinking-water   …  #IrmaPR",2017-09-08,1,/EPA/status/906157678015135745
,yes for our residents,2017-09-06,1,/MiamiBeachNews/status/905515937486557185
,In area affected by #HurricaneHarvey ? Listen for water advisories from local authorities to know if water is safe.    ,2017-09-03,1,/CDCgov/status/904418729005481984
,We want residents to feel safe.  To reiterate we will have proactive patrolling tonight in all areas without power. #Irma,2017-09-11,1,/PascoSheriff/status/907393452366802950
,"Lt. Garcia, Fire Prevention personnel & Captain Doce handing out water to our residents in North Beach. #IrmaCleanUp  #OneTeamOneCity",2017-09-14,1,/MiamiBeachFire/status/908404234625929217
,"reminder, it's for Miami Beach residents!",2017-09-06,1,/MiamiBeachNews/status/905562982515650561
,"No, sorry this is only for Miami Beach residents.",2017-09-05,1,/MiamiBeachNews/status/905144686364565504
,Unfortunately this is for Miami Beach residents.,2017-09-06,1,/MiamiBeachNews/status/905483484411592704
,"If your water is not safe, bring drinking water to a rolling boil for 1 minute to kill water-borne diseases.   epa.gov/ground-water-a nd-drinking-water/emergency-disinfection-drinking-water   …  #Maria",2017-09-21,1,/EPA/status/910857399371751425
,Dep. Christopher Holland and K9 Trinity join in helping to distribute food to Lacoochee residents without power. #InThisTogether,2017-09-13,1,/PascoSheriff/status/908042630650527745
,Live in an area affected by #Irma ? Here’s how to make sure your food & water are safe following a flood.    ,2017-09-17,1,/CDCgov/status/909567659573784576
,Live in an area affected by #Irma ? Here’s how to make sure your food & water are safe following a flood.    ,2017-09-12,1,/CDCgov/status/907710442881015808
, RESIDENTS: The Mandatory Boil Water Advisory is still in effect. Bacteriological tests are underway to confirm safety. Will update ASAP.,2017-09-15,1,/PPinesPD/status/908681338164842497
,Big thank you to   for donating to our Kendall District   who are delivering essential supplies to our elderly residents! #Irma,2017-09-14,1,/MiamiDadePD/status/908370224688267265
,"Please stay out of flood water. It is not always clear how deep water is, what debris may be hidden, or what the condition of the road is.",2017-09-11,1,/FLGovScott/status/907096593681326080
,Power outages can be reported to OUC by calling 407.423.9018 for Orange County residents.,2017-09-10,1,/citybeautiful/status/907040063321755649
,Thank you. That's why we're hosting these bbqs - especially for residents without power!,2017-09-14,1,/citybeautiful/status/908424280559546368
,We appreciate residents doing their civic duty.,2017-09-25,1,/citybeautiful/status/912468248016379904
,Live in an area affected by #Hurricane  Irma? Here’s how to make sure your food & water are safe following a flood.    ,2017-09-11,1,/CDCgov/status/907393346053693440
,"@ insideFPL  has 2,840 crews in Broward County working on repairs; approx. 66% of PPines residents have power restored. Fingers-crossed!",2017-09-13,1,/PPinesPD/status/908035273770053636
,"6 Points of Distribution in Broward open to provide water, ice & MREs to residents are consolidating operations.   minDisplayMessages.aspx?intMessageId=10737   …",2017-09-15,1,/ReadyBroward/status/908731892022865920
,"Cool off for FREE at Grapeland Water Park. This Friday, Saturday & Sunday admission fees will be waived for City residents/employees! #Miami",2017-09-14,1,/CityofMiami/status/908335053729562624
,Squad 13 being fed lunch pre #HurricaneIrma  by local residents in Zephyrhills.,2017-09-10,1,/PascoSheriff/status/906920129300230144
,Thankful for all of the out-of-town crews helping to restore power to our residents.  /status/907988950102560768   …,2017-09-13,1,/citybeautiful/status/907994424860446721
,Do not wade through standing water. Read more flood water safety tips here:      #HurricaneIrma  #JaxReady,2017-09-11,1,/CityofJax/status/907265152852131841
,Keeping   residents safe in the #Bronx :   officers made an arrest & recovered these illegal guns. That’s #NYPDprotecting,2017-09-20,1,/NYPDnews/status/910656105889632256
,The issue with this ALF is no electricity and there are 4 residents living here. A generator      powers a few fans. #MiamiAfterIrma,2017-09-13,1,/CityofMiami/status/908054422776938496
,The current from the flooding on Elfers St is very strong! The Sheriff's Office Swift Water Recovery Team are helping residents in this area,2017-09-12,1,/PascoSheriff/status/907756019044020224
,You are welcome. Our residents' safety is our top priority.,2017-09-11,1,/CityofTampa/status/907329335320870913
,Commissioner   with the Pasco Sheriff's Office Swift Water Recovery Team helping residents in Bass Lake,2017-09-15,1,/PascoSheriff/status/908754210551992321
,The City and our Department have been actively ensuring the safety of our at-risk residents within Century Village;    ,2017-09-13,1,/PPinesPD/status/907985071449272320
,"Abundant blessings to our Jewish residents on #YomKippur , Day of Atonement. #Miami",2017-09-29,1,/CityofMiami/status/913870404560850945
,don't forget it's for Miami Beach residents!,2017-09-06,1,/MiamiBeachNews/status/905413404298551296
,"FOOD SERVICE:  For residents who do not have power, 2 nonprofits will offer donated hot & cold meals tmrw Fri 9/15   /status/908373155978399744   …",2017-09-14,1,/SarasotaPD/status/908380504738672640
,"Experiencing a flood from #Irma ? Do not drink flood water, use it to wash dishes, brush teeth, or wash/prepare food.    ",2017-09-12,1,/CDCgov/status/907687765264887808
,"Experiencing a flood from #Irma ? Do not drink flood water, use it to wash dishes, brush teeth, or wash/prepare food.    ",2017-09-11,1,/CDCgov/status/907310285504966656
,It is free for residents. More info here:    ,2017-09-06,1,/MiamiBeachNews/status/905605302778814464
,"Experiencing a flood? Do not drink flood water, or use it to wash dishes, brush teeth, or wash/prepare food.    ",2017-09-25,1,/CDCgov/status/912451660978331648
,Thank you   for donating to our Kendall District's mission to deliver essential supplies to our elderly residents after #HurricaneIrma,2017-09-14,1,/MiamiDadePD/status/908373772364914688
,A limited supply of ice is available at the following locations for residents without power:,2017-09-13,1,/citybeautiful/status/908064154338185216
,"When returning to your home after a #hurricane  or #flood , be aware that flood water may contain sewage.    ",2017-09-10,1,/CDCgov/status/907046055304339457
,"When returning to your home after a hurricane or flood, be aware that flood water may contain sewage.    ",2017-09-02,1,/CDCgov/status/904131833301942273
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907210450248634368
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907210259026071552
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907210336964673537
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907249030656352256
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907210511242203136
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907186376646504448
,"While no curfews have been issued for #HillsboroughFL , we urge residents to stay safe indoors while our teams assess damage following #Irma .",2017-09-11,1,/HillsboroughFL/status/907215127908372480
,Happy #LaborDay  to the hard-working residents of  !,2017-09-04,1,/Mayor_Jacobs/status/904675436038430721
,"We're working with   to track the effects of #Harvey  on water systems (drinking water, waste water, wells):  epa.gov/newsreleases/s tatus-water-systems-areas-affected-harvey   …",2017-09-06,1,/EPA/status/905497075219038210
,Keys residents:   requesting residents with yellow re-entry stickers wishing to enter the Upper Keys to use left lane of Krome Ave.,2017-09-12,1,/MiamiDadePD/status/907586656336838661
,# HurricaneIrma : Tap water is safe to drink. You can bottle it using containers at home and store it for the storm.,2017-09-06,1,/MiamiBeachPD/status/905553723153403904
,Yes at city garages for Miami Beach residents,2017-09-06,1,/MiamiBeachNews/status/905499661720539136
,"Duke Energy reports that 68,000 #Pasco  residents remain without power, goal is to have all residents in #Pasco  restored by Friday midnight  tus/907778483904020485   …",2017-09-13,1,/PascoSheriff/status/907953847150059520
,Recovery centers will be designated for Broward residents who are notable to return home due to #Irma  damage.,2017-09-11,1,/ReadyBroward/status/907301966535163904
,"Many businesses & residents have been incredibly supportive & giving to our officers. Although we can't name you all, we humbly THANK YOU!",2017-09-15,1,/MiamiDadePD/status/908719721167585280
,These messages mean so much to us. We love our Miami Beach residents #IrmaCleanUp,2017-09-13,1,/MiamiBeachFire/status/907990206913146880
,So happy to have our residents back home. And that our city is up & running   #OurCityOurHome,2017-09-12,1,/MiamiBeachNews/status/907698418360954880
,"Dressed to represent their Senior Center teams, these residents are rattling the bones to find the domino champion!    ",2017-09-25,1,/HillsboroughFL/status/912317050399395840
,Pasco County is offering shelter for residents affected by the voluntary evacuation in the Elfers area and others,2017-09-12,1,/PascoSheriff/status/907707620328435712
,Don't drive or walk through flood water!  As little as six inches of water may cause you to lose control of your car or truck. #Maria,2017-09-24,1,/PHEgov/status/911922184402067456
,PSO units & county PCPT help escort residents from Heather Hills ALF to shelter in Wesley Chapel,2017-09-09,1,/PascoSheriff/status/906576446470189058
,"# GrahamCassidy  repeals & replaces Obamacare & repeals the mandates that resulted in 80,000 Kentucky residents paying penalties to fed gov't.",2017-09-25,1,/VP/status/912363218999418880
,Don’t take medicine that has touched flood water.  Learn what to keep & what to toss.     ,2017-09-11,1,/PHEgov/status/907266477488832512
,"When returning to your home after a hurricane or flood, be aware that flood water may contain sewage.      #Harvey",2017-09-06,1,/CDCgov/status/905505911296278528
,People lining up at Boys &Girls Club-members assisting in feeding more than 2000 residents in Lacoochee area without power. #InThisTogether,2017-09-13,1,/PascoSheriff/status/907974380092903424
,Long lines wrapped around Grapeland Park for sandbags. Some #Miami  residents waited 4 hours. Commissioner   on on hand to help.   – at  Grapeland Water Park,2017-09-07,1,/CityofMiami/status/905922508553105408
,Our officers are working alongside the   at shelters across Pines to make sure residents are safe & ready for #HurricaineIrma .,2017-09-09,1,/PPinesPD/status/906553280012148737
,"Hi,  . Yes. We do ask that residents proceed home with caution.",2017-09-11,1,/HillsboroughFL/status/907413595713101826
,Update: #Pasco  County is issuing a voluntary evacuation for residents living in the Elfers area surrounding Anclote River.,2017-09-11,1,/PascoSheriff/status/907345981712293895
,"# AfterIRMA , the City is working w/ multiple departments to keep #Miami  safe for residents & first responders. Watch:    ",2017-09-11,1,/CityofMiami/status/907425861439295494
,We do apologize for the inconvenience. It was moved for logistics since so many residents are in need of bags. Thank you for your patience!,2017-09-08,1,/CityofTampa/status/906143658000441344
,Never eat foods that have touched flood water. For more food safety tips visit:      #Irma,2017-09-14,1,/femaregion4/status/908396555387928578
,# Traffic : As residents return to   at 8A please treat intersections with no power as 4-way stops.    ,2017-09-12,1,/MiamiBeachPD/status/907561418194669568
,Thank you. We've been practicing our strategy for moments like this for years to make sure our residents are as safe as possible.,2017-09-11,1,/CityofTampa/status/907419067019091968
,Volunteers putting together bags of food to hand out to residents without power in Lacoochee. Deputies on hand to assist and help out!,2017-09-13,1,/PascoSheriff/status/907977409110183937
,# Irma  Tip: In case you lose water pressure during the storm. Shower now & clean tub. Store water in tub for washing or flushing toilet.,2017-09-09,1,/ReadyBroward/status/906549912439021569
,Sheriff Rambosk: CCSO to add extra patrols in neighborhoods as residents voluntarily evacuate,2017-09-06,1,/CollierSheriff/status/905468619089465344
,"Feeding Tampa Bay, Boys &Girls Club, Deputies and volunteers handing out food to the residents in the Lacoochee area w/no power for days.",2017-09-13,1,/PascoSheriff/status/907981311570300929
,We are only allowing residents on & off the islands.  This is for the safety of everyone. #Irma  #Sarasota  atus/906668064137207808   …,2017-09-09,1,/SarasotaPD/status/906668751550140416
,"It is important as   &   have said for residents to ""listen to local authorities on evacuation orders."" Stay safe!  tus/906217845117272066   …",2017-09-08,1,/VP/status/906270208498827264
,Thank you   for the distribution of meals last night which went to our elderly & disabled residents without power #IrmaCleanUp,2017-09-16,1,/MiamiBeachNews/status/909071450392465409
,RESIDENTS: Please finalize all #HurricaneIrma  safety preparations by the end of today.,2017-09-08,1,/PPinesPD/status/906122914772242433
,"Building mgmt is doing a good job of taking care of residents, giving them water & keeping the common areas cool. Backup generator working.",2017-09-13,1,/CityofMiami/status/908078609079861248
,Only Miami Beach residents with proof of ID will be granted access,2017-09-11,1,/MiamiBeachNews/status/907316751733587970
,City employees are working extremely hard to ensure the safety of our residents! #Miami  /906182905159966720   …,2017-09-08,1,/CityofMiami/status/906184844258017282
,Mayor   and   CEO Steve Griggs will be at Robles Park at 1pm today delivering meals to residents w/o power!,2017-09-14,1,/CityofTampa/status/908358348936019968
,If your well was flooded during Hurricane #Harvey2017  don't drink or wash with the water until it's been tested.  epa.gov/privatewells/p rotect-your-homes-water   …,2017-09-04,1,/EPA/status/904761186209714176
,Our focus is getting Keys residents back home:    ,2017-09-15,1,/FLGovScott/status/908767646673489920
,Don’t drive through flooded areas & standing water. Learn more about staying safe during a #flood .      #Maria,2017-09-22,1,/CDCgov/status/911258831966965760
,"City residents can pick up sandbags at Grapeland Park, 1550 NW 37th Avenue, Thursday 9/7 beginning at 3PM. Please bring your ID #Miami",2017-09-06,1,/CityofMiami/status/905547614929727491
,"After a natural disaster, water may not be safe to drink. Boil, add disinfectants, or filter it:      #Irma",2017-09-15,1,/CDCgov/status/908752291154370560
,.  residents in mobile homes are under a mandatory evacuation and should seek safe shelter immediately. #Irma  #IrmaHurricane2017,2017-09-10,1,/Mayor_Jacobs/status/906918816776683522
,Tomorrow at noon we're granting access to residents & businesses,2017-09-11,1,/MiamiBeachNews/status/907338098639548423
,No residents or visitors are permitted access back into   until an assessment of damage on roadways & bridges is complete.,2017-09-10,1,/FLHSMV/status/906996379708424193
,No residents or visitors are permitted access back into   until an assessment of damage on roadways & bridges is complete.,2017-09-10,1,/FLHSMV/status/907014613862174720
,"yes, it is only for residents. our mistake in our tweet yesterday.",2017-09-06,1,/MiamiBeachNews/status/905506798207209472
,We are still evacuating the Glade residents at the Lake Shore Middle and Pahokee Middles schools. The last bus leaves at 5 p.m. #IRMA,2017-09-08,1,/PBCountySheriff/status/906217124586278912
,"Keys Residents:   is advising that for safety reasons, only essential personnel will be allowed entry. Further info after 3pm.",2017-09-11,1,/MiamiDadePD/status/907278879274012672
,We continue to encourage residents to please stay off the roads.  Our teams are completing damage assessments and need the roads.,2017-09-11,1,/PascoSheriff/status/907187687337144321
,We have already responded to two incidents today where our Deputies were called out to rescue residents from carbon monoxide poisoning (1/2),2017-09-13,1,/PBCountySheriff/status/908024801511571458
,We appreciate it! I'll pass your thanks on to our amazing officers who worked around the clock to keep our residents safe & prepared.   s/907733505014104064   …,2017-09-12,1,/PPinesPD/status/907737600479330304
,# DYK  that you can sterilize your drinking water with bleach even if you can’t boil it?   epa.gov/ground-water-a nd-drinking-water/emergency-disinfection-drinking-water   …  #Maria  #NatlPrep,2017-09-27,1,/EPA/status/913146328796008449
,# DYK  that you can sterilize your drinking water with bleach even if you can’t boil it?   epa.gov/ground-water-a nd-drinking-water/emergency-disinfection-drinking-water   …  #Maria  #NatlPrep,2017-09-29,1,/EPA/status/913859677833719808
,we are cleaning up now & will be allowing residents/businesses tomorrow into the city,2017-09-11,1,/MiamiBeachNews/status/907262721938337792
,Access will be granted to residents TOMORROW at noon. This is for your safety as we clean up the roads #IrmaCleanUp  s/907247612755156992   …,2017-09-11,1,/MiamiBeachNews/status/907247798600552449
,"We want to reiterate to our residents, if you witness or hear of any crime tonight, especially in those areas without power, call 911",2017-09-11,1,/PascoSheriff/status/907402263978799105
,Hillsborough County urges residents to stay in place as emergency crews assess the area. Please take this into consideration as you return.,2017-09-11,1,/HillsboroughFL/status/907270703543717888
,Flood water can contain harmful bacteria. Wash your clothes after a cleanup. #HurricaneHarvey     ,2017-09-03,1,/CDCgov/status/904343238013739008
,Giving back:   #FireRescue    Sta 37 serving up dinner for residents of Carefree Cove Mobile Home Park tonight,2017-09-17,1,/PIOMikeJ/status/909519989115424768
,"Over 1,000 of our officers are on uniform patrol. Criminals- don't even think about taking advantage of our residents! #HurricaneIrma",2017-09-09,1,/MiamiDadePD/status/906508811267178497
,"we work closely w/  , our trolleys take any residents to   evacuation bus pick up sites to be taken to shelters",2017-09-08,1,/MiamiBeachNews/status/906121053038104576
,"There are many ways to disinfect drinking water, even if you can’t boil – learn how:  epa.gov/ground-water-a nd-drinking-water/emergency-disinfection-drinking-water   …  #Maria",2017-09-24,1,/EPA/status/912025092267196416
,Helping residents who are getting flooded by the Anclote River in the Elfers area. #InThisTogether,2017-09-12,1,/PascoSheriff/status/907711619542679553
,We urge residents to comply with this #evacuation  order for #HurricaneIrma  y/status/905603700227530752   …,2017-09-06,1,/CityofMiami/status/905633196976504833
,"Broward residents, debris pick up will be announced by your city. 1stpriority will be high traffic corridors in worst condition. #Irma",2017-09-11,1,/ReadyBroward/status/907292074118189056
,In S.Fla thousands of elderly residents are in facilities with no power & no elevators   miamiherald.com/news/weather/h urricane/article173218921.html   …  #Sayfie,2017-09-14,1,/marcorubio/status/908297215491416064
,Grapeland Park will reopen Sunday at 10am. Free admission for   residents and employees! ,2017-09-16,1,/CityofMiami/status/909161005778956289
,"There are many ways to disinfect drinking water, even if you can’t boil – learn how:   epa.gov/ground-water-a nd-drinking-water/emergency-disinfection-drinking-water   …  #Irma  #Harvey  #NatlPrep",2017-09-11,1,/EPA/status/907349752068657155
,"Pasco Sheriffs Deputies, Officer Friendly assisted with more than 800 bags of food were distributed this morning to residents of Lacoochee",2017-09-13,1,/PascoSheriff/status/908017260035559429
,It was never set for return today. We will be granting access to residents tomorrow at noon so that our safety teams can clean up roads,2017-09-11,1,/MiamiBeachNews/status/907231223201845248
,.  brigade conducts numerous high-water rescues:    ,2017-09-13,1,/USNationalGuard/status/908043044968071168
,"Starting today, we're teaming up w/   to help provide food to residents affected by Hurricane Irma.    ",2017-09-14,1,/HillsboroughFL/status/908426637074714624
,Hillsborough County residents can prepare up to 25 sandbags per household at no cost at these active service units:     .,2017-09-06,1,/HillsboroughFL/status/905548541917102080
,Great job by   helping residents in need.  status/907980440887332864   …,2017-09-13,1,/citybeautiful/status/907994919616249856
,Lt Galassi is briefing more of the Sheriff's Swift Water Response Team on the dangers of these flood zones and reminding them to be careful!,2017-09-12,1,/PascoSheriff/status/907732756628733952
,At 3pm City of #Miami  residents can grab up to 6 sandbags at Grapeland Park. 1550 NW 37th AVE. Bring your ID to show proof of residence.,2017-09-07,1,/CityofMiami/status/905811515848224769
,Both sandbag pickup locations - 1010 Woods Ave. and   - open at 7 a.m. today for City residents -->    ,2017-09-08,1,/citybeautiful/status/906093515993702400
,"To our residents, after the storm, please do not return immediately to the roads.  We will have deputies out doing damage assessments.",2017-09-10,1,/PascoSheriff/status/906953894848352256
,Thank you to our residents who continue to share amazing stories of our officers during #HurricaneIrma  -    ,2017-09-12,1,/PPinesPD/status/907595699092672513
,We continue to urge our residents to make sure their doors are locked & that valuables are taken out of vehicles and stored in a safe place.  tatus/913379075150016512   …,2017-09-28,1,/PascoSheriff/status/913379144389529601
,# TurnAroundDontDrown ! Do not attempt to cross a flowing stream or drive in water. The depth is not always obvious.,2017-09-06,1,/PascoSheriff/status/905483661780377600
,We urged residents in buildings near cranes to evacuate. Removing cranes is a slow process taking about 2 weeks & there wasn't enough time.,2017-09-09,1,/CityofMiami/status/906599747905040384
,Broward residents urged to be cautious and use only licensed & insured contractors to handle hurricane repairs.   minDisplayMessages.aspx?intMessageId=10713   …,2017-09-13,1,/ReadyBroward/status/908003505331429377
,We have 3 locations available for city residents to pick up sandbags. More info:    ,2017-09-06,1,/CityofTampa/status/905516388932050945
,High-5s for Commissioner   for donating his personal generator to residents of Martin Fine Villa who just want power #AfterIRMA,2017-09-14,1,/CityofMiami/status/908390818154721280
,Now is the time to prepare not panic. FREE sandbags for MB residents tmrw at 6A. #Irma  /status/905555030375313408   …,2017-09-06,1,/MiamiBeachPD/status/905555549789544449
,"# Irma  sandbag update: effective immediately, residents must bring their own bags to fill at 1010 Woods Ave. and  .",2017-09-08,1,/citybeautiful/status/906203852252303360
,standing water along SR408 and I-4. You need to be home and off the roads now. This is for your safety,2017-09-10,1,/FHPOrlando/status/906932315858796551
,we are granting access to residents tomorrow to let our work crews clean up and make sure roadways are safe for everyone,2017-09-11,1,/MiamiBeachNews/status/907218747731181568
,Thank you to our residents for a very smooth post-impact recovery process; please remain safe and patient while repairs are underway.,2017-09-11,1,/PPinesPD/status/907272568129847296
,"# HurricaneIrma  Preparation, what the City is doing and what residents need to know. #Miami  -",2017-09-06,1,/CityofMiami/status/905559516900724737
