Topic,Tweets,Date,Number
,yea good bye customers,11/8/2017 ,1
,GOOD!!!!!!!!!~,7/29/2017 ,1
,Good.,1/22/2018 ,1
,Haha good ideas!,11/9/2017,1
,Good to be back!,10/20/2017,1
,Good for them! #VoteNoAHCA #NoAHCA #NoTrumpCare,5/4/2017 ,1
,Good,1/25/2018 ,1
,Good..!!!,1/24/2018 ,1
,"Good advice, get feck out of there",9/5/2017 ,1
,Good Lord.,12/14/2017 ,1
,Good Lord.,11/19/2017 ,1
,Good,1/23/2018 ,1
,Good Riddance......,10/27/2017 ,1
,Good grief,8/19/2017 ,1
,good,6/20/2017 ,1
,Waste of good tits,10/13/2017,1
,A good examp?,12/18/2017,1
,Anyday above ground I'm good!,12/18/2017,1
,Good for them.,10/19/2017 ,1
,You good?,9/10/2017 ,1
,That is a good move.,7/21/2017,1
,Good!,9/11/2017,1
,Good for you! Blessing,9/15/2017 ,1
,Good,11/30/2017,1
,Good for them....,8/24/2017,1
people wrong need white help stupid really stop black way
,Torture those people plesse,6/9/2017 ,2
,People are imbeciles apparently.,1/11/2018 ,2
,What about the people?,1/22/2018 ,2
,Morgan and Morgan for the people.,1/29/2018 ,2
,on boats rescuing people unfortunately,8/28/2017 ,2
,"Uber people, Uber.",1/31/2018 ,2
,Grateful for all these people do!,9/11/2017 ,2
,Because of you people..!,9/9/2017 ,2
,So where can people see you at again???,2/5/2018,2
,So disheartening...people are no longer who they appeared to be.,12/15/2017,2
,Some people are so cruel :'(,5/16/2017 ,2
,"Cmon people, clean up your trash!!!",6/2/2017 ,2
,Not enough people are aware of this!! #NoBlinkingHazards please!,5/25/2017 ,2
,But people get offended by kneeling,10/17/2017 ,2
,Garbage people...Bury them.,7/6/2017 ,2
,The only brave around unarmed people,1/26/2018 ,2
,I always wondered if people steal from those,5/2/2017 ,2
,WHAT is with people???,7/20/2017 ,2
,Prisons are full of mentally ill people!,12/6/2017 ,2
,How are people over there not tired of it?,11/4/2017 ,2
,Pizza is bringing people together! @Visit_Tally #ihearttally,9/11/2017 ,2
,My people!,6/28/2017 ,2
,"IT IS NOT ABOUT THE FLAG, PEOPLE!!",9/26/2017 ,2
,Proof that some people are not very intelligent.,9/10/2017 ,2
,That's for the people to decide. It's a reflection of the democratic will.,8/17/2017,2
,"Well, it was on ballot and directed by the people, regardless of what anybody thinks!",5/25/2017 ,2
,"There should be federal protections"" for #LGBTQ people",5/17/2017 ,2
,He will keep robbing people,12/17/2017,2
,"Brain tumor or not: If he votes to take healthcare from millions of people, he's a hypocrite, and no hero. @SenJohnMcCain",7/25/2017,2
,People????,9/10/2017 ,2
,"No, people, noooooooooo",9/10/2017 ,2
,People are retarded,10/14/2017 ,2
,"Those freakin people, gotta steal",7/18/2017 ,2
,People felt threatened.,12/1/2017 ,2
,So now people are responsible for their siblings decisions??,10/2/2017 ,2
,"Andrew, are people being evacuated (flown out)?",9/18/2017 ,2
,Who TF are these people writing in?,12/12/2017 ,2
,People are ruthless...,12/13/2017 ,2
,"People can be so evil, #deportALLillegals .",11/14/2017 ,2
,You people are !!!!!,5/29/2017 ,2
,Reminding us all how heartless and evil people can be.,9/9/2017,2
,there are some decent people out there....,9/15/2017 ,2
,"People evacuated because of you and now they're in danger, who's the troll??",9/9/2017 ,2
,Why can’t people be held accountable for their actions anymore?,12/27/2017 ,2
,That’s bc Pam Bondi is in these people’s pockets.,12/13/2017,2
,People suck.,7/25/2017 ,2
,Precious people!,8/3/2017,2
,People suck. Resist,9/14/2017 ,2
,Are we arresting people with syphilis chlamydia TB and the flu too?,11/22/2017 ,2
,Some people call the ball players Thugs?,9/27/2017 ,2
,All whites people are “confirmed mentally ill”,12/7/2017 ,2
,People interpret the bible (and other religious texts) to back up their own beliefs. Wars have been fought on the basis of religion since before christ and before the bible.,12/13/2017 ,2
,Why do people do that,9/10/2017 ,2
,Homosexuals have spread aids to people on purpose from the beginning of aids!,8/3/2017 ,2
,Unlike some people,10/17/2017 ,2
,Were they transporting people?,8/30/2017,2
,Because the avocados were stabbing so many people?! This is a squash. #Squacamole #squavado,12/8/2017 ,2
,Quota should ALSO be how many people they have helped per shift,8/10/2017,2
,People are so messed up!,11/24/2017,2
,Some people are pure garbage,11/8/2017 ,2
,He has no filter. He has no empathy. This is what people get when they put a reality show host ib the WH.,10/17/2017 ,2
,How much sicker can people get?!?!,1/24/2018 ,2
,"People are dying from Opioids at a higher rate than Aids when it was at it's Peak,",11/16/2017 ,2
,Because people suck.,11/9/2017 ,2
,@stipemiocicufc why are you out there kidnapping people?,1/6/2018 ,2
,So where can people see you at again???,2/5/2018,2
,Grow up people!,1/16/2018 ,2
,People*,10/13/2017 ,2
,Elect smarter people.,1/13/2018 ,2
,These people are scum. ... utter scum.,9/9/2017 ,2
,Some fucked up people out there,2/5/2018 ,2
,So are thousand of other people.,9/28/2017 ,2
,60 pounds of a plant people.,12/22/2017,2
,People still take Taxis?,1/31/2018 ,2
,Why are people so hateful?,9/22/2017 ,2
,You people will whine about anything,1/1/2018,2
,Aaaa that's not a speedboat people !!!!!,11/20/2017 ,2
,Those people mush be punished!,11/9/2017 ,2
,Neither can overweight people.,7/26/2017 ,2
,People from Wisconsin are tough.,8/15/2017 ,2
,c'mon my people,9/10/2017 ,2
,Now the owl loves the people!,1/11/2018 ,2
,When people do anything and everything to get noticed. Wacky! #stayhome #youareirrelevant,1/30/2018,2
,Shithole people...,1/14/2018 ,2
,They SHOULD prosecute these people! HOW DARE they do that!,9/10/2017 ,2
,...so some people would not be vulnerable.,6/29/2017 ,2
,235 Have joined Allah sooner then they should have and these evil people will be found and hunted then strung up on a noose from there throats and blood will drip from there ears as they bleed and repent for what they have done,11/24/2017 ,2
,Horrific! Those people are evil!,7/25/2017 ,2
,Some people are simply devoid of humanity,7/8/2017 ,2
,"People are nuts, Alex!",1/23/2018,2
,Geeesh I dislike people!!!,9/15/2017 ,2
,Luckiest people ever.,10/14/2017,2
,People are German.,12/11/2017 ,2
,More people who were there should be tweeting this.,11/17/2017 ,2
,Who are those people ?,12/25/2017,2
,people are milking the system,11/9/2017,2
,thief's shitty people..,1/30/2018 ,2
,"Bankers, globalist, and rich elite are people too! Why can’t they admire Bama and Killary!?",12/27/2017 ,2
,Take note people.,1/10/2018 ,2
,It’s become more about the individual and less about the people they represent. She’s is something else.,1/17/2018 ,2
wfla http ly bit tampa florida rt wjctjax man ow
,Puppy recovering after being severely beaten http:// bit.ly/2ByzPaA via @wfla,1/28/2018 ,3
,A CDC ban on ‘fetus’ and ‘transgender?’ Experts alarmed http:// bit.ly/2oqkGqh via @wfla,12/17/2017,3
,Kentucky lawmaker facing assault allegations kills himself http:// bit.ly/2C4EstD via @wfla,12/14/2017,3
,8 ways to spot a diploma mill http:// bit.ly/2j2sybQ via @wfla,11/20/2017 ,3
,Christopher Plummer to replace Kevin Spacey in Getty film http:// bit.ly/2hecZND via @wfla,11/9/2017,3
,Listeria concerns causes massive nationwide recall of vegetable products http:// bit.ly/2yIdwRm via @wfla,10/23/2017 ,3
,NO WALL! Construction of border wall prototypes begins in San Diego http:// bit.ly/2wVgGNE via @wfla,9/27/2017,3
,Congresswoman Castor speaks out against proposed cuts to Meals on Wheels http:// bit.ly/2emruNX via @wfla,8/31/2017 ,3
,Tension grows in Brooksville over Confederate memorial http:// bit.ly/2wpiS3x via @wfla,8/18/2017 ,3
,Hoping the holidays brought you this much joy!! http:// bit.ly/2l6NYpW via @wfla,12/27/2017 ,3
,"3-2-1, BAM! Georgia Dome imploded http:// bit.ly/2zj2vrL via @wfla",11/20/2017 ,3
,Where you can't grab an Uber during Gasparilla http:// bit.ly/2ke1Pvg via @wfla,1/23/2018 ,3
,'Captain' for hire busted for boating under the influence during Gasparilla http:// bit.ly/2rY8zTg via @wfla,2/2/2018 ,3
,Three reasons why chocolate milk is a healthy choice http:// bit.ly/2xm3sgb via @wfla,9/20/2017 ,3
,Russell Simmons steps down from companies amid allegations http:// bit.ly/2BlE9u3 via @wfla,11/30/2017 ,3
,"Marshawn Lynch sits for most of U.S. anthem, stands for Mexican anthem http:// bit.ly/2zPEiJ0 via @wfla",11/19/2017 ,3
,6.3-magnitude earthquake strikes in Mexico http:// bit.ly/2mWNC6a via @wfla,1/19/2018 ,3
,US regulators approve first digital pill to track patients http:// bit.ly/2zBZrX5 via @wfla,11/14/2017 ,3
,"Marshawn Lynch sits for most of U.S. anthem, stands for Mexican anthem http:// bit.ly/2zPEiJ0 via @wfla",11/20/2017 ,3
,Derive is featured on What's WHOA! at #CES2018 via @wfla with @katlean : http:// bit.ly/2ronRAf,1/23/2018 ,3
,8 ways to spot a diploma mill http:// bit.ly/2j2sybQ via @wfla,11/21/2017 ,3
,Bernie the Dolphin Cast @lionsgate @ambipictures @filmstpeteclear http:// bit.ly/2E5U02A via @wfla,1/24/2018 ,3
,Dueling protests planned at Confederate monument in Bradenton http:// bit.ly/2wkmljB via @wfla,8/19/2017 ,3
,http:// bit.ly/2AdA9yZ via @WFLA your links to the forms are broken.,11/27/2017 ,3
,@GreysABC @shondarhimes http:// bit.ly/2vvxSgX @wfla,9/1/2017,3
,Mmmmmm-hmmmmmmm http:// bit.ly/2xJyhbF via @wfla,10/16/2017 ,3
,Bellsaint Performs http:// bit.ly/2jLjVWN via @wfla @BELLSAINTmusic and @GrimBrotherIII,9/20/2017 ,3
,Disney announces layoffs in parks and resorts division http:// bit.ly/2zRNdr8 via @wfla,1/23/2018 ,3
,Meaning of THANKSMAS @Cubsjoemadd Former Rays manager Joe Maddon speaks on meaning of 'Thanksmas' http:// bit.ly/2AGcSCR via @wfla,11/15/2017 ,3
,WHERE DO I APPLY?!? http:// bit.ly/2mOXTRZ via @wfla,1/18/2018 ,3
,http:// bit.ly/2vEWRgk via @wfla,8/18/2017 ,3
,http:// bit.ly/2uR78pS via @wfla,8/18/2017 ,3
,http:// bit.ly/2sNlYuj via @wfla,8/18/2017 ,3
,http:// bit.ly/2vBFn45 via @wfla,8/18/2017 ,3
,7.1 magnitude earthquake hits Mexico http:// bit.ly/2xkx9OP via @wfla,9/19/2017 ,3
,Lakeland bar puts Kaepernick jersey decals in urinals http:// bit.ly/2diEeT4 via @wfla,9/27/2017 ,3
,How to order Harry Potter secret menu drinks at Starbucks http:// bit.ly/2FPahJt via @wfla @jkleiin @klein_sydney,1/17/2018 ,3
,Brazen porch pirate swipes stack of packages in Clearwater http:// bit.ly/2DmhrYd via @wfla,1/18/2018 ,3
,Construction of #borderwall prototypes begins in San Diego http:// bit.ly/2wVgGNE via @wfla,9/26/2017 ,3
,Dueling protests planned at Confederate monument in Bradenton http:// bit.ly/2wkmljB via @wfla,8/18/2017 ,3
,Uber passenger busted stuffing drugs in his rectum in Charlotte Co. http:// bit.ly/2xFXFCu via @wfla,9/27/2017 ,3
,The Costumes of Andre Rieu http:// bit.ly/2wBaH0p via @wfla,9/28/2017 ,3
,"Veteran suicides, VA corruption focus of rally and protest http:// bit.ly/2fY7r9Z via @wfla",10/2/2017 ,3
,Top Myths of Vitamin D http:// bit.ly/2yA5lGL @wfla,10/19/2017 ,3
,Fly in the famous 'Batcopter' at aviation expo in Sebring http:// bit.ly/2Fbw8Kc via @wfla,1/25/2018 ,3
,Rumors of property sale swirling around Oldsmar Flea Market http:// bit.ly/2vXU42S via @wfla,8/13/2017 ,3
,Kentucky lawmaker facing assault allegations kills himself http:// bit.ly/2C4EstD via @wfla,12/13/2017 ,3
,Toys 'R' Us could be filing for bankruptcy http:// bit.ly/2xKTLJD via @wfla,9/18/2017 ,3
,Target 8: V.A. brass sends cop to snatch signs promoting suicide awareness http:// bit.ly/2wpy7HC via @wfla,8/30/2017 ,3
,Oreo offers $50K for correctly guessing mystery flavor http:// bit.ly/2yD1MRB via @wfla,10/11/2017,3
,FedEx warns of phony email alerts http:// bit.ly/2CZJLvE via @wfla,12/18/2017 ,3
,Hotel worker warned of shooter before Las Vegas massacre http:// bit.ly/2ygFC61 via @wfla,10/11/2017 ,3
,Feeling incredibly humbled... http:// bit.ly/2voaFbu via @wfla @WFLAGayleG @BestBuddiesTPA @BestBuddies @FurmanU,8/23/2017 ,3
,Proposed legislation would require landlords to provide proof of employee background checks http:// bit.ly/2pgj82L via @wfla,12/24/2017,3
,California becomes first to allow gender-neutral birth certificate http:// bit.ly/2yutYVp via @wfla,10/19/2017 ,3
,WWE: Pro wrestler Ric Flair out of surgery and resting http:// bit.ly/2uIh9SV via @wfla,8/14/2017 ,3
,"Well, This Is Beyond Scary!! http:// bit.ly/2D2lbNo via @wfla",1/15/2018 ,3
,Massive sinkhole opens in Apopka http:// bit.ly/2x1qHfu via @wfla,9/13/2017 ,3
,Uber passenger busted stuffing drugs in his rectum in Charlotte Co. http:// bit.ly/2xFXFCu via @wfla,9/27/2017 ,3
,7.1 magnitude earthquake hits Mexico http:// bit.ly/2xkx9OP via @wfla,9/19/2017 ,3
,Northern Lights glimmer in Finland http:// bit.ly/2eVVMLz via @wfla,9/10/2017 ,3
,Pinellas Co. Vietnam veteran on oxygen thankful to have lights back on http:// bit.ly/2wzfuPW via @wfla,9/20/2017 ,3
,#HumanTrafficking #NotForSale #CrimesAgainstChildren #ChildTrafficking #IAmJaneDoe #IAmJohnDoe http:// bit.ly/2xL8wb3 via @wfla,10/22/2017 ,3
,Serial robber sought in Hillsborough Co. http:// bit.ly/2zuxCPV via @wfla,11/10/2017 ,3
,Top Myths of Vitamin D http:// bit.ly/2yA5lGL via @wfla,10/20/2017 ,3
,Markle engagement ring has 2 of Princess Diana’s diamonds http:// bit.ly/2A8rj4Z via @wfla,11/27/2017 ,3
,@greta Official: 4 US tourists attacked with acid in Marseille http:// bit.ly/2xdfubZ via @wfla,9/17/2017 ,3
,RAYSUP!!!!!!!! http:// bit.ly/2l9LWYD via @wfla,10/24/2017 ,3
,The PERVERTS are everywhere http:// bit.ly/2yAbnIE via @wfla,10/10/2017 ,3
,8 ways to spot a diploma mill http:// bit.ly/2j2sybQ via @wfla #iGotYourNumber,11/27/2017 ,3
,Tension grows in Brooksville over Confederate memorial http:// bit.ly/2wpiS3x via @wfla,8/19/2017,3
,Shallow Graves http:// bit.ly/2yikZGI via @wfla,10/13/2017,3
,Taco Bell testing ‘Chocoladilla’ made with Kit-Kat bars http:// bit.ly/2yMjxfX via @wfla,10/25/2017,3
,"Veteran suicides, VA corruption focus of rally and protest http:// bit.ly/2fY7r9Z via @wfla",10/26/2017 ,3
,Target 8: VA brass sends cop to snatch signs promoting suicide awareness http:// bit.ly/2wpy7HC via @wfla,10/26/2017 ,3
,Gus Trent Rodeo http:// bit.ly/2vjq6T6 via @wfla,8/25/2017 ,3
,Que pantalones los de esta mujer http:// bit.ly/2CLPbtA via @wfla,1/10/2018 ,3
,Tension grows in Brooksville over Confederate memorial http:// bit.ly/2wpiS3x via @wfla,8/19/2017,3
,8 most-haunted places in #TampaBay http:// bit.ly/2gJg4oD via @wfla #Halloween pic.twitter.com/TvOuyoxs6L,10/31/2017 ,3
,Sarah on @Great38tv @WFLA interviewed by @WFLAGayleG & @WFLALeigh about #OneChanceTheBook #teenauthor #booklaunch http:// bit.ly/OneChanceSarah Frank … pic.twitter.com/ae8eG0ryCW,1/15/2018 ,3
,Hundreds of cows evacuated from Florida ranch after dike breaks http:// bit.ly/2xsMNaY via @wfla,9/22/2017 ,3
,Florida survivors can now register for disaster assistance from FEMA http:// bit.ly/2f2qWRc via @wfla,9/12/2017 ,3
,"Winning $758M Powerball ticket sold in MA, Three $1M winners in Florida http:// bit.ly/2wqFJMp via @wfla",8/24/2017,3
,Flu widespread in Florida: Should you panic? http:// bit.ly/2EU58Pe via @wfla,1/20/2018 ,3
,Florida survivors can now register for disaster assistance from FEMA http:// bit.ly/2f2qWRc via @wfla,9/13/2017 ,3
,Deadly strain of flu hits Florida http:// bit.ly/2mpU714 via @wfla,1/21/2018,3
,Parts of Florida see snowfall http:// bit.ly/2jEG2eX via @wfla,12/10/2017 ,3
,Florida lawmakers to consider raising tobacco-buying age to 21 http:// bit.ly/2kU6W29 via @wfla,12/21/2017 ,3
,Deadly strain of flu hits Florida http:// bit.ly/2mpU714 via @wfla,1/11/2018 ,3
,#ICanDoBetterBy teaching a chicken the Zen of paddle boarding in #FloridaKeys #Florida http:// bit.ly/2xMSxsZ via @wfla,10/18/2017,3
,AG Bondi asks Florida Department of Corrections to deny O.J. Simpson relocation for parole http:// bit.ly/2xLEVRY via @wfla,9/29/2017 ,3
,Looters target Florida Dance Theater in Lakeland http:// bit.ly/2wXPtgq via @wfla,9/12/2017 ,3
,Florida Highway Patrol memo raises ticket quota concerns http:// bit.ly/2utsvhw via @wfla,8/14/2017,3
,Florida Highway Patrol memo raises ticket quota concerns http:// bit.ly/2utsvhw via @wfla,8/10/2017 ,3
,Flu widespread in Florida: Should you panic? http:// bit.ly/2EU58Pe via @wfla,1/20/2018 ,3
,Deadly strain of flu hits Florida http:// bit.ly/2mpU714 via @wfla,1/13/2018,3
,Deadly strain of flu hits Florida http:// bit.ly/2mpU714 via @wfla,1/11/2018,3
,Florida survivors can now register for disaster assistance from FEMA http:// bit.ly/2f2qWRc via @wfla,9/13/2017,3
,Fly in the famous 'Batcopter' at #aviation expo in Sebring - @wfla : http:// fat.ly/2PS69,1/27/2018,3
,#Flight problems? @AmericanAir will fork over extra miles on the spot - @wfla : http:// fat.ly/4bDN1,1/14/2018 ,3
thank god safe bless service sharing stay appreciate hope awesome
,Thank you!!,1/20/2018 ,4
,Thank you!,1/5/2018 ,4
,Thank you,12/13/2017,4
,Thank you!,1/17/2018,4
,Thank you! You too!,12/13/2017,4
,Thank you,12/25/2017,4
,Aw thank you!!,9/9/2017 ,4
,Thank you for the programming note!,9/9/2017 ,4
,Thank you,12/8/2017 ,4
,Thank goodness,8/16/2017 ,4
,Thank you!,2/2/2018,4
,Thank you for weighing in!,1/19/2018,4
,Thank you!,12/2/2017 ,4
,Thank you so much,1/22/2018,4
,Thank you.,10/20/2017 ,4
,"Thank you, @ashleybauman",1/28/2018 ,4
,Thank you!!,6/9/2017 ,4
,Thank you!,1/10/2018 ,4
,Thank you!,2/4/2018 ,4
,Thank you,2/5/2018 ,4
,Thank you,2/2/2018 ,4
,Thank you,1/30/2018 ,4
,Thank you Heather!!!!!!!!,1/24/2018,4
,I this show. Thank you!,10/17/2017 ,4
,Thank you so much! Very excited!,12/15/2017 ,4
,Thank you @myLEADNation @ShevrinJones,6/7/2017 ,4
,Thank u so much..,11/14/2017,4
,"Thank you, Jamie!",1/16/2018 ,4
,Thank you Ileana!,1/19/2018 ,4
,Thank you!!!,1/4/2018 ,4
,Thank you!,10/7/2017 ,4
,Thank you,9/7/2017 ,4
,thank you,1/29/2018,4
,Thank you!,7/27/2017 ,4
,Thank you!,7/6/2017 ,4
,Thank you!!!,7/6/2017 ,4
,Thank you!,10/12/2017,4
,Thank u,12/6/2017,4
,Thank you!,9/10/2017 ,4
,"Thank-you for the up dating with this muster Si...,zzzzzzzzzz",9/5/2017 ,4
,"I am, thank you :)",10/18/2017 ,4
,Lilana Aguilar has been located! Thank you for the RTs!,8/23/2017 ,4
,Thank the lawd for infrastructure,9/11/2017 ,4
,Thank you.,9/11/2017,4
,Thank you,10/8/2017 ,4
,thank you!,12/15/2017,4
,Thank you @BaldwinEMC,9/11/2017 ,4
,Thank you sarah,9/13/2017,4
,Thank you.,6/8/2017 ,4
,Thank you!!!,8/21/2017 ,4
,Thank you,2/2/2018,4
,Thank you so much,1/13/2018 ,4
,Thank you so much.,12/19/2017,4
,Thank you so much,12/12/2017,4
,Thank you!,9/6/2017 ,4
,Thank fuckin Christ.,8/11/2017 ,4
,OKKKKKK ! thank you,8/20/2017 ,4
,Thank you Senator Nelson! !,9/21/2017 ,4
,Thank you.,9/9/2017 ,4
,Thank you!,10/7/2017 ,4
,Thank you - @tv_leader,5/21/2017 ,4
,Thank you for your integrity,5/4/2017 ,4
,Thank you for this!,1/5/2018,4
,Thank you @mfrass,10/18/2017 ,4
,thank you @nataliacald7,1/1/2018 ,4
,Thank you.,1/14/2018 ,4
,Thank you!!!,1/21/2018 ,4
,Awe thank you so much !,9/10/2017 ,4
,thank you!,1/21/2018,4
,Thank you!,2/1/2018 ,4
,"Thank you, @CateTV . Are you at CloudFest?",1/31/2018 ,4
,"Thank you, @ashleybauman",1/28/2018 ,4
,"Thank you, @MattPaulson28",1/26/2018 ,4
,"Thank you, Robert.",1/10/2018,4
,"No, thank you!",6/20/2017 ,4
,Thank you @SonyaSmith17 @GaryMcsparen,8/19/2017,4
,Can you please message us the exact location? Thank you!,9/10/2017 ,4
,Thank you,2/2/2018 ,4
,Thank you,1/30/2018 ,4
,Thank you,1/26/2018 ,4
,Thank you!,1/5/2018,4
,Thank you!,1/5/2018,4
,Thank you!,1/5/2018,4
,Thank you Superstar !,9/19/2017 ,4
,No thank you!,1/22/2018 ,4
,Thank u,9/13/2017 ,4
,Thank you.,1/23/2018 ,4
,Thank the Lord,1/6/2018 ,4
,Thank you Richie!,1/7/2018 ,4
,Thank you so much!,1/7/2018 ,4
,Thank you!,1/7/2018 ,4
,Thank you Ashleigh keep it up,9/8/2017 ,4
,Thank you for your efforts,9/4/2017 ,4
,"Thank you, ma'am...",5/30/2017 ,4
,Thank you Wendy! #WeAre,7/26/2017 ,4
,Thank you,9/6/2017 ,4
,thank you!!,1/8/2018,4
,Thank you!,6/29/2017,4
,Thank you,9/10/2017 ,4
,Thank you,7/11/2017 ,4
wesh wftv news6wkmg orlando mynews13 live irma fox35news game tonight
,WESH 107.7 FM Magic 107 WMGF,9/8/2017,5
,@WESH are the brush fires out,6/7/2017,5
,>>> @WESH,9/10/2017 ,5
,@WESH Will tour please mention Lolita the Killer Whale being abandoned?,9/10/2017,5
,Shooter reloaded the handgun at least once. @WESH,6/5/2017 ,5
,"Hadas, jasmine, others can't have surrogates there @WESH",11/15/2017,5
,le fait que le compte @WESH existe et qu'il soit certifié me rend heureuse,7/29/2017,5
,@OrangeCoFL @orlandomayor @Mayor_Jacobs According to @WESH crashes up 53percent/injuries up 158percent on I-4 by VolcanoBay @UniversalORL .,5/18/2017,5
,@WESH sewage systems in Oviedo is backing up into our houses!,9/11/2017,5
,WESH 2 is Garbage,1/2/2018 ,5
,@WESH I have not moved sandbags,9/16/2017 ,5
,@WESH are there any signs or cones?,9/12/2017 ,5
,"@WESH the caption is incorrect on donations. Millions of $$, over 53k donors.",10/3/2017 ,5
,@WESH are curfew still in effect?,9/11/2017,5
,"@WESH it’s A-ran-sas, not Arkansas!",11/20/2017 ,5
,@megynkelly @WESH Corporate mouthpiece,8/10/2017 ,5
,@WESH agreed!,7/4/2017,5
,Spanking is part of being a parent @WESH,11/4/2017 ,5
,@WESH Foxtrot Oscar!,6/21/2017,5
,"@WESH Unless he was portraying a clown, he surely would have looked suspicious walking in with such baggy pants.",6/6/2017,5
,They're back to racing at Indy on @WESH #Brickyard400,7/23/2017 ,5
,@WESH why can I not get WESH on my digital antenna?,9/7/2017 ,5
,WESH ROCKS,2/5/2018,5
,@WESH Congestion seems to already be clearing now I75 & US27 in Ocala,5/22/2017 ,5
,Wesh 2,12/27/2017,5
,@WESH Large brush fire and growing has evacuated Saint Cloud elementary.,5/18/2017 ,5
,@WESH ^^,9/10/2017 ,5
,"@WESH , It's not Kansas!"" @TMainolfiWESH""",7/7/2017 ,5
,@WESH @TMainolfiWESH Hunker down!!!,7/7/2017 ,5
,@WESH,1/30/2018 ,5
,@WESH,1/26/2018 ,5
,@AllyKraemer @meganwlwt @StreetvibesNews @_SarahSikora @BreannaMolloy @SethManey @WESH @abc13houston @KPRC2 @AshleyAllf @ErielleReshef @Sarah_Hyland @LisaSmithWCPO @NatalieClarkTV @CoachDeke @lindsayjobst @kristyn_wcpo @DwightAFerrell @PaolaSNews @amymers,1/4/2018,5
,@amysweezey @wesh,9/10/2017 ,5
,WESH is so predictable.,6/1/2017 ,5
,the Ringling Bros and Barnum &Bailey Circus @WESH,8/7/2017 ,5
,Jury has returned to courtroom. @wesh,7/12/2017 ,5
,Opening statements begin at 1:30pm. @WESH,7/12/2017 ,5
,Spokesperson could not confirm whether the gunshot was self-inflicted. @WESH,12/1/2017,5
,Jury is being brought back in now. #DuxburyTrial @WESH,11/20/2017 ,5
,Cross examination begins for DNA testing testimony. #DuxburyTrial @WESH,11/20/2017,5
,@WESH what about Jose????,9/11/2017 ,5
,#FF @ChesleyBrownCo @StpPyngLwyrFees @cigarsafterdark @DJonesWFTV @PrInCoventry @WESH @DaytonaBeachIn @_ACIDNYC_COM @NewsJournaledit,5/25/2017,5
,@WESH where can the @NDFootball @NDonNBC be watched,9/9/2017 ,5
