Tweet,Date,Link,Relevance,Manual 
'Tourniquet Killer' Anthony Shore has been executed in Texas. __NEWLINE__  http://nbcnews.to/2mWBqCn Â ,2018-01-19,/NBCNews/status/954331362047221761,0,
Last year the BDE had already left its participation in the shares of the airline http://ow.ly/BfNP30hIjoI,2018-01-11,/VoceroPR/status/951509068732162049,1,
They take advantage of the dark streets __PIPE__ Escalan store in Miramar http://bit.ly/2xS0HVy pic.twitter.com/Bca6CZeSjW,2017-09-20,/primerahora/status/910659980742791168,0,
Brevard teacher accused of sexual relationship with student   Â  ,2017-10-11,/WESH/status/918114811782688769,,
He did not want others to experience what happened to her. http://bbc.in/2zwbIgq pic.twitter.com/fvagzhRLxf,2017-11-29,/bbcmundo/status/935949746514153474,0,
"The violent history of Oumuamua, the ""asteroid cigar"" and the chaotic future that awaits you http://bbc.in/2o49uw3 pic.twitter.com/WUMjLwdhnM",2018-02-13,/bbcmundo/status/963499798346321921,0,
They define candidates for presidential elections in 2018 in #Paraguay http://bit.ly/2BoRkve pic.twitter.com/y29iGUgZut,2017-12-17,/teleSURtv/status/942415768150597634,0,
France mourns 'hero' officer who took place of hostage in attack https://reut.rs/2GmR3hy Â ,2018-03-24,/Reuters/status/977594043004870657,0,
"The moment when Nemo, the dog of French President Emmanuel Macron, urinates in full ministerial meeting http://bbc.in/2yMQHdY pic.twitter.com/wZwq8m3P8F",2017-10-25,/bbcmundo/status/923282033870241793,0,
How Peggy Johnson became Microsoft's 'deal-maker-in-chief' by leading the $26 billion LinkedIn acquisition and 40 other investments -- Listen on @ApplePodcasts   http://read.bi/2Ec8ro3 Â  pic.twitter.com/Ctr6qKE7EI,2018-02-02,/businessinsider/status/959516144922251268,0,
"One dead, 7 cars damaged after illegal street race sets off chain collision in California  http://cbsn.ws/2xzo5pL Â  pic.twitter.com/hDja1uQAab",2017-09-22,/CBSNews/status/911153870767841280,0,
Happy to have you checking in! #9PMRoutine  /status/918629599411621893 Â  â¦,2017-10-12,/PascoSheriff/status/918630947347681280,0,
Eoin Morgan tells off-form Tymal Mills he can still have England T20 future https://trib.al/w4zPuPS Â ,2018-02-06,/guardian/status/960813279303077888,0,
For a period of four to six hours http://ow.ly/5rv330fZpmr,2017-10-19,/VoceroPR/status/921020809484886017,0,
[# MEXICO] Amnesty International denounced that # Mexico illegally deports thousands of Central American immigrants without considering the risks they may face in their countries http://bit.ly/2Du55sN pic.twitter.com/GQd3flzsC3,2018-03-09,/NTN24/status/972165871551397893,0,
Danitza VÃ¡zquez prepares for the Women's Chess World Cup http://bit.ly/2BH0WBf pic.twitter.com/5c4jtssvBy,2017-12-26,/ElNuevoDia/status/945840818941825029,0,
"âThe travel ban into the United States should be far larger, tougher and more specific..."" President #Trump  #FOX35  Â ",2017-09-25,/Fox35News/status/912285563851550721,,
"Chicago Blackhawks players score smiles for 12-year-old with muscular dystrophy. ""A kid like him puts it all into perspective for us.""  http://abcn.ws/2FYAJkl Â  pic.twitter.com/BGFgY0TAix",2018-03-07,/ABC/status/971391614726868992,0,
It will cost billions for companies to comply with Europe's new data law  https://bloom.bg/2GbKa2D Â  pic.twitter.com/I6LLJFHwaE,2018-03-23,/business/status/977049713722699776,0,
"Hackers have carried out a heist on a leading digital currency platform, making off with an unspecific amount of bitcoin  http://cnn.it/2BTDFfM Â  pic.twitter.com/OyaMwNa8PI",2017-12-07,/CNN/status/938770832029028352,0,
Ryan says future Congresses will preserve the temporary provisions in the GOP tax bill  https://bloom.bg/2js7grR Â  pic.twitter.com/nxkHnTMCXh,2017-11-14,/business/status/930559966779465728,0,
President of #Rusia presents new peace project for #Siria http://bit.ly/2jQCpWc pic.twitter.com/t0tlW7rOZT,2017-11-22,/teleSURtv/status/933541616530350080,0,
"Sorry, the snooze button isn't going to save you from this unique alarm clock pic.twitter.com/xuwktobz6Q",2017-10-02,/mashable/status/914953646642565120,0,
Three suitors fight for the love of @maripilyrivera and sweat in the gym looking to captivate her. This Monday @AlRojoVivo 4 pm/3c pic.twitter.com/6VxEE6X8zO,2017-11-18,/AlRojoVivo/status/932005515801980928,0,
This app is helping migrants to call home  https://bloom.bg/2i98Vlx Â  pic.twitter.com/16hBN1r8E0,2017-10-14,/business/status/919058921473572864,0,
Seed companies scramble to save diseased canola crops. See more headlines with @ReutersTV   http://reut.rs/2FmPZYb Â  pic.twitter.com/K0Yl8tu2uU,2018-03-03,/Reuters/status/970056472724779008,0,
[In case you missed it]: This was the big scare that happened @ANGELIQUEBURBU and @NataliaRiveraPR I Watch the video http://bit.ly/2DMNEUs pic.twitter.com/t6zILTd0RJ,2018-01-30,/Metro_PR/status/958294788083671040,0,
"A woman blinded by jealousy in Valledupar, Colombia surprised her husband in the street and jumped on the man's windshield. VIDEO https://trib.al/qjeQn3z",2018-03-13,/AlRojoVivo/status/973756106655793159,0,
Charlie Aponte launches second solo album http://bit.ly/2hyYGa3 pic.twitter.com/MlUu7GKEur,2017-11-14,/ElNuevoDia/status/930515978768789506,0,
"Yesterday, @FLOTUS  tweeted about her ""wonderful"" meeting with Marjory Stoneman Douglas high school shooting survivor @KyleKashuv .  http://bit.ly/2HjGUyR Â  pic.twitter.com/veA9D6Ey8K",2018-03-09,/FoxNews/status/972159580942864384,0,
Attention @ACUEDUCTOSPR! Dangerous 'liqueos' of water and gaps in Quintana (via @elcalcePR) http://bit.ly/2CUwnIV pic.twitter.com/Gqc8hzb81A,2018-01-11,/Metro_PR/status/951574629029736455,0,
[VIDEO] US Congress UU approved bill on government funding that guarantees its operation until January 19 http://bit.ly/2BZ1Ps5 pic.twitter.com/Wao91dg8nK,2017-12-22,/NTN24/status/944334233098649602,0,
"We welcome every human being who committed crimes, he recognizes them, he repents and he commits to repair: Pope Francisco #ElPapaEnColombia pic.twitter.com/uY7pHdcPBp",2017-09-08,/NTN24/status/906283731538862083,0,
"Social media star @LoganPaul  is apologizing after fans blasted him for posting a video of a suicide victim over the weekend. In the video, which we won't show in full, the 22-year-old and his friends are wandering around a forest in Japan when they stumble across the victim. pic.twitter.com/AYsktAjZ8w",2018-01-02,/CBSThisMorning/status/948173391881736192,0,
All 5 living former US presidents will take part in a benefit concert for hurricane relief later this month  http://cnn.it/2fT7uXL Â  pic.twitter.com/hqtZpLc6Ib,2017-10-05,/CNN/status/915792187086065664,0,
"Sen. Franken: âToday, I am announcing that in the coming weeks, I will be resigning as a member of the United States Senateâ pic.twitter.com/SgwN2jNPWg",2017-12-07,/NBCNews/status/938814692927197184,0,
# VIDEO Felines eat plants of #Marihuana and they remain in a state of soporium http: // www. diariolasamericas.com/c4136834,2017-11-12,/DLasAmericas/status/929807935517184000,0,
Interior watchdog says it is investigating Secretary Ryan Zinke's use of charter flights  https://bloom.bg/2xOE4hN Â  pic.twitter.com/iNQFCCmEwW,2017-10-02,/business/status/914946777882791936,0,
One step closer to restoring our oceans  ,2017-09-29,/mashable/status/913890402121400320,,
"The president of @TigresOficial took 1 team in crisis, turned it into sports and economic # RevistaExpansiÃ³n http://ow.ly/4zqr30f1pxJ pic.twitter.com/qG1I8dSpY8",2017-09-09,/ExpansionMx/status/906564152818356225,0,
Blac Chyna has filed a lawsuit against the entire Kardashian family for claims including assault & domestic violence  Â ,2017-10-17,/FoxNews/status/920470355109666816,,
"# Music @drexlerjorge: ""When I compose I am very emotionally unstable"" (+ Video) - By @camila_mendoza https: // www. diariolasamericas.com/c4144312",2018-02-24,/DLasAmericas/status/967511985469390850,0,
Warmth will continue to hang around much of the eastern US through the end of October:  http://ow.ly/Iex830fLSCC Â  pic.twitter.com/zk1822qgv0,2017-10-10,/breakingweather/status/917734795354034177,0,
So much tree debris at POFQ #HurricaneIrma  tatus/907243822031175680 Â  â¦,2017-09-11,/WDWNT/status/907244089468481536,1,
Southeast Seminole Heights holds candlelight vigil for victims' families and each other   Â ,2017-10-22,/TB_Times/status/922275150560600064,,
UN passes new sanctions on North Korea   Â  ,2017-09-11,/WPBF25News/status/907373749212667904,0,
"Iraqi teachers in Mosul, many battling trauma themselves, face a heartbreaking task of guiding students to heal their mental scars after brutal Islamic State group rule  http://u.afp.com/4vyt Â  pic.twitter.com/fG3ULO2AsN",2018-01-08,/AFP/status/950565635246845953,0,
Dialogue of peace between the Government of Colombia and ELN is extended until Monday http: // www. diariolasamericas.com/c4131058,2017-09-02,/DLasAmericas/status/904056258721980416,0,
"VIDEO: Taxify, the competence of Uber, is already operating in Monterrey http://exp.mx/2F59nbS pic.twitter.com/QjoTPqC6qX",2018-02-15,/ExpansionMx/status/964305376408719362,0,
WATCH: Dozens of wildfires surge across the West amid a scorching heat wave. @PattersonNBC  reports. http://snpy.tv/2wzNcIp Â ,2017-09-05,/NBCNightlyNews/status/905059904809000960,0,
Obama trumps Trump in the top 10 of the most retweeted tweets in 2017 http://exp.mx/2BoIkcQ pic.twitter.com/WBFf6ShkSD,2017-12-20,/ExpansionMx/status/943666115863109633,0,
Trump unlikely to rebuke Duterte for drug war killings:  http://bit.ly/2i8xoVk Â  pic.twitter.com/y6FvDGyw3t,2017-11-12,/komonews/status/929801226593755136,0,
Bridge shelters like the one Tate lives in are an attempt to transition people off the streets during the height of the Hepatitis A epidemic. They buck the âhousing firstâ policy of getting homeless people into permanent housing as quickly as possible  http://nbcnews.to/2GQWCSB Â  pic.twitter.com/G2HAoymEZb,2018-02-05,/NBCNews/status/960738978939809792,0,
"Massacres, terror, disappearances: the secret story of how Los Zetas created a hell in Coahuila http://bbc.in/2hnBzvJ pic.twitter.com/JnXyDVbWct",2017-11-11,/bbcmundo/status/929538509794312192,0,
Amtrak train crashes from bridge on to freeway near Seattle  https://trib.al/y2XoQnw Â ,2017-12-18,/guardian/status/942803076523667457,0,
# Turkish  chopper 'downed' amid the countryâs #OliveBranch  operation in northern #Syria  - #Erdogan   https://on.rt.com/8yuk Â  pic.twitter.com/L9500lDXF6,2018-02-10,/RT_com/status/962514024582836224,0,
Jaden Smith performed the greatest moonwalk seen since MJ himself  http://on.mash.to/2AV56VE Â  pic.twitter.com/1T44mng9Kd,2017-12-18,/mashable/status/942843433743511552,0,
German war reparations 'matter of honour' for Poland  http://reut.rs/2zOzbZW Â  pic.twitter.com/5ESdGTvA1b,2017-11-11,/Reuters/status/929501515466801152,0,
Levante beat Real Sociedad (3-0) and placed 5th in the League #AFP __NEWLINE__ http://u.afp.com/4aCt,2017-09-21,/AFPespanol/status/910994806633107456,1,
Schools closing ahead of Hurricane #Irma  impact in Georgia   Â   #StormWatchOn2 ,2017-09-10,/wsbtv/status/907026653015973888,1,
How @ladygaga  spends her $275 million fortune   Â  ,2017-09-22,/businessinsider/status/911336251843923975,,
Do you want to build a snowman? Boy in Utah builds a snowman in the middle of Fall.  http://abcn.ws/2hzPrTB Â  pic.twitter.com/CREtjv5RFw,2017-11-17,/GMA/status/931741601268994048,0,
"The lawyer of the owner of the Garden where a child was seen locked in the balcony: ""It was not a punishment"" pic.twitter.com/axJkjkrRYj",2018-02-22,/AmericaTV/status/966804890654670848,0,
Trump says Broadcom is moving its headquarters to the U.S. from Singapore  https://bloom.bg/2zapfqM Â  pic.twitter.com/zE3qIfGNyM,2017-11-02,/business/status/926191967310139392,0,
"Police say they donât believe there are other shooters involved, but they are looking for the suspectâs âfemale companion,â Marilou Danley: ",2017-10-02,/CBSNews/status/914801017279172608,,
"We will not allow North Korean propaganda to hijack the message and images of the Olympic Games, said http://ow.ly/jPNZ30ifHUg",2018-02-07,/VoceroPR/status/961185646596509696,0,
Net neutrality: How will US overhaul of internet laws affect the web? http://www. telegraph.co.uk/technology/201 7/12/14/net-neutrality-will-us-overhaul-internet-laws-affect-web/?utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter Â  â¦,2017-12-14,/Telegraph/status/941422977408798720,0,
The hot list: whatâs coming your way in 2018 https://trib.al/oysA8uo Â ,2018-01-07,/guardian/status/949950658119073792,0,
State Rep. Betty Price asks about quarantining HIV patients   Â  ,2017-10-23,/wsbtv/status/922314893080047616,0,
It's aired #FamososInside with @SamirSaba and @MarivellC See online at http://cdn.com.do pic.twitter.com/n9V3rgodEU,2017-11-08,/CDN37/status/928345035933929483,0,
They find in the Caribbean a lost civilization https://es.rt.com/5nd3 pic.twitter.com/3ny3JCvKQX,2018-02-21,/ActualidadRT/status/966277360067731456,0,
Rupert Murdoch's media empire may not last his lifetime __PIPE__ Nils Pratley https://trib.al/KaH3ba1 Â ,2017-11-07,/guardian/status/927939570880208896,0,
Steinhoff finds $1.1 billion under the mattress. Is it enough?  https://bloom.bg/2rzmqPG Â  pic.twitter.com/u5AMPunSJZ,2018-01-24,/business/status/956032885236158464,0,
[IF YOU LOST IT] # RossellÃ³ creates the Central Office of Recovery and Reconstruction http://bit.ly/2xxJjlh pic.twitter.com/ZlVincaJtS,2017-10-29,/ElNuevoDia/status/924647863686180864,0,
Miami-Dade: Public schools closed through Tuesday. ,2017-09-10,/FoxNews/status/906981103420022784,,
VIDEO: The Kerid crater is one of the places indicated to see the impressive northern lights http://exp.mx/2EyeY95 pic.twitter.com/smgBQxdfa3,2018-01-14,/ExpansionMx/status/952661771877306368,0,
Trump gets to replace his own tax auditor as the head of the IRS prepares to leave office  https://bloom.bg/2xECXBt Â  pic.twitter.com/dd8OBLHjIN,2017-09-28,/business/status/913361428005949440,0,
"NEW SERIES: Fox News launches âScandalous."" The first seven-episode installment chronicles the events that ultimately led to the impeachment of President Bill Clinton during the 1990s. Don't miss the premiere Sunday, January 21st at 8p ET on Fox News!  http://bit.ly/2DkGAS5 Â  pic.twitter.com/VswIPgC5nA",2018-01-18,/FoxNews/status/954135947221880832,0,
"The murderer of my brother is now my friend, a story of reconciliation in the United States http://bbc.in/2vW96mc",2017-09-14,/bbcmundo/status/908360828092600320,0,
"Steve James has been nominated for a Directors Guild Award for FRONTLINE's ""Abacus: Small Enough to Jail"" in the documentary category. If you missed the film, watch it now:  http://to.pbs.org/2GGc586 Â  pic.twitter.com/dfZCOnxM3m",2018-02-03,/frontlinepbs/status/959822542709149697,0,
__PIPE__ Would California restaurants include recipes with marijuana after legalization of the substance? http://uni.vi/rhs7100TQ3E #EdicionDigital pic.twitter.com/YzlZS83jb8,2017-12-27,/UniNoticias/status/946095900505468930,0,
"An extermination camp subsidized by the State: this was Piedras Negras, the key prison for the Zetas to become the most brutal criminal organization in Mexico http://bbc.in/2CjAKNO",2017-12-28,/bbcmundo/status/946397748848447488,0,
"We appreciate that, Tracy! Thanks for locking up and being safe with us! #9PMRoutine  /status/922614090781962240 Â  â¦",2017-10-23,/PascoSheriff/status/922615200452435969,0,
"Asked if he wants more immigrants to come from Norway, President Trump says he wants them ""to come in from everywhere.""__NEWLINE____NEWLINE__He then directs the press to leave: ""Out."" pic.twitter.com/NXqp6rZ4c4",2018-01-16,/NBCNews/status/953321080084750336,1,
"Happy birthday, Prince Harry! ",2017-09-15,/TODAYshow/status/908685352923271170,0,
A self-driving Uber struck and killed a woman in an accident that is believed to be the first pedestrian fatality involving an autonomous vehicle  http://nbcnews.to/2ppQZ69 Â   via @NBCNewsMACH pic.twitter.com/2a2qy5CtDO,2018-03-19,/NBCNews/status/975858410074853377,0,
The one trick the GOP had to make their tax bill look good failed spectacularly  http://read.bi/2AlwmyS Â  pic.twitter.com/x9N2Y7Nhkb,2017-12-01,/businessinsider/status/936678957839273985,0,
WATCH: Scientists read ancient sealed documents without opening them. See more @Reuters  videos here:  http://reut.rs/2DRkjbl Â  pic.twitter.com/RGvvjtsuA4,2018-01-02,/Reuters/status/948375119344287744,0,
VIDEO: People evacuated on street as 8.1 #quake  strikes off southwestern #Mexico  coast    Â  ,2017-09-08,/RT_com/status/906052491564994560,,
# MLB @Astros expect to react to @Yankees in their field http: // www. diariolasamericas.com/c4134975,2017-10-20,/DLasAmericas/status/921340260013035520,0,
NWS: Nate fastest-moving hurricane in Gulf of Mexico   Â  ,2017-10-07,/WPBF25News/status/916791511068549120,0,
A kittenâs scramble was the best play on Thursday Night Football   Â  ,2017-10-27,/HuffPost/status/923828024168144897,0,
"Facial recognition is here, and it will only be more prevalent in the years to come.  Â ",2017-09-17,/USATODAY/status/909440579003719680,,
"# BREAKING  @SnoCoSheriff  deputy involved in shooting near Home Acres Road and US-2. Suspect shot and in unknown condition, deputy OK. #KOMONews https://twitter.com/SnoCoSheriff/s tatus/955320896998146048 Â  â¦",2018-01-22,/komonews/status/955323093135769600,0,
Force of Hurricane Irma displayed as it sucks water from Bahamas beach http://www. telegraph.co.uk/news/2017/09/1 0/force-hurricane-irma-displayed-sucks-water-bahamas-beach/ Â  â¦,2017-09-10,/Telegraph/status/906819544542564352,0,
Ivanka Trump backs White House decision to end Obama equal pay rule http://www. telegraph.co.uk/news/2017/08/3 1/ivanka-trump-backs-white-house-decision-end-obama-equal-pay/ Â  â¦,2017-08-31,/Telegraph/status/903266123897909249,0,
FULL STORY: Rocket attack hits Kabul airport hours after Defense Secretary Mattis arrives  http://nbcnews.to/2y8c0ZT Â  pic.twitter.com/WaAZnpjaxh,2017-09-27,/NBCNews/status/913002797339222016,0,
Powerful lawmaker calls for juvenile justice review in wake of Herald series   Â  ,2017-10-13,/MiamiHerald/status/918979917483839490,1,
What's happening to our kids? Mental health problems may actually start much earlier than previously thought  http://nbcnews.to/2yWsdjP Â  pic.twitter.com/ewzLpKQE9K,2017-12-10,/NBCNews/status/939925234102210562,0,
See why Mark Zuckerberg had to apologize for his offensive âtripâ to Puerto Rico https://buff.ly/2gvb73h Â ,2017-10-10,/theblaze/status/917959221911736321,0,
"@ FH5ERA  so quick, couldn't even see him   904012473266606080 Â  â¦",2017-09-02,/UTV44_WJTC/status/904022774091583491,,
"Alfredo FinalÃ©, meteorologist at DIARIO LAS AMÃRICAS, comments on the weather conditions for today and the next days for #Miami and the south of #Florida https: // www. diariolasamericas.com/c4143734 https://soundcloud.com/user-504477364/pregnostico-del-tiempo-viernes-16-de-febrero-de-2018-por-alfredo-finale ...",2018-02-16,/DLasAmericas/status/964501648809787392,0,
Artesano creates portfolios using low-value Venezuelan banknotes. pic.twitter.com/y0JQGbRBfm,2018-02-11,/UniNoticias/status/962702792119828480,0,
An unforgettable birthday gift from a father while he was at basic training at @FortJacksonPAO .   Â  ,2017-10-14,/FoxNews/status/919232000657108992,,
"As Pres. Trump recounts story of two teenage girls allegedly murdered by MS-13 gang members in New York, grieving parents react emotionally in House gallery  http://cbsn.ws/2BEsu9m Â   #SOTU pic.twitter.com/5ZgBf2qYrQ",2018-01-30,/CBSNews/status/958534043263471616,0,
âThe latest tech for dogs and humans at #MWC2018 â http://reut.rs/2F5tBRR Â ,2018-03-01,/Reuters/status/969118297617780736,0,
".@Disney  resorts add new security policy, removing 'Do Not Disturb' signs from rooms http://fxn.ws/2BDY3B2 Â ",2017-12-26,/FoxNews/status/945838748843036674,0,
Recognize Jerusalem as the capital of Israel https://es.rt.com/5i7q __NEWLINE ____ NEWLINE__Why and what consequences will it have?,2017-12-06,/ActualidadRT/status/938399124356874240,0,
Sectors of San Juan illuminate #PuertoRicoSeLevanta - https://trib.al/APreYli pic.twitter.com/HsncNdAi6G,2017-09-24,/TelenoticiasPR/status/912148998487773185,0,
"In his tweet, the president enumerated the crimes that the ex-convicts committed before being pardoned http://ow.ly/oGrt30jfCJg",2018-03-31,/VoceroPR/status/980191266364383233,0,
"Strong earthquake rocks Mexico, sending people fleeing as buildings sway violently  http://read.bi/2Hn8eNG Â  pic.twitter.com/sbqYZvV6sv",2018-02-16,/businessinsider/status/964665338267930625,0,
"If you haven't got a royal wedding invitation by now, you're probably not going. Sorry. Here are some other ways to celebrate https://cnn.it/2IZnmS8 Â ",2018-03-27,/cnni/status/978709997835161601,1,
King Felipe VI accuses the Catalan government of breaking the unity in Spain by referendum http://bit.ly/2wwwB5z pic.twitter.com/zhltAFnVgM,2017-10-03,/teleSURtv/status/915368117366398976,0,
Broadcom closes $5.5 billion Brocade deal  http://reut.rs/2A87E5W Â  pic.twitter.com/j1sknjV7vC,2017-11-17,/Reuters/status/931547497541111808,0,
# Ecuador demands removal of #Argentina ambassador for offenses http://bit.ly/2znQ1hN pic.twitter.com/pLdr7PUZrZ,2017-11-08,/teleSURtv/status/928444746850357248,0,
Rihanna: the pop star who became a fashion powerhouse http://trib.al/OgmY4zy Â ,2017-09-15,/guardian/status/908709281582723073,0,
The bear had been captured and released once before earlier this year. https://usat.ly/2icVRYQ Â ,2017-10-29,/USATODAY/status/924486007910789120,0,
President Trump's comments on Puerto Rican debt makes gauging its value even harder  https://bloom.bg/2xWaozw Â  pic.twitter.com/9xit4GO3Vu,2017-10-05,/business/status/915975791258763265,0,
"The DMZ, where the 2 Koreas will meet, is one of the most heavily guarded borders in the world. @Dena  went there last summer: pic.twitter.com/uuiV8IAP5t",2018-01-08,/ajplus/status/950539032743723008,0,
Vietnam braces for typhoon Khanun after floods kill 72  http://reut.rs/2hJcBGP Â  pic.twitter.com/OZAzyAJDAk,2017-10-16,/Reuters/status/919852936477466625,0,
"Democrats and Republicans alike voice support for senator-elect Doug Jones. ""This is a victory for showing up, fighting to the end, and standing for whatâs right.""  http://abcn.ws/2ASMTsv Â  pic.twitter.com/cjC4lBu2HK",2017-12-13,/ABCWorldNews/status/940820806736674823,0,
"Hi there. It starts as 60 days from the federal declaration. It can be extended, and under these circumstances, likely will be.",2017-10-17,/fema/status/920371002466545664,0,
"Hurricane Harvey dealt ExxonMobil a $160 million blow, but the oil giant's profits skyrocketed anyway  http://cnn.it/2zfryeH Â  pic.twitter.com/zH28qW5vpO",2017-10-28,/cnni/status/924372735786213377,0,
"[In brief] @ricardorossello will participate in the first summit of the Retail Trade Association. The changes in the consumer chain due to the increase in online purchases, the passage of Hurricane Maria and other issues are discussed at the event in Miramar. pic.twitter.com/pAR5xe7n0X",2018-03-07,/NotiUno/status/971395225322246145,0,
In the UCV yesterday civil society formed a broad front in defense of democracy. pic.twitter.com/GNgL4j8Dk5,2018-03-07,/RCTVenlinea/status/971326390380519424,0,
AG Sessions: Nearly 1 in 3 kids removed from their home+put in foster care removed b/c of parentâs sub. abuse - VWAP  https://www. dea.gov/resource-cente r/victims-crime.shtml Â  â¦ https://twitter.com/TheJusticeDept /status/902558545031421958 Â  â¦,2017-09-06,/DEAHQ/status/905477466445271040,1,
Today is National Wreaths Across America Day pic.twitter.com/57cU3yzMOi,2017-12-16,/FoxNews/status/941993322335342592,0,
# JusticiaPorSantiago __PIPE__ Sergio Maldonado denies the government and calls hypocrite @mauriciomacri http://bit.ly/2zE9B6J pic.twitter.com/nvL5PHmR7g,2017-10-21,/teleSURtv/status/921612010625810432,0,
