ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,New Code,Subcode,content,unk,directed,hashtag,geocode,source,,,
175,0.3023003991,45060,NorfolkHarry,,9/7/17,9/7/2017 0:00,4:07:00 AM,0,2,,7,0,,Once in the last generation. But a regular order placed by @realDonaldTrump #ParisAgreement #185mphReality,,@realDonaldTrump,#ParisAgreement #185mphReality,9.06E+17,https://twitter.com/NorfolkHarry/status/905704027463311361,,,
187,0.2520014399,17666,Diane09876,,9/30/17,9/30/2017 0:00,6:12:00 PM,0,0,,11,0,,They found her Prayers Family so very sad,,,,9.14E+17,https://twitter.com/Diane09876/status/914251586267992066,,,
190,0.0408766838,60851,WCTV,,9/22/17,9/22/2017 0:00,12:27:00 PM,0,0,1,16,0,,"TRAFFIC ALERT: The Florida Highway Patrol is reporting a crash w/ injuries on US-27 N, south of Wayside, near Perry. The road is blocked. pic.twitter.com/o4Kb1UnS6V",,,,9.11E+17,https://twitter.com/WCTV/status/911265590056284160,,,
193,0.8128455937,27315,iloverickgrimes,,9/5/17,9/5/2017 0:00,3:34:00 PM,0,0,,6,0,,Yay time to leave lol,,,,9.05E+17,https://twitter.com/iloverickgrimes/status/905152251517427713,,,
205,0.4481679785,61937,wnathans,,9/18/17,9/18/2017 0:00,7:10:00 AM,0,1,,6,0,,It's going to be raining. You'll be fine ya big baby.,,,,9.10E+17,https://twitter.com/wnathans/status/909736423074488322,,,
217,0.8524694492,46436,PaulFox13,,9/5/17,9/5/2017 0:00,7:02:00 PM,0,1,,6,0,,looks to be about 11 feet,,,,9.05E+17,https://twitter.com/PaulFox13/status/905204480697819137,,,
219,0.6337194049,26755,HouseCracka,,9/10/17,9/10/2017 0:00,11:22:00 AM,0,3,,3,0,,The fire hydrant is 6-8 inches above the street! @wsvn,,@wsvn,,9.07E+17,https://twitter.com/HouseCracka/status/906900788064210944,,,
227,0.4777105375,34996,lee_warner,,9/7/17,9/7/2017 0:00,2:35:00 PM,0,0,,11,0,,be safe,,,,9.06E+17,https://twitter.com/lee_warner/status/905862146503958532,,,
235,0.5418563894,38902,MaxineBentzel,,9/12/17,9/12/2017 0:00,12:12:00 PM,1,1,,11,0,,Be safe Jane.,,,,9.08E+17,https://twitter.com/MaxineBentzel/status/907638080957505536,,,
271,0.6636550358,61767,WillManso,,9/9/17,9/9/2017 0:00,12:28:00 PM,0,0,,6,0,,I wear waterproof one so I'm good. Wish it worked that well for these cars.,,,,9.07E+17,https://twitter.com/WillManso/status/906555009063583745,,,
314,0.1671602316,24157,gasperdavid13,,9/10/17,9/10/2017 0:00,12:34:00 PM,0,1,,6,0,,"Residents of Florida be prepared for the worst, military is not really looking for survivors"". Be ready for the worse. #weshalllive""",,,#weshalllive,9.07E+17,https://twitter.com/gasperdavid13/status/906918859113947137,,,
315,0.0528597243,17047,Ddsouza74,,9/7/17,9/7/2017 0:00,1:44:00 AM,1,2,,12,0,,Global climate change. Too much carbon dioxide emission in the atmosphere is not allowing heat to escape the planet n keep temps leveled.,,,,9.06E+17,https://twitter.com/Ddsouza74/status/905668171226423297,,,
340,0.3410680089,41253,MonkeeSass,,9/17/17,9/17/2017 0:00,12:24:00 PM,0,0,,14,0,,TheCap'n is literally putting foil on the ears to see if we can coax a decent signal out of weak sauce @wsvn to watch game. #FlyEaglesFly,,@wsvn,#FlyEaglesFly,9.09E+17,https://twitter.com/MonkeeSass/status/909452957619572737,,,
395,0.6229693939,21678,flrelieffund,,9/10/17,9/10/2017 0:00,12:20:00 PM,0,0,,3,0,,RT @jaynelibralady : RT @WPLGLocal10 : Two parrots seek shelter at the edge of a 22nd-floor window at Dadeland Marriâ€¦ https:// twitter.com/i/web/status/9 06617879222738944 â€¦,,@jaynelibralady @WPLGLocal10,,9.07E+17,https://twitter.com/flrelieffund/status/906915286007382018,,,
428,0.7358066515,48475,rascalsdaddy,,9/22/17,9/22/2017 0:00,2:59:00 PM,0,0,,11,0,,"Welcome back, at least you get to enjoy more warm weather, enjoy your weekend!",,,,9.11E+17,https://twitter.com/rascalsdaddy/status/911304073953071105,,,
429,0.2442989769,63198,WPTV,,9/28/17,9/28/2017 0:00,10:14:00 AM,0,4,,9,0,,Trump authorizes waiver to loosen shipping regulations for Puerto Rico http:// bit.ly/2fzZiv8 pic.twitter.com/3FL6yW0sff,,,,9.13E+17,https://twitter.com/WPTV/status/913406573455773698,,,
502,0.3409023322,47221,PhotogEricP,,9/7/17,9/7/2017 0:00,9:42:00 AM,0,2,,7,0,,#NeedMoreBananas !,,,#NeedMoreBananas,9.06E+17,https://twitter.com/PhotogEricP/status/905788284579794946,,,
504,0.3809724356,50445,RSteinWPTV,,9/8/17,9/8/2017 0:00,11:27:00 AM,1,0,,8,0,,Just in--Comcast offering free Xfinity WiFi @WPTV,,@WPTV,,9.06E+17,https://twitter.com/RSteinWPTV/status/906177295383134208,,,
508,0.7669205637,36493,loyalangel32,,9/22/17,9/22/2017 0:00,12:02:00 PM,0,0,,14,0,,@BBPD great job catching Boynton Beach robbery suspect. @CBS12 thanks for making me aware.,,@BBPD @CBS12,,9.11E+17,https://twitter.com/loyalangel32/status/911259472143798272,,,
522,0.5068563681,17973,DJFrustration,,9/23/17,9/23/2017 0:00,2:49:00 PM,1,2,,15,0,,the rest of the team should refuse to visit in solidarity.,,,,9.12E+17,https://twitter.com/DJFrustration/status/911663871575945217,,,
540,0.7653318959,37736,Manzanares305,,9/8/17,9/8/2017 0:00,11:09:00 AM,0,4,,9,0,,"I did not VOTE for u on both occasions, but U are doing an OUTSTANDING JOB! I like what I see!",,,,9.06E+17,https://twitter.com/Manzanares305/status/906172665513345025,,,
584,0.2162312908,09606,BrittanyCBS12,,9/26/17,9/26/2017 0:00,7:04:00 PM,0,0,,14,0,,WATCH LIVE: @lizquirantes hosts #DangerOnDuty Town Hall. Watch on @CBS12 â€™s Facebook Page: https:// facebook.com/CBS12News/ pic.twitter.com/tjlWtQqZTZ,,@lizquirantes @CBS12,#DangerOnDuty,9.13E+17,https://twitter.com/BrittanyCBS12/status/912815055640649740,,,
590,0.5758106711,50709,ryan_la_sports7,,9/10/17,9/10/2017 0:00,5:42:00 PM,0,3,,6,0,,"Yea if they were doing this in a neighborhood which I'm sure some will, I would be locked and loaded",,,,9.07E+17,https://twitter.com/ryan_la_sports7/status/906996342614056966,,,
597,0.5439416068,49723,rmderenzo813,,9/1/17,9/1/2017 0:00,7:42:00 AM,0,1,,7,0,,Houston Strong due to help from all across America. Thanks Tampa for jumping in. #TampaProud,,,#TampaProud,9.04E+17,https://twitter.com/rmderenzo813/status/903583865738055681,,,
602,0.1129559962,38852,mauricefemenias,,9/9/17,9/9/2017 0:00,1:54:00 PM,0,0,,14,0,,@wsvn isnt normandy north miami beach,,@wsvn,,9.07E+17,https://twitter.com/mauricefemenias/status/906576569073795075,,,
640,0.0549865336,38765,MattLincolnTV,,9/10/17,9/10/2017 0:00,2:09:00 PM,0,0,,14,0,,I believe it is channel 43,,,,9.07E+17,https://twitter.com/MattLincolnTV/status/906942722145181697,,,
654,0.7989323289,13851,ChristianneGen3,,9/15/17,9/15/2017 0:00,5:58:00 PM,0,2,,11,0,,But it was great to see! Love it. Thank you for all you do.,,,,9.09E+17,https://twitter.com/ChristianneGen3/status/908812366594367488,,,
672,0.0665312788,29051,Jcoccia0184,,9/10/17,9/10/2017 0:00,3:05:00 PM,0,0,,14,0,,@CBS12 Cant u plz show ANYTHING SOUTH PBC THIS IS ALL WAY NORTH..Keep using battery see what's going on.. EVERY THING UP NORTH,,@CBS12,,9.07E+17,https://twitter.com/Jcoccia0184/status/906956867011833858,,,
724,0.1795770679,58391,Tree0819,,9/29/17,9/29/2017 0:00,10:31:00 AM,0,2,,3,0,,Another opinion that doesnâ€™t matter. Plenty of work being done. Problem is with the roads being inaccessible.,,,,9.14E+17,https://twitter.com/Tree0819/status/913773257668665344,,,
727,0.6929487108,48557,rayguy3,,9/6/17,9/6/2017 0:00,12:56:00 AM,0,0,,6,0,,"Rich people don't flood baseball stadiums, it's middle income if you have it in abundance. This area doesn't have that, lacks corp support.",,,,9.05E+17,https://twitter.com/rayguy3/status/905293707607515136,,,
740,0.8619015675,56160,Tampa_Live,,9/7/17,9/7/2017 0:00,10:00:00 AM,0,1,,8,0,,"RT @10NewsWTSP Comcast to open more than 137,000 free wi-fi hotspots across Florida https:// tampanews.co/comcast-to-ope n-more-than-137000-free-wi-fi-hotspots-across-florida/ â€¦ #Pet pic.twitter.com/NbTuspjSsm",,@10NewsWTSP,#Pet,9.06E+17,https://twitter.com/Tampa_Live/status/905792953448361984,,,
749,0.0144645286,19424,El_Kuki,,9/29/17,9/29/2017 0:00,8:38:00 AM,0,0,,9,0,,And @fdot shuts down express lanes for almost any reason during rush hour. They are frauds and charge an arm and a leg.,,@fdot,,9.14E+17,https://twitter.com/El_Kuki/status/913744823433285632,,,
760,0.3874113077,61580,whittles1387,,9/25/17,9/25/2017 0:00,4:56:00 PM,0,0,,14,0,,"Hey @wctv , one of your cars rode my bumper and was going at least 85 on I-10. Bad example to the community. Have a pic if interested.",,@wctv,,9.12E+17,https://twitter.com/whittles1387/status/912420611384909824,,,
802,0.867766952,32423,KarenZeedyk,,9/10/17,9/10/2017 0:00,2:16:00 PM,0,0,,6,0,,You can't open the windows,,,,9.07E+17,https://twitter.com/KarenZeedyk/status/906944516804018178,,,
810,0.1676828883,17182,deborahc613,,9/7/17,9/7/2017 0:00,6:42:00 PM,0,0,,9,0,,Who cares about mar a crap,,,,9.06E+17,https://twitter.com/deborahc613/status/905924174593613828,,,
824,0.3057133857,15833,CummingsBenj,,9/12/17,9/12/2017 0:00,11:34:00 PM,0,0,,9,0,,"@FOX13News Rick Scott, make Duke bury the lines and it wouldn't be this bad next time! Rest of US mandates it. Why doesn't Florida?",,@FOX13News,,9.08E+17,https://twitter.com/CummingsBenj/status/907809733016522753,,,
833,0.0267991807,05421,AndrewRuizWPTV,,9/14/16,9/14/2016 0:00,6:28:00 AM,1,0,,2,0,,. @wptvTRAFFIC ALERT @wptv @Fox29WFLX https:// twitter.com/stluciesheriff /status/776003370272165888 â€¦,,@wptvTRAFFIC @wptv @Fox29WFLX,,7.76E+17,https://twitter.com/AndrewRuizWPTV/status/776004564319436804,,,
839,0.5474547331,60498,WayneAl49348113,,9/26/17,9/26/2017 0:00,6:20:00 PM,0,0,,11,0,,Thanks Lloyd. I have been there year's ago while I attending Unif.Of Tampa. Wayne Alexander,,,,9.13E+17,https://twitter.com/WayneAl49348113/status/912804163922403329,,,
864,0.9701342687,12505,CBS12,,9/8/17,9/8/2017 0:00,3:49:00 PM,4,6,,6,0,,If Walmart's closed...should've been here earlier, says man in interview with @KUTV2News Chris Jones in Jupiter. #HurricaneIrma pic.twitter.com/jztvTsXxIe,,@KUTV2News,#HurricaneIrma,9.06E+17,https://twitter.com/CBS12/status/906243102112931842,,
887,0.7349918231,46941,pfraser7,,9/5/17,9/5/2017 0:00,11:30:00 AM,0,1,,3,0,,Sadly young DACA kids being dumped. Am I illegal and being deported ? My family came here in 1820 and didn't sign in @wsvn @HelpMeHoward7,,@wsvn @HelpMeHoward7,,9.05E+17,https://twitter.com/pfraser7/status/905090657408229376,,,
912,0.7056563488,34059,KristenSauby,,9/10/17,9/10/2017 0:00,7:12:00 AM,0,0,,6,0,,I just called and they said they only had 1 person & the manager (?) at Rawlings in GNV. They need people for at least 4 hr shifts.,,,,9.07E+17,https://twitter.com/KristenSauby/status/906837702464720896,,,
925,0.3185432037,10138,Caffeinefreak,,9/8/17,9/8/2017 0:00,1:36:00 AM,0,1,,11,0,,And water. Batteries too.,,,,9.06E+17,https://twitter.com/Caffeinefreak/status/906028444663726081,,,
974,0.4624417845,25343,grits116,,9/11/17,9/11/2017 0:00,12:32:00 PM,0,0,,3,0,,some news from Lower Keys trickling in https:// twitter.com/SuttaCBSMiami,,,,9.07E+17,https://twitter.com/grits116/status/907280759043522562,,,
982,0.3457337194,42633,mythic_e_media,,9/9/17,9/9/2017 0:00,4:35:00 AM,0,0,,6,0,,@wsvn just 5 min N or GB in 3 islands; you might want a report about how confident we are & are staying; 921 NE 27 Ave im happy to interview,,@wsvn,,9.06E+17,https://twitter.com/mythic_e_media/status/906436008668999681,,,
1005,0.1776203445,27900,itsjustagorilla,,9/6/17,9/6/2017 0:00,8:49:00 AM,0,1,,1,0,,"lowes, babies r us, home depot, if you cant find water use empty milk jugs and juice bottles. empty them, rinse them out, and fill them.",,,,9.05E+17,https://twitter.com/itsjustagorilla/status/905412561599942656,,,
1007,0.7739742592,41111,Mnkygrl0384,,9/9/17,9/9/2017 0:00,10:53:00 AM,0,0,,9,0,,"true news:MD acting #inhumane ! @rickscott @governor Bed bound people call 911 to be picked up, told ambulance will b sent out NEVER SHOWING",,@rickscott @governor,#inhumane,9.07E+17,https://twitter.com/Mnkygrl0384/status/906531135840284672,,,
1010,0.9046911543,57604,tickerguy,,9/10/17,9/10/2017 0:00,1:09:00 PM,0,0,,6,0,,"Meh - there's 6 of water on the road. That's NOT flooding; they get that from a good rainstorm.""",,,,9.07E+17,https://twitter.com/tickerguy/status/906927636261240832,,,
1012,0.014538336,34023,Kris_Denese,,9/11/17,9/11/2017 0:00,5:45:00 AM,0,0,,6,0,,Cut down these damn trees Tally,,,,9.07E+17,https://twitter.com/Kris_Denese/status/907178280771612672,,,
1014,0.5883085823,33312,KevinWAFB,,9/13/17,9/13/2017 0:00,8:08:00 PM,0,0,,6,0,,"Honestly, I have no idea. We are based in Sarasota for the week. So just south of Tampa",,,,9.08E+17,https://twitter.com/KevinWAFB/status/908120186015944705,,,
1024,0.8966626225,27552,InkCudii,,9/6/17,9/6/2017 0:00,9:31:00 PM,0,0,,14,0,,@wsvn hope y'all 100% ready,,@wsvn,,9.06E+17,https://twitter.com/InkCudii/status/905604422587338752,,,
1055,0.9324130952,36938,Lunaneko514,,9/11/17,9/11/2017 0:00,9:10:00 PM,0,0,,6,0,,For the effected areas. Which is Dade and Broward with Monroe being completely devestated.,,,,9.07E+17,https://twitter.com/Lunaneko514/status/907411090849636353,,,
1064,0.2074963919,56592,telesara,,9/12/17,9/12/2017 0:00,1:52:00 PM,0,0,,14,0,,Hi Eric - I work for NBC in Philly- would you allow us use of this photo across NBC partners/platforms? (since you're NBC too?),,,,9.08E+17,https://twitter.com/telesara/status/907663174429757443,,,
1066,0.1316029486,15172,courierbat,,9/9/17,9/9/2017 0:00,6:20:00 PM,1,3,,11,0,,GREAT JOB,,,,9.07E+17,https://twitter.com/courierbat/status/906643387281002496,,,
1082,0.2160263476,06916,AustinKTNV,,9/13/17,9/13/2017 0:00,3:37:00 PM,0,17,1,14,0,,"It's with mixed emotions to say that today is my last day at @WPTV . Now, onto my next adventure! pic.twitter.com/EWkhRElD4b",,@WPTV,,9.08E+17,https://twitter.com/AustinKTNV/status/908052094372007941,,,
1084,0.6950703271,35205,lexi_j_smith,,9/27/17,9/27/2017 0:00,6:30:00 AM,0,1,,6,0,,Found and in the hospital! Thatâ€™s for working so quickly SRQ!,,,,9.13E+17,https://twitter.com/lexi_j_smith/status/912987806397554689,,,
1085,0.014391238,42087,MykingRichard1,,9/29/17,9/29/2017 0:00,7:21:00 AM,0,3,,6,0,,I just got my free cup of coffee at Wawa gas station. Asleep online to pay and the lady said it's free! What a way to start Friday,,,,9.14E+17,https://twitter.com/MykingRichard1/status/913725350940745728,,,
1091,0.9886989862,15558,CsChargers_,,9/3/17,9/3/2017 0:00,10:33:00 PM,0,2,,11,0,,Wow! Thank you so much ! We are humbled to have met such wonderful people today in Texas ! And knowing that we could help some families!,,,,9.05E+17,https://twitter.com/CsChargers_/status/904532910568591362,,,
1097,0.9149116852,37959,marieaurelus67,,9/28/17,9/28/2017 0:00,5:31:00 PM,0,1,,14,0,,Good Afternoon to Anchor @ShyannMalone @WPLGLocal10 #Great Smile and public personality for TV. Professional!!!,,@ShyannMalone @WPLGLocal10,#Great,9.14E+17,https://twitter.com/marieaurelus67/status/913516448349335552,,,
1100,0.7791686435,38006,marieaurelus67,,9/18/17,9/18/2017 0:00,6:45:00 PM,1,1,,14,0,,Great job by everyone and thank you for sharing#Please continue doing well by educating the public#2 their surroundings while dinning out.,,,#Please #2,9.10E+17,https://twitter.com/marieaurelus67/status/909911176481529857,,,
1102,0.8950369183,00291,_smoakqueen,,9/11/17,9/11/2017 0:00,6:20:00 PM,0,0,,14,0,,yes to local news all night?,,,,9.07E+17,https://twitter.com/_smoakqueen/status/907368169098096649,,,
1123,0.130932632,29841,jfb880,,9/8/17,9/8/2017 0:00,10:13:00 PM,0,1,,14,0,,"Born and raised here, 37 years. So I've seen my fair share. Don't get me wrong though, forecasting has gotten much better. But just use....1",,,,9.06E+17,https://twitter.com/jfb880/status/906339743901863937,,,
1124,0.9497491185,19900,Eric_Roby,,9/14/17,9/14/2017 0:00,10:09:00 AM,1,1,,14,0,,That's amazing news!!! Soak up some A/C for me! @CBS12 https:// twitter.com/bocalegend/sta tus/908251693636358144 â€¦,,@CBS12,,9.08E+17,https://twitter.com/Eric_Roby/status/908331884618420224,,,
1128,0.5913447582,27158,IBMello813,,9/22/17,9/22/2017 0:00,6:09:00 PM,0,0,,14,0,,Boycott!!! @LuLaRoe @FOX13News @10NewsWTSP @ABC,,@LuLaRoe @FOX13News @10NewsWTSP @ABC,,9.11E+17,https://twitter.com/IBMello813/status/911351698043686914,,,
1142,0.3737028439,45291,nycWeatherGuy,,9/10/17,9/10/2017 0:00,11:54:00 AM,0,5,,6,0,,Somewhat disturbing to hear children's voices in the background.,,,,9.07E+17,https://twitter.com/nycWeatherGuy/status/906908862716026881,,,
1145,0.9399408388,46877,PetLevrieri,,9/10/17,9/10/2017 0:00,5:51:00 PM,3,1,,1,0,,"Why this careful racing community didnt move 1 on 7000 greyhounds Does it cost Too much ? Hope they all be safe ,obviously trainers too.",,,,9.07E+17,https://twitter.com/PetLevrieri/status/906998540840456193,,,
1157,0.4042682529,31201,Joosef,,9/10/17,9/10/2017 0:00,5:22:00 PM,0,0,,6,0,,No one learned shit from the tsunamis.,,,,9.07E+17,https://twitter.com/Joosef/status/906991361752100864,,,
1176,0.4298756012,60143,WaitWhichCaro,,9/9/17,9/9/2017 0:00,2:29:00 PM,0,0,,14,0,,Belkis from @wsvn just said ratchet tie downs go ahead girl!! #irma,,@wsvn,#irma,9.07E+17,https://twitter.com/WaitWhichCaro/status/906585264268640258,,,
1181,0.7599747485,23515,freyd0g,,9/10/17,9/10/2017 0:00,10:52:00 AM,1,0,,14,0,,"Hi, I work for AccuWeather. Would you give us permission to use this video in our syndicated news coverage w/credit to you? Stay safe!",,,,9.07E+17,https://twitter.com/freyd0g/status/906893224383582213,,,
1215,0.8589719192,25990,heatherlspurge3,,9/11/17,9/11/2017 0:00,12:35:00 PM,0,1,,6,0,,"pets are the best friend you will ever have,they just want to be loved,& taken care of,they give you so much love in return.they are family",,,,9.07E+17,https://twitter.com/heatherlspurge3/status/907281569534156805,,,
1224,0.9653893119,05313,AndrewRuizWPTV,,9/13/17,9/13/2017 0:00,5:39:00 PM,0,1,,11,0,,Good luck Austin! Thanks for your hard work! I'm sure you'll boomerang back!,,,,9.08E+17,https://twitter.com/AndrewRuizWPTV/status/908082855842115584,,,
1237,0.8843798732,64898,WPTV,,9/9/17,9/9/2017 0:00,9:02:00 PM,4,8,,3,0,,Wellington is feeling the effects of feeder bands. https:// twitter.com/WandaMooreWPTV /status/906673679836348416 â€¦,,,,9.07E+17,https://twitter.com/WPTV/status/906684232713605120,,,
1245,0.7200754718,58584,TroyLeeCampbell,,9/23/17,9/23/2017 0:00,8:18:00 PM,0,3,1,14,0,,Almost showtime! @news6wkmg #HeaddressBall #florida #orlando pic.twitter.com/34bKl05RW9,,@news6wkmg,#HeaddressBall #florida #orlando,9.12E+17,https://twitter.com/TroyLeeCampbell/status/911746502070071296,,,
1250,0.3703751064,31206,joProducerrr,,9/29/17,9/29/2017 0:00,11:18:00 AM,2,4,1,6,0,,"I95SB near 10th Ave backed up. Looks like the left lane is shutdown ahead, I see flashing lights @CBS12 pic.twitter.com/y3mU8oJ34S",,@CBS12,,9.14E+17,https://twitter.com/joProducerrr/status/913785020749402113,,,
1251,0.0576505335,47445,Pjdogster1,,9/28/17,9/28/2017 0:00,8:11:00 PM,0,0,,9,0,,Grady could care less about racial injustice. Sure he agrees with the Roy Moore agenda. #TakeAKnee,,,#TakeAKnee,9.14E+17,https://twitter.com/Pjdogster1/status/913556814507200512,,,
1253,0.4242073297,08189,Bigbillcarguy,,9/16/17,9/16/2017 0:00,5:34:00 AM,0,2,,14,0,,@LuliOrtizTV @CBS12 Smart Move putting Luli Ortiz on the anchor desk. She's got the IT Factor!! Good Luck Luli!!,,@LuliOrtizTV @CBS12,,9.09E+17,https://twitter.com/Bigbillcarguy/status/908987524340740096,,,
1271,0.678041406,16999,DCMonteverde,,9/9/17,9/9/2017 0:00,8:23:00 AM,0,1,,6,0,,I hear ya. Would be lying if I said I didn't have the same flashbacks. But all indications are west coast of Fla. will be the strike zone.,,,,9.06E+17,https://twitter.com/DCMonteverde/status/906493141703938048,,,
1289,0.9264509907,34883,LBisogne,,9/4/17,9/4/2017 0:00,9:20:00 AM,0,0,,6,0,,This does not look good,,,,9.05E+17,https://twitter.com/LBisogne/status/904695759257210881,,,
1292,0.0816446818,30155,jientho,,9/9/17,9/9/2017 0:00,2:11:00 PM,0,1,,6,0,,It might help if they gave it in probabilities. For every 1000 people still staying in the Keys," we expect about 10 deaths from Irma.""""",,,,9.07E+17,https://twitter.com/jientho/status/906580854545281025,,
