ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,Relevance,content,unk,directed,hashtag,geocode,source,,,
1054,0.3706284549,19796,enjuris,,9/8/17,9/8/2017 0:00,1:30:00 PM,0,0,1,1,1,Hurricane Hacks: Ways to keep yourself prepared during #HurricaneIrma : http:// ow.ly/LJJ430eXwVe via @WPTV #StaySafe pic.twitter.com/qDXJp1AmTv,,@WPTV,#HurricaneIrma #StaySafe,9.06E+17,https://twitter.com/enjuris/status/906208107612839936,,,
1225,0.0495775692,39623,MerrisBadcock,,9/6/17,9/6/2017 0:00,4:35:00 PM,0,1,1,1,1,Parents: Here's why you shouldn't let your kids play in flooded streets during/after #HurricaneIrma . http:// bit.ly/2j2Gfum @WPTV pic.twitter.com/8OPkkmItPc,,@WPTV,#HurricaneIrma,9.06E+17,https://twitter.com/MerrisBadcock/status/905529821303889920,,,
1413,0.6559845733,32816,KChapmanCBS12,,9/19/17,9/19/2017 0:00,5:58:00 AM,4,6,,1,1,Drivers beware! Not all flashing school zone signs are functioning- 10 in Palm Beach County are broken. Drive cautiously! @CBS12,,@CBS12,,9.10E+17,https://twitter.com/KChapmanCBS12/status/910080644696428545,,,
1525,0.5394898853,51943,ScanMyPhotos,,9/5/17,9/5/2017 0:00,5:50:00 PM,0,0,,1,1,@WPLGLocal10 Urgent #hurricaneIrma preparedness tip http:// ow.ly/UIuo30eW4GI ; and this still relevant #TBT http:// ow.ly/nvNm30eW4GH,,@WPLGLocal10,#hurricaneIrma #TBT,9.05E+17,https://twitter.com/ScanMyPhotos/status/905186307600678912,,,
1630,0.6116602489,01944,10NewsWTSP,,9/6/17,9/6/2017 0:00,4:35:00 AM,4,2,1,1,1,WEDNESDAY IRMA: What you need to know http:// on.wtsp.com/2eKhPVn pic.twitter.com/sIfyIkDGDB,,,,9.05E+17,https://twitter.com/10NewsWTSP/status/905348630080606208,,,
1689,0.8255685794,05417,AndrewRuizWPTV,,9/14/16,9/14/2016 0:00,11:21:00 AM,0,0,,1,1,". @stluciesheriff say since last update they've gotten more tips, are following up on leads. @WPTV @Fox29WFLX pic.twitter.com/CELKywwNvd",,@stluciesheriff @WPTV @Fox29WFLX,,7.76E+17,https://twitter.com/AndrewRuizWPTV/status/776078463199502336,,,
1754,0.1338220881,22777,FOX13News,,9/12/17,9/12/2017 0:00,6:05:00 AM,26,21,,1,1,"If you see a power light that is out, treat that intersection as a four-way stop. LATEST POWER OUTAGES: http:// bit.ly/2xVFZ2X pic.twitter.com/fVFL4zOGxb",,,,9.08E+17,https://twitter.com/FOX13News/status/907545813659910144,,,
1767,0.0838167926,12620,CBS12,,9/8/17,9/8/2017 0:00,4:03:00 AM,3,3,,1,1,Hurricane shelters: Important things you need to remember. http:// bit.ly/2wMVxIs pic.twitter.com/ohiw8bXBMz,,,,9.06E+17,https://twitter.com/CBS12/status/906065548416614400,,,
528,0.5648659003,26345,Hi_Im_Rav,,9/6/17,9/6/2017 0:00,12:48:00 PM,0,0,,1,1,Can't even properly prepare because oh yeah..I'm at work in Pasco freaking county!,,,,9.05E+17,https://twitter.com/Hi_Im_Rav/status/905472667498708992,,,
1185,0.2411982263,30276,jj_talking,,9/4/17,9/4/2017 0:00,9:02:00 PM,0,0,,1,1,It's barely going to graze Florida,,,,9.05E+17,https://twitter.com/jj_talking/status/904872302491213824,,,
1524,0.7582546949,58014,TommyGunnzBruh,,9/9/17,9/9/2017 0:00,12:06:00 PM,0,0,,1,1,Less than 12 hours before we're all supposed to be there and locked in. We had a week to prepare and now they change things too late to act,,,,9.07E+17,https://twitter.com/TommyGunnzBruh/status/906549505910345728,,,
168,0.3673722341,12861,CBS12,,9/5/17,9/5/2017 0:00,10:22:00 AM,3,1,1,1,1,Long line outside Costco near LP before store opened. Tag us with pics of empty/stocked shelves. (Vids from Monica) http:// bit.ly/2x4TcKt pic.twitter.com/Jxc5EtRHPw,,,,9.05E+17,https://twitter.com/CBS12/status/905073719294529537,,,
1145,0.258346964,46877,PetLevrieri,,9/10/17,9/10/2017 0:00,5:51:00 PM,3,1,,1,1,"Why this careful racing community didnt move 1 on 7000 greyhounds Does it cost Too much ? Hope they all be safe ,obviously trainers too.",,,,9.07E+17,https://twitter.com/PetLevrieri/status/906998540840456193,,,
26,0.7603640002,01940,10NewsWTSP,,9/6/17,9/6/2017 0:00,5:35:00 AM,0,1,,2,1,Hurricane Irma: What to expect in a category 5 storm http:// on.wtsp.com/2xNXgvH pic.twitter.com/RkJVWRMaJZ,,,,9.05E+17,https://twitter.com/10NewsWTSP/status/905363723409395712,,,
46,0.1628691406,24054,GaryDetmanNews,,9/10/17,9/10/2017 0:00,3:13:00 PM,2,0,1,2,1,Hurricane Irma gets closer to #Naples as a category 3. @CBS12 pic.twitter.com/nUhxC3BOkL,,@CBS12,#Naples,9.07E+17,https://twitter.com/GaryDetmanNews/status/906958934665302016,,,
48,0.8188704515,39379,Mel_hdzxo,,9/9/17,9/9/2017 0:00,11:17:00 PM,0,0,1,2,1,@wsvn crazy sparks in North Miami Beach pic.twitter.com/XzoeLVsPpG,,@wsvn,,9.07E+17,https://twitter.com/Mel_hdzxo/status/906718141677436928,,,
50,0.3120483516,40057,Michael_Ivory65,,9/9/17,9/9/2017 0:00,9:03:00 AM,0,0,,2,1,@WPBF25News @CBS12 @WPTV the @PBCountySheriff need to cancel the curfew . IRMA TRACK SHIFTED MORE WEST . AT BEST 50 TO 60 MPH WINDS . https:// twitter.com/Michael_Ivory6 5/status/906494940003401729 â€¦,,@WPBF25News @CBS12 @WPTV @PBCountySheriff,,9.07E+17,https://twitter.com/Michael_Ivory65/status/906503451026305025,,,
110,0.6274260335,02784,640TheHurricane,,9/8/17,9/8/2017 0:00,11:20:00 AM,0,0,,2,1,11am Hurricane Irma advisory from @CBS12 https:// twitter.com/CBS12/status/9 06171860559257600 â€¦,,@CBS12,,9.06E+17,https://twitter.com/640TheHurricane/status/906175326505590784,,,
131,0.8025839669,60694,WCTV,,9/29/17,9/29/2017 0:00,7:12:00 PM,1,0,,2,1,WATCH: Will the record temps stick around? Meteorologist @CharlesRoopWCTV has your forecast. http://www. wctv.tv/video?vid=4487 38003 â€¦ #flwx #gawx pic.twitter.com/2DjFkuUXkr,,@CharlesRoopWCTV,#flwx #gawx,9.14E+17,https://twitter.com/WCTV/status/913904451576123394,,,
163,0.5258391765,30492,jmatthewscbs12,,9/10/17,9/10/2017 0:00,9:44:00 AM,2,1,1,2,1,Alert: A Tornado Warning has been issued for Palm Beach County. Live stream on @CBS12 here http:// cbs12.com/live/event pic.twitter.com/OeYoOaiHRV,,@CBS12,,9.07E+17,https://twitter.com/jmatthewscbs12/status/906875979523657728,,,
178,0.1964348489,64518,WPTV,,9/19/17,9/19/2017 0:00,2:20:00 PM,4,7,1,2,1,2 p.m. update: Hurricane Maria maintains 160 mph windshttp://bit.ly/2f88cw1 pic.twitter.com/pwbXN93dUy,,,,9.10E+17,https://twitter.com/WPTV/status/910206908040179715,,,
182,0.6576859458,47290,PhotogEricP,,9/6/17,9/6/2017 0:00,4:56:00 PM,0,0,1,2,1,UPDATE ON #IRMA Watch @WPTV and @SteveWeagleWPTV @SteveWPTV https:// twitter.com/nhc_atlantic/s tatus/905535081862791169 â€¦,,@WPTV @SteveWeagleWPTV @SteveWPTV,#IRMA,9.06E+17,https://twitter.com/PhotogEricP/status/905535222430785536,,,
215,0.5950199635,22339,FOX10News,,9/9/17,9/9/2017 0:00,11:05:00 AM,0,0,,2,1,"Irma Hits Cuba, Florida Up Next http://www. fox10tv.com/story/36326694 /irma-hits-cuba-florida-up-next â€¦",,,,9.07E+17,https://twitter.com/FOX10News/status/906534018098896902,,,
222,0.3937359016,57303,TheRebelPatient,,9/9/17,9/9/2017 0:00,9:58:00 PM,0,0,,2,1,https://www. cbsnews.com/news/hurricane -irma-track-update-florida-path-live-09-09-2017/ â€¦ #HurricanIrma #Hurricane #hurricaneirma2017 #FloridaKeys #Florida,,,#HurricanIrma #Hurricane #hurricaneirma2017 #FloridaKeys #Florida,9.07E+17,https://twitter.com/TheRebelPatient/status/906698471716958208,,,
258,0.4932173107,55595,SuzanneBoyd,,9/9/17,9/9/2017 0:00,5:05:00 AM,2,3,,2,1,We can now track #HurricaneIrma on the @CBS12 radar. That's how you know it's close. pic.twitter.com/wQipAjqdoX,,@CBS12,#HurricaneIrma,9.06E+17,https://twitter.com/SuzanneBoyd/status/906443444922568704,,,
312,0.5244545001,43856,news6wkmg,,9/16/17,9/16/2017 0:00,10:45:00 PM,1,2,,2,1,Latest position and track for Hurricane Jose. pic.twitter.com/olF8GJ8lPC,,,,9.09E+17,https://twitter.com/news6wkmg/status/909246927480516608,,,
323,0.9045531525,39701,MerrisBadcock,,9/6/17,9/6/2017 0:00,6:05:00 PM,0,0,1,2,1,South FL construction cranes can withstand 145mph winds. But Hurricane Irma packs a 185mph punch. @WPTV http:// bit.ly/2gHGCGf pic.twitter.com/fLiMyhDVzv,,@WPTV,,9.06E+17,https://twitter.com/MerrisBadcock/status/905552477713555456,,,
324,0.0679960545,42494,mysuncoast,,9/9/17,9/9/2017 0:00,7:51:00 AM,1,2,1,2,1,FIRST ALERT WEATHER: Hurricane Irma wind speeds now at 130 mph. pic.twitter.com/GCjPnDSC9q,,,,9.06E+17,https://twitter.com/mysuncoast/status/906485273793626112,,,
336,0.9721246943,44636,newtropicmiami,,9/9/17,9/9/2017 0:00,2:29:00 PM,5,2,,2,1,"According to @wsvn , 38,750 people in Miami-Dade are now without power. How are you passing the time, folks? #HurricaneIrma",,@wsvn,#HurricaneIrma,9.07E+17,https://twitter.com/newtropicmiami/status/906585353183809537,,,
374,0.3038796836,66066,wsvn,,9/9/17,9/9/2017 0:00,11:13:00 PM,24,33,,2,1,"Strong gusts, heavy rain as Irma nears South Florida http:// wsvn.com/news/local/str ong-gusts-heavy-rain-as-irma-nears-south-florida/ â€¦ pic.twitter.com/tttIVR8Z8A",,,,9.07E+17,https://twitter.com/wsvn/status/906717351877517317,,,
379,0.8511481137,02869,7Weather,,9/10/17,9/10/2017 0:00,9:45:00 AM,66,40,1,2,1,Be alert! Up to hurricane force winds expected from Homestead to Miami. Time frame: 10am to 12pm today @wsvn #flwx pic.twitter.com/Uvv1Jaui6A,,@wsvn,#flwx,9.07E+17,https://twitter.com/7Weather/status/906876275075244033,,,
417,0.4865626732,25323,GriffinFrank,,9/4/17,9/4/2017 0:00,6:10:00 PM,0,0,,2,1,Irma grows to Cat 4 hurricane with 130 mph winds. Coverage from @wcpo sister station @WPTV http://www. wptv.com/weather/hurric ane/tropical-storm-irma-forms-in-atlantic-ocean â€¦,,@wcpo @WPTV,,9.05E+17,https://twitter.com/GriffinFrank/status/904829111054589953,,,
470,0.1421767904,32507,karlenechavis,,9/2/17,9/2/2017 0:00,9:08:00 AM,3,2,1,2,1,Starting Labor Day weekend on a stormy note. Expect scattered ones today. More sun tomorrow @wsvn @7weather #flwx pic.twitter.com/re2RvPRiek,,@wsvn @7weather,#flwx,9.04E+17,https://twitter.com/karlenechavis/status/903967966487859200,,,
490,0.6378878019,42420,mysuncoast,,9/12/17,9/12/2017 0:00,4:19:00 PM,6,24,,2,1,Trucks full of supplies are on the way. MORE INFO>>> https:// buff.ly/2y3dbGQ pic.twitter.com/VD40GJQfaq,,,,9.08E+17,https://twitter.com/mysuncoast/status/907700249845694465,,,
514,0.6920330487,36693,LucasBoggPhotog,,9/10/17,9/10/2017 0:00,11:52:00 PM,1,0,,2,1,#Bartow Airport has received 81mph gusts/51mph sustained winds. @FOX13News,,@FOX13News,#Bartow,9.07E+17,https://twitter.com/LucasBoggPhotog/status/907089392472293377,,,
521,0.2765731669,63054,WPLGLocal10,,9/3/17,9/3/2017 0:00,11:08:00 PM,14,10,1,2,1,Irma is expected to be near the northern Leeward Islands Tuesday night. pic.twitter.com/4cw9CKfhNX,,,,9.05E+17,https://twitter.com/WPLGLocal10/status/904541700365971459,,,
603,0.5663287713,12304,CBS12,,9/10/17,9/10/2017 0:00,11:42:00 AM,4,2,,2,1,Alert: A Tornado Warning has been issued for the Treasure Coast. Live stream on @CBS12 here http:// cbs12.com/live/event pic.twitter.com/i8Cj2NOG5r,,@CBS12,,9.07E+17,https://twitter.com/CBS12/status/906905816564936711,,,
630,0.0612705464,44522,NewsGuyGreg,,9/9/17,9/9/2017 0:00,5:15:00 AM,3,7,1,2,1,"Here in Delray Beach, handheld meter shows 16mph wind, peaks at 26mph @CBS12 pic.twitter.com/w6R3dNxjgt",,@CBS12,,9.06E+17,https://twitter.com/NewsGuyGreg/status/906445892877774848,,,
638,0.6087088474,02923,7Weather,,9/6/17,9/6/2017 0:00,5:56:00 AM,21,15,1,2,1,"Irma's exact path to south Florida are still in question, but chances for an impact go up. #Irma @wsvn pic.twitter.com/i90szwvMTx",,@wsvn,#Irma,9.05E+17,https://twitter.com/7Weather/status/905369109310963712,,,
679,0.7301854115,62747,WPLGLocal10,,9/10/17,9/10/2017 0:00,5:24:00 AM,22,17,1,2,1,Here is the latest advisory as Irma is about to make landfall in lower Keys pic.twitter.com/1BYX5sGmZR,,,,9.07E+17,https://twitter.com/WPLGLocal10/status/906810677117022208,,,
717,0.8238591061,40734,miralowe,,9/6/17,9/6/2017 0:00,5:02:00 PM,0,3,,2,1,"What you need to know, where to go ... @WUFTNews #HurricaneIrma #Irma2017 https:// twitter.com/WUFTNews/statu s/905523737633710080 â€¦",,@WUFTNews,#HurricaneIrma #Irma2017,9.06E+17,https://twitter.com/miralowe/status/905536692416913412,,,
790,0.3706886394,11017,CBS12,,9/30/17,9/30/2017 0:00,10:00:00 AM,2,1,1,2,1,Alert: Swimming advisory for St. Lucie County beaches still in place. http:// bit.ly/2x2SePj pic.twitter.com/R85hiQ0rpp,,,,9.14E+17,https://twitter.com/CBS12/status/914127699383324674,,,
819,0.474999463,00525,10NewsWTSP,,9/28/17,9/28/2017 0:00,7:11:00 AM,1,1,,2,1,Tampa Bay area forecast http:// on.wtsp.com/2xNO90I pic.twitter.com/r7eNMvGmpI,,,,9.13E+17,https://twitter.com/10NewsWTSP/status/913360422027317248,,,
833,0.926075479,05421,AndrewRuizWPTV,,9/14/16,9/14/2016 0:00,6:28:00 AM,1,0,,2,1,. @wptvTRAFFIC ALERT @wptv @Fox29WFLX https:// twitter.com/stluciesheriff /status/776003370272165888 â€¦,,@wptvTRAFFIC @wptv @Fox29WFLX,,7.76E+17,https://twitter.com/AndrewRuizWPTV/status/776004564319436804,,,
868,0.3340630942,32888,KChapmanCBS12,,9/5/17,9/5/2017 0:00,8:41:00 AM,10,5,,2,1,"It's not looking good, folks... #HurricaneIrma strengthens to a Cat 5 with 175mph winds @CBS12 http:// cbs12.com/news/local/cat -4-irma-bears-down-on-leeward-islands-south-florida-in-forecast-path â€¦ pic.twitter.com/L4hzUIXYrl",,@CBS12,#HurricaneIrma,9.05E+17,https://twitter.com/KChapmanCBS12/status/905048184732430337,,,
873,0.2694635908,22902,FOX13News,,9/7/17,9/7/2017 0:00,3:21:00 PM,24,10,,2,1,"ST. PETE-CLEARWATER AIRPORT CLOSED: Friday at 11 a.m. until further notice, based on evacuation of Flood Zone A. http:// fox13news.com/weather/tropic s/irma-local-coverage/irma-information-pinellas-county â€¦ pic.twitter.com/DECkVzt1Kv",,,,9.06E+17,https://twitter.com/FOX13News/status/905873723433009152,,,
875,0.9638044022,57014,TheDre_Head,,9/10/17,9/10/2017 0:00,12:59:00 PM,0,1,,2,1,"Hurricane Irma: making my way downtown, walking fast, faces pass & im home bound @cnnbrk @CNN @wsvn @weatherchannel #HurricaneIrmaTracking pic.twitter.com/Zgu4XUuDfn",,@cnnbrk @CNN @wsvn @weatherchannel,#HurricaneIrmaTracking,9.07E+17,https://twitter.com/TheDre_Head/status/906925139161427968,,,
876,0.2935526261,01765,10NewsWTSP,,9/8/17,9/8/2017 0:00,11:05:00 AM,3,1,,2,1,"Florida braces for Hurricane Irma: Watches, warnings now in effect http:// on.wtsp.com/2wNT3dG pic.twitter.com/jr6WfLo2FX",,,,9.06E+17,https://twitter.com/10NewsWTSP/status/906171558368079872,,,
891,0.9459256942,05648,anileonardi,,9/8/17,9/8/2017 0:00,12:33:00 PM,0,0,,2,1,. @wsvn on #Periscope : Track Hurricane Irma with our live weather feed. https://www. pscp.tv/w/bIFsTDkzNTU0 NTd8MXlOeGFtWHBXWXJ4ajhnnln9hHWT2sFwgaZM6gUYRQL9qhVVsBpvOh7UWMCe â€¦,,@wsvn,#Periscope,9.06E+17,https://twitter.com/anileonardi/status/906193803886899200,,,
907,0.3223939817,61185,WCTV,,9/5/17,9/5/2017 0:00,2:14:00 PM,1,2,,2,1,Meteorologist @CharlesRoopWCTV is live now on Facebook with an update on #HurricaneIrma . WATCH LIVE HERE: http:// bit.ly/2wCSVx2 pic.twitter.com/5FzPM5N1v8,,@CharlesRoopWCTV,#HurricaneIrma,9.05E+17,https://twitter.com/WCTV/status/905131976117641217,,,
956,0.2652043059,12242,CBS12,,9/10/17,9/10/2017 0:00,3:58:00 PM,2,4,,2,1,#BREAKING Hurricane Irma makes landfall in Marco Island: http:// bit.ly/2vOslhq pic.twitter.com/CGDljlJrD7,,,#BREAKING,9.07E+17,https://twitter.com/CBS12/status/906970063789592576,,,
958,0.2426823459,62902,WPLGLocal10,,9/7/17,9/7/2017 0:00,7:54:00 AM,13,10,1,2,1,Here is the new update from the NHC on Hurricane Irma. Please continue you prepare for a Cat 4 hurricane pic.twitter.com/9xSSEy6UeY,,,,9.06E+17,https://twitter.com/WPLGLocal10/status/905761152763916288,,,
976,0.0277970862,66914,WxLadyFelicia,,9/8/17,9/8/2017 0:00,5:01:00 AM,0,3,1,2,1,#Irma now a Category 4 hurricane with winds at 155mph as it undergoes eyewall replacement. Details on @WPTV pic.twitter.com/tnsj2IJDyc,,@WPTV,#Irma,9.06E+17,https://twitter.com/WxLadyFelicia/status/906079916122308609,,,
1003,0.6613882672,52940,ShaylaNews,,9/6/17,9/6/2017 0:00,4:25:00 AM,2,4,1,2,1,Just in 4:23 am: dale mabry &Hamilton 7-eleven out of water until Friday and out of gas. Fuel shipment supposed to arrive today @FOX13News,,@FOX13News,,9.05E+17,https://twitter.com/ShaylaNews/status/905346233434288128,,,
1038,0.4831551147,62394,WPLGLocal10,,9/22/17,9/22/2017 0:00,1:00:00 PM,1,2,1,2,1,"HEAVY DOWNPOURS - Rain soaking parts of western Miami-Dade, from Hialeah southward into parts of Kendall. #Flwx pic.twitter.com/tRlNmhHD7J",,,#Flwx,9.11E+17,https://twitter.com/WPLGLocal10/status/911273952122720256,,,
1039,0.5341885684,40776,MIRanda_TV3,,9/9/17,9/9/2017 0:00,3:45:00 PM,3,7,1,2,1,The pet friendly shelter in Indian River has over 100 animals. There are over 1200 people in the county shelters. @WPTV pic.twitter.com/Tbu9wk2GR8 â€“ bei Liberty Magnet School,,@WPTV,,9.07E+17,https://twitter.com/MIRanda_TV3/status/906604572252176385,,,
1060,0.956818047,64834,WPTV,,9/10/17,9/10/2017 0:00,8:03:00 PM,7,10,1,2,1,8 P.M. UPDATE | Category 2 Irma slows slightly as it hammers Fort Myers. Increase in forward speed expected tonight: http:// bit.ly/2eWfiHL pic.twitter.com/yy0hNkvmXd,,,,9.07E+17,https://twitter.com/WPTV/status/907031769848979456,,,
1114,0.567618781,14128,ChuckWeber12,,9/10/17,9/10/2017 0:00,3:36:00 PM,7,6,1,2,1,"Downed power lines completely blocking Southern Boulevard, both directions, immediately east of 20-Mile Bend. @CBS12 pic.twitter.com/O33vykihVJ",,@CBS12,,9.07E+17,https://twitter.com/ChuckWeber12/status/906964512502317056,,,
1118,0.4429283771,32498,karlenechavis,,9/10/17,9/10/2017 0:00,2:29:00 PM,0,4,1,2,1,"TAKE COVER NOW! Severe storm, east of Pompano Beach, moving NW at 90 mph. Yes, 90 mph! until 2:45 pm @wsvn #flwx pic.twitter.com/qirBwwsHmO",,@wsvn,#flwx,9.07E+17,https://twitter.com/karlenechavis/status/906947651635236864,,,
1129,0.204680447,37116,LyndaFigueredo,,9/7/17,9/7/2017 0:00,11:16:00 AM,3,1,,2,1,The Gardens Mall will close at 2 p.m. today. Department store hours may vary. @CBS12,,@CBS12,,9.06E+17,https://twitter.com/LyndaFigueredo/status/905812120343896064,,,
1148,0.0278539166,62400,WPLGLocal10,,9/22/17,9/22/2017 0:00,9:35:00 AM,2,6,1,2,1,"Good morning #FortLauderdale ! Grab the umbrella, spotty showers moving over Broward, & over Miami-Dade as well #Flwx pic.twitter.com/ir5k4RzfrA",,,#FortLauderdale #Flwx,9.11E+17,https://twitter.com/WPLGLocal10/status/911222505234403329,,,
1164,0.9926446621,01880,10NewsWTSP,,9/7/17,9/7/2017 0:00,12:35:00 AM,2,2,1,2,1,"Map: FL511 shows traffic, roadway conditions ahead of Hurricane Irma http:// on.wtsp.com/2eNuJSv pic.twitter.com/p9nygGX5k8",,,,9.06E+17,https://twitter.com/10NewsWTSP/status/905650624598917120,,,
1193,0.4488126278,60572,WCJB20,,9/17/17,9/17/2017 0:00,5:37:00 PM,2,2,1,2,1,"Tropical Storm Watches are in effect from coastal areas of VA to MA. Gusty winds & heavy rain possible there, but #Jose stays off-shore. pic.twitter.com/McYIzOrS3E",,,#Jose,9.10E+17,https://twitter.com/WCJB20/status/909531898308890625,,,
1211,0.5750971419,59970,VivianGonzalez7,,9/10/17,9/10/2017 0:00,9:22:00 AM,4,3,1,2,1,#Irma made landfall in Cudjoe Key at 9:10 am @wsvn pic.twitter.com/PVh8ehRKgW,,@wsvn,#Irma,9.07E+17,https://twitter.com/VivianGonzalez7/status/906870373312016385,,,
1218,0.7602780468,12345,CBS12,,9/10/17,9/10/2017 0:00,5:17:00 AM,1,0,,2,1,A Flood Alert is in effect for the Treasure Coast. Track rain on @CBS12 radar http:// cbs12.com/weather/radar pic.twitter.com/XNrlj9UhMV,,@CBS12,,9.07E+17,https://twitter.com/CBS12/status/906808877953556480,,,
1223,0.9475280373,25951,HeartsForHooves,,9/10/17,9/10/2017 0:00,10:13:00 AM,0,1,1,2,1,Flooding on Pacific Avenue in Lakewood Park (Northern Fort Pierce) @CBS12 @WPBF25News @WPTV #Irma2017 #cbs12 #wpbf25 #wptv pic.twitter.com/ZcabgHz5Hl,,@CBS12 @WPBF25News @WPTV,#Irma2017 #cbs12 #wpbf25 #wptv,9.07E+17,https://twitter.com/HeartsForHooves/status/906883284533202949,,,
1242,0.7805909479,44818,NicolePerezWPLG,,9/12/17,9/12/2017 0:00,7:30:00 AM,4,6,1,2,1,Traffic waiting to get back into Miami Beach #traffic @WPLGLocal10 Miami Beach re-opening in 30 min! pic.twitter.com/niWgLhYjhn,,@WPLGLocal10,#traffic,9.08E+17,https://twitter.com/NicolePerezWPLG/status/907567191737987073,,,
1247,0.5963833052,42438,mysuncoast,,9/11/17,9/11/2017 0:00,6:42:00 PM,0,0,1,2,1,Manatee Memorial Hospital will reopen at 7 p.m. MORE INFO>>> https:// buff.ly/2gZfpPH pic.twitter.com/UePY6zQiya,,,,9.07E+17,https://twitter.com/mysuncoast/status/907373819404439552,,,
1255,0.9337838751,66081,wsvn,,9/9/17,9/9/2017 0:00,6:20:00 PM,40,38,1,2,1,"#UPDATE : Florida shelter population tops 75,000 as Hurricane Irma approaches state; more than 6 million warned to evacuate. ( @AP ) pic.twitter.com/oPEvE0XKMC",,@AP,#UPDATE,9.07E+17,https://twitter.com/wsvn/status/906643510727774213,,,
