A Before,B Before,A After,B After,Topic Num,Tweet
11,11,11,11,2,"Big shoutout to @mysuncoast ABC7 WWSB, whose Roku channel is doing a great job keeping Sarasota evacuees informed. #HurricaneIrma"
11,11,11,11,2,@WPLGLocal10 great job team!!!! Thank you very much!!!!!
11,11,11,11,3,God Bless you all. Be safe !!
11,11,11,11,5,Thanks for the prayers and Great Coverage
7,7,7,7,6,all restored? I don't have power still
3,3,3,3,1,Sunny but extremely windy today in Hillsborough county. Expect winds of 30-40 mph @10NewsWTSP #irma #hurricane #hurricaneirma pic.twitter.com/Z5Np36x9rJ
12,12,12,12,9,"But BLM, don't ya know??!! Lol"
11,11,11,11,2,GOOD DAY JENN!...YOURE DOING A GREAT JOB
11,11,11,11,7,GOOD DAY JENN!...YOURE DOING A GREAT JOB
7,9,9,9,4,They need help on alafia right now
7,9,9,9,4,They need help on alafia right now
3,3,3,3,1,"#Irma UPDATE: Storm surge is the greatest threat to life & property during a hurricane"" @FLGovScott @10NewsWTSP 24-7 coverage on #10News pic.twitter.com/Fvyffo1gZa"""
11,11,11,11,7,Great job this morning ladies..hope you enjoy the rest of your weekend
11,11,11,11,2,GOOD DAY JENN!...YOURE DOING A GREAT JOB
11,11,11,11,7,GOOD DAY JENN!...YOURE DOING A GREAT JOB
2,5,2,2,6,Customers don't need to call FPL to report outages. Power Tracker detects outages for customers; crews then respond. http:// bit.ly/2xZ0P1l pic.twitter.com/FPtXZSvV3b
11,11,11,11,2,@WPLGLocal10 we have been watching you guys all day Great job! Thank you for keeping us well informed #Irma
11,2,9,9,4,Please let us know how we can help!
11,11,11,11,2,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,5,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,7,@terihornstein Good morning from #TrinidadAndTobago Teri Awesome Anchor job on @CBS12 this morning Keep up the GREAT work!!! pic.twitter.com/tYO0WBhU1D
11,11,11,11,7,@WalterAllenTV you are the best morning show!! You guys always make my morning!!!! Have a good day Tampa Bay!
11,11,11,11,5,@FOX13News thanks for keeping us informed
7,9,9,9,4,They need help on alafia right now
7,9,9,9,4,They need help on alafia right now
11,11,11,11,2,Thank you @JulieDurda for keeping us informed
11,11,11,11,7,Good luck Catherine! Keep up the good work!
11,11,11,11,2,Great coverage. @WPLGLocal10
11,11,11,11,5,Great coverage. @WPLGLocal10
11,11,11,11,3,"@TourChef Hi D, hope you & your family are ok Sending prayers Stay safe, stay warm and stay here Lord"
12,12,12,12,8,Tropical rain to drench Central Florida http:// dlvr.it/PrF5GK pic.twitter.com/Fjpt4zG2Hi
11,11,11,11,3,"#sflatransplantlivinginChattanooga , STAY SAFE"
11,11,11,11,5,Thanks! Great work from everyone @wsvn !
12,12,12,12,9,Look's like it's time for some BBQ!
7,11,7,11,2,@JenniferLocal10 it is my first storm! I am keeping myself informed watching @WPLGLocal10 your team is doing a great job!
11,11,11,11,2,Take a break you guys are doing a great job
11,11,11,11,7,Take a break you guys are doing a great job
11,11,11,11,2,Great job fellas! You guys are awesome!
11,11,11,11,7,Great job fellas! You guys are awesome!
12,12,12,12,4,If you need locks let me know #Security
6,6,6,6,4,And not ALL black people steal. White people steal too
11,11,11,11,7,Good luck and happy first day!
6,6,6,6,4,How come I don't see any white people looting ?
11,11,11,11,2,God Bless him! Thank you for your service.
11,11,11,11,3,Hope you all stay safe!
11,11,11,11,2,@FOX13News doing a great job of keeping us informed! The entire team is amazing! Thanks for all you're doing! Stay safe! #TampaStrong
11,11,11,11,2,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,5,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,3,Please stay safe my friends!!!!
11,11,11,11,5,Great meeting you today. Thanks for your interest & the great coverage.
11,11,11,11,3,"Thanks, Joe. Hope you and your family are safe as well. God bless, man."
12,12,12,12,4,Frigging White People.
2,9,2,2,8,"Retweeted WPLG Local 10 News ( @WPLGLocal10 ): #BREAKING 13 shelters in South Florida are now filled to capacity,... http:// fb.me/xypwRtog"
11,11,11,11,3,You're by my family. Stay safe!
11,11,11,11,2,@CBS12 @you did a great job of keeping us informed.. Thank you!
11,11,11,11,5,@CBS12 @you did a great job of keeping us informed.. Thank you!
6,10,6,6,4,Why are you only showing black people? White people loot.
11,11,11,11,3,Stay safe! God bless you all!
11,11,11,11,3,Stay safe! God bless you all!
11,11,11,11,3,GOD BLESS you guys HOPE the damage isn't TO BAD!
11,11,11,11,3,How cute God bless you guys be safe
12,12,12,12,9,Looks like an #F1 Tracking system... lol sorry
11,11,11,11,2,@thebettydavis @JulieDurda @JenniferLocal10 @LukeDorris @WPLGLocal10 Great Job #HurricaneIrma keeping Us Informed + Safe Thank you God Bless
11,11,11,11,2,Great picture! Thanks for keeping us informed Paul!
11,11,11,11,5,Great picture! Thanks for keeping us informed Paul!
6,6,6,6,4,"Yeah, because only Black people commit crime against other Black people, right?"
11,11,11,11,2,Take a break you guys are doing a great job
11,11,11,11,7,Take a break you guys are doing a great job
11,11,11,11,7,Good luck & Godspeed!
12,12,12,12,4,@FLGovScott We will continue to let people know
3,3,3,3,1,"UPDATE | @NHC_Atlantic says Hurricane Maria has re-intensified to a 160 mph, Category 5 storm"
7,9,9,9,4,They need to hurry and help those people!
11,11,11,11,5,Thanks for keeping us informed.
6,6,6,6,4,"I don't think only black people steal, I just don't see any white people in this video."
11,11,11,11,2,@CBS12 @you did a great job of keeping us informed.. Thank you!
11,11,11,11,5,@CBS12 @you did a great job of keeping us informed.. Thank you!
6,10,6,6,9,Don't like it? Don't loot. BAM!!!
