Link,Tweet,Label
'262430296757116928',Are you Don Drapers wife?  BOoM #halloween2012 #madmen http://t.co/ioBGXliU,0
'262707609717575680',Ok - goodbye New Yorkers. I'm outta here! Good luck with the #frankenstorm and stuff...,1
'262471773281460224',#GottaAceMySATexam .. OH LORD: I really wish we found that previously http://t.co/rbnRHSAj ya better get this #TallGirlAppreciationDay pzk,0
'263112104985374720',And out goes my power,1
'262928096687173633',"#RT_ @shakira says: I'm something you'll regret losing, I can promise you that much.",0
'262961530683928577',"@4SHOCinCity so far good, I'm part of emergency staff, I just happen to have day off!",0
'263090700944556032',"I dont even care about the power, I just want this storm to be over",1
'262943710227087360',Really don't mind this Florence thing unless the power goes out,1
'262743175431602176',@stephennyr89 cause I seen people post pictures of flooding &amp; puddles .. Didnt know what was going on out there haha,1
'263114442114490368',Tree Trimming in Nee Carolina http://t.co/SnvLYuLp,0
'262615077952319489',I honestly hate the Volkswagen commercial with the dude singing in the black car,0
'263077258338639872',Oh my god there's an emergency alert in my area I'm fucking scared http://t.co/h5ZoNDkG,1
'263013628167462913',@jacquelinetweet we just happen to be surrounding a tray of vodka Kelly right now while sheltering in our building haha #hurricanefestival,1
'263023091897221121',I want 1st marking period to end already!,0
'262392725469544448',@s_mehalick: Why won't my friends text me?,0
'263102777822150656',This guy Skelton had the job in week 1. Got hurt. Kolb leads them to 4-2 n skelton comes is and is just HORRIFIC,0
'263040368797446146',@SwagisLethal But around 6-8pm with the high tide we will have bad flooding,1
'263400823873212416',@Prarthana_xo I have electricity come over later,1
'262756485862412288',I feel like If we Fall apart You Wouldn't Care. &lt;\3 :(,0
'262756977430646785',@JAZMINrazzles My Soul To Take (:,0
'262906282929967104',"Its sad, when you can't trust someone you involve with",0
'263117323815223297',I'm tighter than a virgin right now since i can't text &lt;&lt;&lt;,0
'262919076668637184',Baby all I need is on,0
'262652972754956288',Can't believe one of the twitter accounts for the hurricane is actually tweeting/promoting4Obama. Be funny bout the storm not talk politics,1
'262755928191946752',@XO_kimx3: #ToMyFutureDaughter you will play softball,0
'263128254674784256',@SBedard23 sounds great love you guys !!,0
'262609740402675714',Teaching your little siblings how to actually be a decent human bieng,0
'262902930624090112',@ufouria_ I don't even like candy so I don't know man lmfao,0
'262644498688004097',Why does my twitter randomly favorite other people tweets #sorryguys,0
'263123476653682688',"@Vikeologist we're a cbs owned and operated station. NY needed crews, we came!",0
'262564759814152192',He ain't nothing like the boy I used to know.,0
'262609485632266241',My first step in MY :) (@ New York Penn Station w/ 79 others) [pic]: http://t.co/X3ZqCD9p,0
'262762267219734528',"@Nikki_217 @_wonderrwoman flounder is just a buzz kill, Arial cannot be tamed. #fucksafety",0
'262954891096494081',!!!!!!!@XSTROLOGY: #Aries cannot stand stagnant relationships. If shit gets boring they will wander.,0
'263325109706702848',@Jikankun @ManaPuddingFox no power in town. both doing fine. driving sucks.,1
'262633993449664512',They can just throw me a couple hundred .,0
'263326119359561728',Lots of people out in #BayRidge #Brooklyn checking out the storm damage. #Florence #Florenceaftermath,1
'263390086979260416',about to beg my mom to let me throw down,0
'263284448395665408',"No power, out driving the jeep and charging my phone. Trees down, Does not look like are getting power anytime soon.",1
'262700804262211585',First day of #nnguw started with Mobile Websites and Apps today. So far so good!,0
'262630144806629377',The hurricane updates are most interesting than the Jets games.,1
'263047016593125376',@mikesvehla come to bayonne son,0
'262538690679681024',Marcus Lattimore man prayers up for u man keep fighting South Carolina #21 shyt was terrifying espi ally if you are a football playerlike me,0
'262807854363332608',I should of went to a hurricane Florence party..I'm so bored I'm tweeetin my biscuits off over here #bored #awake,1
'262974991694446592',@HenryEdmondson the big bear was on pix11 news and got interviewed,0
'263079317855141889',"No power, no problem! #blackout #Florence #eastvillagenyc #newyork #hurricanecowboys  @ East Village http://t.co/84LtDMIZ",1
'262731259271335937',@bree_cass this is from rob bc he doesn't have a smartphone at my house: coookkkieeeeeee!!,0
'263060018604171264',@toodopekay_ yea lets hope it pass us quick,1
'262699097545375744',@sirenasmaster well we shall see lol...i aint worried i leave it to God,0
'262676215884824576',Watching tv nd Textin my best friend,0
'262955065843785728',@Valerie_Mia how is it by you Valerie? It's really windy over here.,1
'263029063462055936',The lady on channel 4 news looks like @jekkkkax3 s mom,0
'262887647893151745',Hi Cav vmt WOW.. #HaveToAceMySATexam : ..better get it while u can http://t.co/nN4neU1z,0
'262411331427241984',In love with my bed except for the fact that every move you make something squeaks #thestruggle,0
'263401491694493696',@Fxq_Ya_Feelins u good nobody gon see lmfao,0
'262451838903803905',No normal people leave the airport this early,0
'262614239242510336',Hurricane Florence can suck it,1
'262989476702326787',Frankenstorm? More like zombie apocalypse. (at Manhattan) [pic]  http://t.co/kyzTKAog,1
'263003949425098752',"Promise that you'll sing about me 4eva, promise that you'll sing about me 4...ooOooo",0
'262982548920090624',@nathanandy lol no trauma to little man!,0
'262781159648399360',@steffffuhhknee omg I was just talking about that game. I fucking love it! Lmao,0
'263342869325164544',West side highway downtown is a swimming pool @FrankBeach_  @ Riverside Park North http://t.co/F7uL15nX,1
'262897064873185280',woke up in the worst pain in my knee #IHateRain,0
'262813839949692929',Moving Target! (@ Frankenstorm Apocalypse - Hurricane Florence w/ 1057 others) http://t.co/ap6Pdf6X,1
'263291850096513025',I hope I'm able to make good friends when I move to Florida in two years :),0
'263185035681738752',"Wind Advisory issued for Union Center, NJ http://t.co/elByuKlj",1
'263004516172058624',"@Robyouells hey brotha, how u dealing with this weather?",1
'262374000070623235',"I'm at Mile End (Brooklyn, NY) w/ 4 others http://t.co/6XNIh6j3",0
'262548215000363008',@dominiloka YES to football but pending on ur tv u might lose the satelite n all that.,0
'262934248711925760',"@SandraMcGarrell I love you all deeply but until you can offer me a Jamba Juice, Whole Foods and Bud Light Lime, I'm staying put. X",0
'263018717078773761',"Got my loud, now I'm ready",0
'263131875764215808',@jvssica get the 5 on sprint..,0
'263089595971952640',"@jessicadelfino: Any chance #Mitt #Romney made this hurricane? #Florence Our fault bc we depend on govt subways, roads and FEMA. Right?",1
'262680233738645504',What if the power goes out and I'm left with raw cupcakes? That would just be fucked.,1
'263327751270985729',Hehe @cha_patti: @aruna_dawn Can't wait to see your mummy on ITV tonight! Hope all's well.... Lots of chapatti love coming your way xxxxxx,0
'262606602237001728',"Hide your children, hide your wives! (@ Frankenstorm Apocalypse- Hurricane Florence w/ @beer4molly @y_vo) http://t.co/cwZpTNB7",1
'263069052413554688',omg a huge tree just fell in my backyard so close to my house. this is too scary!,1
'262410009567166464',Love these bitches @jgords nichole_durant brooke_nicholeee92  @ Bamboo Bar http://t.co/so8RUPvA,0
'262718511644803072',I'm at Frankenstorm Apocalypse - Hurricane Florence w/ @sarahjgiann http://t.co/lrH0HeaJ,1
'263087851187621888',Water has officially entered my house.,1
'262392067534249984',LMFAOO  @BollyWoodsOwn: If you text me right now prepare for a long ass conversation,0
'263134460164337665',A fuck nigga that's ; that shit I don't like !!,0
'262676509788082178',Why ppl crying and taking Florence serious? She's just a squirrel.,1
'262642412814479360',Put me as your screen saver so I know it's real,0
'263083076362584065',Storm is supposed to die down around midnight. 3 more hours of hell.,1
'262686422421614594',@Exotic_Asian_: Im really bored in bedddddd. Ahhhhhh I keep changing positions every 5 mins lmao,0
'263102285020794880',: Video Of ConEd Station On FDR And 14th Street Exploding http://t.co/nhU1igZx,0
'262979499560411136',@PrincessReb_: Jaime missed me texting him ugh me too . &amp; if wifi goes I'm done for lmao,0
'262549311630491649',@POInT_at_ASH thanks girl I'm home safe,0
'262735396528586752',@kritzkolesa coolest fork in town,0
'263044931516518400',"out to cnr, wish me luck lmao  i wish",0
'262622206666866688',I need some classic #Halloween movies in my life.,0
'262525535534596096',"I'm at NBCUniversal (New York, NY) http://t.co/LLvUhyrJ",0
'262388268941844480',Just gunna walk everywhere for now on.,0
'262807388850114561',MBFW S2013 FLASHBACK: BEAUTIFUL SILHOUETTES @reemacra!! This i @ Reem Acra Show @ Mercedes-Benz Fashion Week http://t.co/jvCcJMVV,0
'263134319634165760',When she says my name she's mad at me,0
'263077841460162562',Keep hearing a crazy grinding and lights keep flickering but thankfully we're still lit up here in Bayonne! #Florence #Florencen12nj,1
'262462217709043712',#SATstudyTime .. GOODNESS I really wish my cousin had got that previously http://t.co/vXLm9pTW ya better get this #donttextmeif ckf,0
'262702101262643202',@richard1826 I'm so mad!! It was just his fingertips out! Ughhh,0
'262968641799192578',Who wants to o looting when Florence hits?!,1
'263117383189798913',Omg  @ Consolidated Edison of NY http://t.co/tQ9MSSBa,0
'262674741721198593',"IPHONES ARE OFFICIAL!! STAY FOCUS!!  @ Mott Haven (Bronx, NY) http://t.co/lK2ISQ28",0
'263007572108394496',i wanna go to the park lol,0
'262612525261139968',@iArrestNoCuffs mad ya man pays no mind during da game,0
'263011844149616640',@capitalV @macnrg The CALM before the storm...is over! http://t.co/L6NVT8BM,1
'262661185541918720',@James_Yammouni   good morning! Please pray for your USA east coast fans like me because a horrible hurricane is hitting us very soon 10,1
'262596351236403200',Class canceled Monday &amp; Tuesday.. Perfect,0
'262366669417107456',&amp; if I don't I'm paying someone to come out with me,0
'263231903241474048',"I'm so bored since i have no TV right now that I've heard all the songs on my phone #4,539",0
'262796633417326592',@Heady_Mo Rd better be safe that shit gonna hit tomorrow lol,1
'263027489041952768',@Automotive: Lamborghini Aventador http://t.co/jlnGZPoC because my next boyfriend will drive this! @lorrainepesola,0
'262720567965278210',new york from the Statue of Liberty (crown) http://t.co/62VX2L2B http://t.co/eixNarep,0
'262711015056224257',these hurricane Florence tweets are so hilarious tho,1
'262656498902114305',@_MonyMaknMitch: Think I'm a use this time off to get back n the gym u need too,0
'262635620864774147',trees n wine. #hurricanesupplies #Florence,0
'262360668366315521',@PatriArt: The Days of Our Lies #ObamaSoapOperas  nice,0
'263315612741300224',Maybe now you ignoramus might appreciate school 3-/,0
'263118055389925376',"There's a lot of good cops,volunteers, and emergency responders out there risking it all.. Thanks &amp; my thoughts are with you #hurricaneFlorence",1
'263295729890635777',My dream of having a fat guinea pig has been fulfilled,0
'263027383135793152',-' LmaO !!!! *grabs sneakers*  @BtwImPretty_: @JahTeflon_ lets get his ass out da pic,0
'263406380503924736',Thank god not every place was affected by the storm! (@ Uncle Louie G's Italian Ices &amp; Ice Cream) http://t.co/NWqRvNip,1
'262679622796333057',I'm at Frankenstorm Apocalypse - Hurricane Florence w/ @megtowe http://t.co/p56xmALz,1
'263138359256424449',"Riding out Florence @ my in-laws in Leonardo, NJ. My town of Keansburg, NJ is a lake!",1
'262647289422675969',lol @ my aunt saying she's not evacuating because a certain family by her house will be just waiting to steal everybody's shit #realtalk,1
'262672114115559425',@DayanaNarie: Let's fucking go! We about to make a comebackdnt gass.. Stay humble lol,0
'263422340401090560',@bissyv lmaoo I triedd but he's too scared to fall,0
'262634483239505922',"Lunch, meatballs... (@ Meatball Obsession) [pic]: http://t.co/rU8SeHmV",0
'263050018766856193',@RJ_Dizon @yoDenis_ @kervindoee lmao when I saw this I was like I have to show ya,0
'262356623576674305',#GNTGiveaway @GameNTrain is giving away 2800 MS Points! Enter today! http://t.co/v90Kr50r,0
'263075125472161792',U think hurricane Florence is bad just wait till Hurricane Selver comes hehe,1
'262855354738692097',Ok people so I have to work keep me in your prayers many thanks #Florence2012,1
'263100422590439425',@JLawMiamiDoll I promise I am..  Thats where I was b4..,0
'262350294090907648',I'm saying it as if I'm not taken need this free just love spending time with my Roost,0
'263421710819266562',He's such a fat dike,0
'262651589586735104',Happy 1st Large Milk Chocolate Letters-Anniversary Birthday Gift for Boyfriend Girlfriend-Made to Order http://t.co/99dq39VB,0
'263346234255888384',Read between the lines. What the MTA is trying to say is we're all fucked.,0
'262487137235111936',#SATstudyTime .. OMG I wish my brother found this previously http://t.co/3o2hrJeQ you better get it now #Top10FavoriteSongs utv,0
'262978375403065344',Better be a sick joke,0
'262412301733351425',@Proud_Jamaican_ yeah we in Osric group lol so we pay 16,0
'262753449316319232',What even iz a hurricane...,1
'263402690250420225',@katieguardnuh IM REALLY EXCITED LIKE HELLO CHRISTMAS,0
'262445366396473344',Lumberjack (@ Good Stuff Diner) https://t.co/aF9z9N1b,0
'262661164306161664',@MilanaMay we are all in this together! #Florence #ssaf,1
'262402665584132096',Wooow James Harden to the Rockets?!,0
'263105934807666688',@ColeBronxx: @PorcDaddy no people who have an answer for everything SUCK &lt;&lt;&lt; Not true lol,0
'263005422980571136',@x__fIERCE yeahhh I don't think it will go that far I mean ur talking about over 50 blocks it will travel. I can't c that happening.,0
'262765601477517312',Hocus Pocus is such a great movie,0
'262678118890881024',"Coming soon! @ New York, NY http://t.co/cXDgYXhA",0
'262591986215817216',I don't wanna leave!  @ Central Park http://t.co/T31nX6xf,0
'262358362707091456',She got a big booty,0
'263320839649386498',considering rt 18 has become the raritan river I'm thinking no classes for RU tomorrow,1
'262559021054189568',Oh saamn Florence is basically already here if she boutta enter brigatine,1
'263056413461454848',Watching a movie on Netflix with baby and family &lt;3 perfect way to have a sick night with a hurricane outside lol.,1
'262589357322555393',So if I end up dying in this hurricane can I at least be drunk and eating sushi??,1
'262797560329146368',Ashley Belongs To Tizzies sdq WOW.. #StudyingForTheSAT : hurry before its unavailable http://t.co/pfxlDr5Y,0
'263058328647770113',Walking around my neighborhood right now. I don't normally curse but shit is real out here.,0
'262417179566305280',&amp;&amp; den shoot them wit a bb gun dat holds metal tips,0
'263405109239742464',"East side, west side, power off, power on - looking west from 3rd ave @ 30th http://t.co/aOwU7UEE",1
'262925867867594753',@JTD_23 yeah it is 15 mins away bro!,0
'263340613846589440',My babes not answering #WorriedAsFuckkkkk!,0
'263083180939169792',@emilyjn how is it at your end?,0
'262482926841778176',#SATstudyTime : #OMG // I wish we students had found that earlier http://t.co/h2Mjcuzi hurry before its unavailable #donttextmeif pmb,0
'262702569527328768',"@jdmitch no, just usual sign up/renewal",0
'262684423751864320',Waterfront Strike Team #hurricane #Florence #hoboken #nj @scottygo  @ City of Hoboken http://t.co/75aGDUf8,1
'262660453765894144',"Florence what's good?!  @ Matawan, NJ http://t.co/GjRIxdUM",0
'262979291824926720',"@GaryBYoung it's not that bad, a lot of flooding in the islands, driving around on the mainland right now http://t.co/MyiUUQqI",1
'262771807445209089',@sans_colon @dan_holguin What are you two what'ing about?,0
'262618017047908352',...but I want to make a sandwich @ associated http://t.co/wMEPjGa6,0
'262710339945259008',@MyNameIsDuncan yeah I heard. Are you in Carolina or astoria?,0
'263016017276579841',I'm a Jewish mother.  @ Fair Lawn http://t.co/xdzdtlaD,0
'262912428759736320',@RyanNewYork just got done walking my two dogs through Bushwick. You'll make it! I didn't see too much open though.,1
'262944473108082688',@MayniacMax not when ur like right in the middle of it,0
'263279305746964480',Florence stop me from watching bad girls club reunion last night....freakin bitch!!,1
'262633373510533120',@Jrizz1795 honestly with everything the news is saying I think the world is ending. #thedayaftertomorrow,1
'262990003083300864',"@LeslieMarshall also, read @MittRomney's op-Ed from 09, he did support govt financing for the bailout but after a structured bankruptcy",0
'262923111098372096',"When the tough get going, the going get tough",0
'262642621531426817',My heart is there ..... (@ Frankenstorm Apocalypse - Hurricane Florence w/ @wolfsmak) http://t.co/Nv4lfJN2,1
'262743238941765632',@Drtysxyministry @fathertim @scottagunn @vapriestess @revlucymeg it's all over but the waiting now. Very little we can do here to prepare.,1
'262734521659711489',@phillipspaeth: I'm eating pop tarts in my bathtub shut up a storm is coming. pic please or better yet can I join you - I love pop tarts.,1
'263402526357999616',@Bethenny Aaand this is why I am among zillions who adore you.,0
'263048431382179840',@Real_Liam_Payne Follow me or I will send hurricane Florence to the uk. I TAKE THAT BACK BBY IM SORRY,1
'262610736893808640',"I hate seeing girls cry , unless ur a whore then u can drown in those tears no problem",0
'262591657663410176',NYC schools never close I've got a bad feeling about this #Florence,1
'262648544501043200',Took a 20 min nap great,0
'262361125138612224',A random Halloween party. (at @Thompson_LES)  http://t.co/ZFawPkRd,0
'263029108630507520',I feel all I need a quill pen and I'm living like Benjamin Franklin.,0
'262656718037716993',@ChristiniBikini how did you find me? Hahaha but thank you!!,0
'263350783003725824',@b_yeager yours truly... Is one of those 8.2 million. Smh,0
'263130642429116416',We don't approve of this message.  #fuckoffFlorence #marijuana #lmao #wut,1
'263035294905937920',I can't do nun if girls like me or think I'm cute or what Eva,0
'263336375468834816',It's 2012.  Why can't our phones &amp; laptops build ad-hoc mesh networks easily during disasters / outages?,1
'262506832432607234',#GottaAceMySATexam .. !!! I really wish I managed to get that previously http://t.co/6fBv6K1X ..better get it while u can AJ McCarron nzw,0
'263310954429816834',"After last night, every relationship I had with someone in #oomf 's house, is down the shitter. #nevergoingback #fuckthat",0
'263161516117880832',KELLY ROWLAND IN THE DEEP,0
'263380223045804034',All I want is my power back,1
'262376976155803648',Everyone serenade the new king,0
'263124195142152192',"100% agreed RT @jessespector: Thanks, NYPD and FDNY. Couldn't pay me enough to do what you do.",0
'263258023756185602',@IzabellaJG thanks! I'm in an area that's barely damaged but thankyou anyway!,1
'262697490959171584',"But hold your breath because tonight will be the night that I will fall for you over again, don't make me change my mind",0
'263347407830532096',That would be great if i actually had friends,0
'263110667467358209',@Bravotv: It's almost time for #AndysHurricaneParty. RT if you're watching and staying safe!!! #Florence #WWHL. I wud but have no power!!,1
'263067712010465280',Attention everyone I lost power,1
'263356117785124865',"Yup, that happened. #Florence  @ Trinity Church Cemetery &amp; Mausoleum http://t.co/z5gtDlqN",1
'262842926420357120',@MsSweetYvette the way you tweet about him seems a lot more than like .... Really,0
'263329010984042496',@casschin yeah you guys must have got shut off when I did! #goodluck man,0
'262662861820665856',"Where everybody at ? ,  Hurrican Florence got niggas Shook !",1
'262630520461078528',Wtf ? No food at my house . You buggin' if you think i can live without food . I cant !,0
'262650195932766209',Happy birthday Gia! #hurricanebday #finallylegal # @ Gregory's Bar and Restaurant http://t.co/x7on96My,0
'262930591203348481',I hate young minded ass lil boys &amp; lil girls!,0
'262990480533516290',"@WPIX  bayonne park ,hudson county park, stephen r. Gregg whatever they call it now ??? Bayonne,n.j. http://t.co/J0KAC4dE",0
'262476574283137024',The city that never sleeps! http://t.co/AzzHTqpP,0
'263347865198419968',"@youneverdothat @jorgenotgeorge could've easily been mistaken for One who wishes for females to lay prone, for coitus too",0
'262679793554817026',@somuchunfortune Building up a portfolio of firms to work with on their social media strategy,0
'263031252406390784',I thought I heard a plane crashing but now I think it was your passion snapping,0
'262706091245330432',@lizchang_ awww hopefully we can play one more time before it gets cold,0
'262684942432100352',"I wish my boyfriend was here so we could cuddle, womp.",0
'263414068730290177',one of many unbelievable images #Florence (@ Florence Aftermathpocalypse 2012 w/ 271 others) [pic]: http://t.co/VT2XMlhY,1
'263410418716905472',My sister is playing cards while  listening to @AsherMonroe ... I'm guessing good luck charm?,0
'262911846313504768',"Someone's ready for #hurricaneFlorence! @ West Orange, NJ http://t.co/KRnnZL7M",1
'262994434013138944',Wish I was in Jamaica now,0
'262969694238154753',Me ;Mommy can we go to dunkin donuts ? * winks Her;  are you crazy * says Portuguese shit I don't understand. Me; so that's a yes?(:,0
'262925607426478080',Staying home because of the hurricane &lt; Bagels @ La Bagel Delight http://t.co/5NagKRM3,1
'262363725334466560',My dad can do 10 one handed pushups and he's 50 years old and 250 pounds  #getbig,0
'262430197201117184',"I'm at Redemption (New York, NY) w/ 6 others http://t.co/M32tqZmi",0
'262614283765035008',With my mom and sisters. It. Is. Empty. (@ Six Flags Great Adventure Employee Parking) http://t.co/ac7dYnX3,0
'262683969542316033',Phin. And I switched hats  @ Queens Plaza South http://t.co/HylLU52V,0
'263102037389094912',I get scared letting the dogs out. I don't want them to blow away ! Especially my westie.,1
'263072687516164096',@VioRuff omg bubbles im in the red zone im fucking scared to death. The waters gonna come ip.,1
