,Unnamed: 0,'username','date','retweets','favorites','text','cleantext','is_retweet','ID','permalink','Translation',Category
612,612,AEEONLINE,2018-02-09 08:44:50,2,30,"AEE ENERGIZA LÍNEA DE 38,000 VOLTIOS QUE BENEFICIA A SECTORES DE YABUCOA Y ADELANTA TRABAJOS DE RECONSTRUCCIÓN DE LA LÍNEA 50200 DE 230,000 VOLTIOS__NEWLINE__ https://www. aeepr.com/Noticias/notic iasread.asp?r=GWXLICWXJX   …","AEE ENERGIZA LÍNEA DE 38,000 VOLTIOS QUE BENEFICIA A SECTORES DE YABUCOA Y ADELANTA TRABAJOS DE RECONSTRUCCIÓN DE LA LÍNEA 50200 DE 230,000 VOLTIOS__NEWLINE__  aeepr.com/Noticias/notic iasread.asp?r=GWXLICWXJX   …",False,961959074119213057,/AEEONLINE/status/961959074119213057,"AEE ENERGIZES A 38,000 VOLT LINE THAT BENEFITS YABUCOA SECTORS AND ADVANCES RECONSTRUCTION WORK FOR LINE 50200 OF 230,000 VOLTS__NEWLINE__ https: // www. aeepr.com/News/notic iasread.asp? r = GWXLICWXJX ...",2
1267,1267,AEEONLINE,2017-10-04 13:15:58,27,51,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Arecibo CC6 #AEEyacomenzamos   #PRSeLevanta pic.twitter.com/wBPQltRXVI,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Arecibo CC6 #AEEyacomenzamos   #PRSeLevanta ,False,915626561847660544,/AEEONLINE/status/915626561847660544,WHAT THE AEE BRIGADES ARE DOING - Arecibo Region CC6 #AEEyacommend #PRSeLevanta pic.twitter.com/wBPQltRXVI,2
344,344,AEEONLINE,2017-10-07 17:40:56,4,24,"Ahora: Ricardo Ramos habla con Frances Robles de The New York Times, sobre situación del sistema eléctrico tras María y plan de trabajo. CC1 pic.twitter.com/670LUaYaUQ","Ahora: Ricardo Ramos habla con Frances Robles de The New York Times, sobre situación del sistema eléctrico tras María y plan de trabajo. CC1 ",False,916780408267788289,/AEEONLINE/status/916780408267788289,Now: Ricardo Ramos talks with Frances Robles of The New York Times about the situation of the electrical system after María and the work plan. CC1 pic.twitter.com/670LUaYaUQ,2
1952,1952,AEEONLINE,2018-01-21 17:55:54,5,21,"El director ejecutivo, Justo González le explicó a METRO PR los progresos  en los trabajos de la línea 50800 que va desde Yabucoa hasta Sabana Llana (completada en un 75%) y la línea 50200 de Manatí a Costa Sur (completada en un 89%).  Seguimos hasta iluminar a todo PR. CC6 pic.twitter.com/nWYjr9r96T","El director ejecutivo, Justo González le explicó a METRO PR los progresos  en los trabajos de la línea 50800 que va desde Yabucoa hasta Sabana Llana (completada en un 75%) y la línea 50200 de Manatí a Costa Sur (completada en un 89%).  Seguimos hasta iluminar a todo PR. CC6 ",False,955212385614168064,/AEEONLINE/status/955212385614168064,"The executive director, Justo González explained to METRO PR the progress in the works of line 50800 that goes from Yabucoa to Sabana Llana (completed by 75%) and line 50200 from Manatí to Costa Sur (completed by 89%) . We continue to illuminate all of PR. CC6 pic.twitter.com/nWYjr9r96T",2
2226,2226,AEEONLINE,2018-03-17 11:44:21,1,9,"HOY: El director ejecutivo AEE, Justo González, junto a funcionarios de T&D, dialogan con el alcalde de Juncos, Papo Alejandro,  senador Miguel Laureano y representantes Lourdes Ramos y Ángel Peña, sobre planes adicionales de energización en el Municipio. CC1 pic.twitter.com/cgNPp9AvcD","HOY: El director ejecutivo AEE, Justo González, junto a funcionarios de T&D, dialogan con el alcalde de Juncos, Papo Alejandro,  senador Miguel Laureano y representantes Lourdes Ramos y Ángel Peña, sobre planes adicionales de energización en el Municipio. CC1 ",False,975035113762447362,/AEEONLINE/status/975035113762447362,"TODAY: The AEE executive director, Justo González, together with T & D officials, dialogue with the Mayor of Juncos, Papo Alejandro, Senator Miguel Laureano and representatives Lourdes Ramos and Ángel Peña, about additional plans for energization in the Municipality. CC1 pic.twitter.com/cgNPp9AvcD",2
1032,1032,AEEONLINE,2017-09-27 08:40:38,2,3,"Ricardo Ramos habla con Aníbal Acevedo Vilá en Sobre la Mesa Radio Isla 1320, sobre situación infraestructura eléctrica tras paso María. CC1 pic.twitter.com/0rmCqsRbj1","Ricardo Ramos habla con Aníbal Acevedo Vilá en Sobre la Mesa Radio Isla 1320, sobre situación infraestructura eléctrica tras paso María. CC1 ",False,913020557838479361,/AEEONLINE/status/913020557838479361,"Ricardo Ramos talks with Aníbal Acevedo Vilá in Sobre la Mesa Radio Isla 1320, about the situation of electrical infrastructure after María. CC1 pic.twitter.com/0rmCqsRbj1",2
1308,1308,AEEONLINE,2017-12-30 17:26:23,11,38,Aquí están trabajando hoy las brigadas de la AEE __PIPE__ Metro CC1 https://www. metro.pr/pr/noticias/20 17/12/30/aqui-estan-trabajando-hoy-las-brigadas-la-aee.html   …,Aquí están trabajando hoy las brigadas de la AEE __PIPE__ Metro CC1  metro.pr/pr/noticias/20 17/12/30/aqui-estan-trabajando-hoy-las-brigadas-la-aee.html   …,False,947232427054903301,/AEEONLINE/status/947232427054903301,Here the ESA brigades are working __PIPE__ Metro CC1 https: // www. metro.pr/pr/news/20 17/12/30 / here-are-working-today-the-brigades-the-aee.html ...,2
248,248,AEEONLINE,2018-02-18 19:49:43,7,18,AEE asegura que plan de contingencia no afectará a los clientes __PIPE__ NotiUno 630 CC1 https://notiuno.com/aee-asegura-qu e-plan-de-contingencia-no-afectara-los-clientes/   …,AEE asegura que plan de contingencia no afectará a los clientes __PIPE__ NotiUno 630 CC1  e-plan-de-contingencia-no-afectara-los-clientes/   …,False,965387887436095488,/AEEONLINE/status/965387887436095488,AEE assures that contingency plan will not affect customers __PIPE__ NotiUno 630 CC1 https://notiuno.com/aee-asegura-qu e-contingency-plan-will not affect-clients / ...,2
814,814,AEEONLINE,2017-10-27 08:55:01,0,14,Nuestros mensajes son de orientación a nuestro pueblo sobre lo que estamos trabajando para restablecer el servicio eléctrico. CC6,Nuestros mensajes son de orientación a nuestro pueblo sobre lo que estamos trabajando para restablecer el servicio eléctrico. CC6,False,923895811435573248,/AEEONLINE/status/923895811435573248,Our messages are of guidance to our people about what we are working to restore the electric service. CC6,2
2245,2245,AEEONLINE,2018-02-11 08:55:29,12,56,"RESUMEN del 10-2-18 (pm) - Contamos con 4,782 trabajadores en las líneas de distribución y 944 en las de transmisión. La generación para la fecha 90.8%  y 75.35% (1,109,894) clientes con servicio. __NEWLINE____NEWLINE__Continuamos con los trabajos de reparación del sistema... #unsoloequipo  CC6","RESUMEN del 10-2-18 (pm) - Contamos con 4,782 trabajadores en las líneas de distribución y 944 en las de transmisión. La generación para la fecha 90.8%  y 75.35% (1,109,894) clientes con servicio. __NEWLINE____NEWLINE__Continuamos con los trabajos de reparación del sistema... #unsoloequipo  CC6",False,962686528962035713,/AEEONLINE/status/962686528962035713,"SUMMARY 10-2-18 (pm) - We have 4,782 workers in the distribution lines and 944 in the transmission lines. Generation for the date 90.8% and 75.35% (1,109,894) customers with service. __NEWLINE____NEWLINE__We continue with the repair work of the system ... #unit equipment CC6",2
192,192,AEEONLINE,2017-09-07 11:26:26,3,6,SECTORES SIN SERVICIO EN BARRANQUITAS. CC6 pic.twitter.com/6fU4XHALDg,SECTORES SIN SERVICIO EN BARRANQUITAS. CC6 ,False,905814522757341184,/AEEONLINE/status/905814522757341184,SECTORS WITHOUT SERVICE IN BARRANQUITAS. CC6 pic.twitter.com/6fU4XHALDg,1
2450,2450,AEEONLINE,2017-11-20 13:01:03,14,50,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta pic.twitter.com/AjqOrK6vcQ,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta ,False,932670137647423490,/AEEONLINE/status/932670137647423490,Work done today by our brigades in the Bayamón Region. CC6 #PRSeLevanta pic.twitter.com/AjqOrK6vcQ,2
1902,1902,AEEONLINE,2017-09-07 16:59:58,16,6,SECTORES SIN SERVICIO EN TRUJILLO ALTO. CC6 pic.twitter.com/riw15kRVZf,SECTORES SIN SERVICIO EN TRUJILLO ALTO. CC6 ,False,905898459118665730,/AEEONLINE/status/905898459118665730,SECTORS WITHOUT SERVICE IN TRUJILLO ALTO. CC6 pic.twitter.com/riw15kRVZf,2
422,422,AEEONLINE,2017-12-14 15:14:09,7,33,"Director Ejecutivo, Justo González dialoga con compañeros de la Técnica Minillas de Bayamón sobre los trabajos de restablecimiento en el área. CC6 pic.twitter.com/CgT4xy58fw","Director Ejecutivo, Justo González dialoga con compañeros de la Técnica Minillas de Bayamón sobre los trabajos de restablecimiento en el área. CC6 ",False,941400940837515265,/AEEONLINE/status/941400940837515265,"Executive Director, Justo González talks with colleagues from the Minillas de Bayamón Technique about the restoration work in the area. CC6 pic.twitter.com/CgT4xy58fw",2
2231,2231,AEEONLINE,2017-09-13 17:46:03,3,5,Entrevista con el director ejecutivo de la AEE __PIPE__ GOBIERNO __PIPE__  http://elvocero.com    CC1 http://www. elvocero.com/gobierno/entre vista-con-el-director-ejecutivo-de-la-aee/article_d15237ea-989c-11e7-b00f-43694a9b0481.html   …,Entrevista con el director ejecutivo de la AEE __PIPE__ GOBIERNO __PIPE__      CC1  elvocero.com/gobierno/entre vista-con-el-director-ejecutivo-de-la-aee/article_d15237ea-989c-11e7-b00f-43694a9b0481.html   …,False,908084385324380161,/AEEONLINE/status/908084385324380161,Interview with the executive director of the AEE __PIPE__ GOVERNMENT __PIPE__ http://elvocero.com CC1 http: // www. elvocero.com/gobierno/entre vista-con-el-director-de-la-aee / article_d15237ea-989c-11e7-b00f-43694a9b0481.html ...,2
2531,2531,AEEONLINE,2018-03-27 17:43:26,4,9,CC1 https://www. metro.pr/pr/noticias/20 18/03/27/anuncian-cierre-la-carretera-pr-53-ambas-direcciones.html   …,CC1  metro.pr/pr/noticias/20 18/03/27/anuncian-cierre-la-carretera-pr-53-ambas-direcciones.html   …,False,978749362611384320,/AEEONLINE/status/978749362611384320,CC1 https: // www. metro.pr/pr/news/20 18/03/27 / announce-close-the-road-pr-53-both-directions.html ...,2
1620,1620,AEEONLINE,2017-12-08 11:15:56,49,63,"Justo González: ""entre los huracanes Irma y María perdimos cerca de 57,000 postes a traves de toda la Isla"". CC1","Justo González: ""entre los huracanes Irma y María perdimos cerca de 57,000 postes a traves de toda la Isla"". CC1",False,939166664033226752,/AEEONLINE/status/939166664033226752,"Justo González: ""between the hurricanes Irma and María we lost close to 57,000 poles across the entire Island."" CC1",2
920,920,AEEONLINE,2018-02-11 21:17:02,148,147,AEE Informa: Con el evento se perdieron 400 megavatios de generación y estamos comenzando a recuperarlos lo antes posible. CC1,AEE Informa: Con el evento se perdieron 400 megavatios de generación y estamos comenzando a recuperarlos lo antes posible. CC1,False,962873150101913600,/AEEONLINE/status/962873150101913600,AEE Reports: With the event 400 megawatts of generation were lost and we are beginning to recover them as soon as possible. CC1,2
2138,2138,AEEONLINE,2018-01-13 17:02:18,6,13,Ahora: Personal técnico de la compañía proveedora del servicio telefónico de nuestro Centro de Servicio al Cliente continúa trabajando para corregir falla que mantiene el 787 521-3434 fuera de servicio. Lamentamos el inconveniente y solicitamos disculpas. CC1 pic.twitter.com/kMGLKdzbwo,Ahora: Personal técnico de la compañía proveedora del servicio telefónico de nuestro Centro de Servicio al Cliente continúa trabajando para corregir falla que mantiene el 787 521-3434 fuera de servicio. Lamentamos el inconveniente y solicitamos disculpas. CC1 ,False,952299795330338816,/AEEONLINE/status/952299795330338816,Now: Technical staff of the telephone service provider of our Customer Service Center continues to work to correct the failure that keeps 787 521-3434 out of service. We regret the inconvenience and apologize. CC1 pic.twitter.com/kMGLKdzbwo,1
2539,2539,AEEONLINE,2017-12-08 07:02:35,9,36,"[AHORA] Director Ejecutivo, Justo González dialoga con el Alcalde Rolando Ortiz sobre los trabajos necesarios para completar energización de Cayey. CC6 pic.twitter.com/5iFYiGwfKc","[AHORA] Director Ejecutivo, Justo González dialoga con el Alcalde Rolando Ortiz sobre los trabajos necesarios para completar energización de Cayey. CC6 ",False,939102905872932864,/AEEONLINE/status/939102905872932864,"[NOW] Executive Director, Justo González talks with Mayor Rolando Ortiz about the work needed to complete the energization of Cayey. CC6 pic.twitter.com/5iFYiGwfKc",2
894,894,AEEONLINE,2017-09-06 14:11:05,1,4,"Ahora: Director Ejecutivo AEE, Ricardo Ramos, habla con Carlos Josè Ortega de Radio Isla 1320, sobre situación del sistema elèctrico. CC1 pic.twitter.com/9TMwEuzm0y","Ahora: Director Ejecutivo AEE, Ricardo Ramos, habla con Carlos Josè Ortega de Radio Isla 1320, sobre situación del sistema elèctrico. CC1 ",False,905493573931589632,/AEEONLINE/status/905493573931589632,"Now: AEE Executive Director, Ricardo Ramos, speaks with Carlos Josè Ortega of Radio Isla 1320, about the situation of the electrical system. CC1 pic.twitter.com/9TMwEuzm0y",2
2606,2606,AEEONLINE,2017-09-28 19:19:41,0,0,Lo agradecemos. CC6,Lo agradecemos. CC6,False,913543768678248450,/AEEONLINE/status/913543768678248450,We appreciate it CC6,2
2844,2844,AEEONLINE,2017-10-26 09:37:11,32,68,"AEE prendería ""en las próximas 24 horas"" dos generadores en Palo Seco - CC1 https://goo.gl/CC2j8C  ","AEE prendería ""en las próximas 24 horas"" dos generadores en Palo Seco - CC1   ",False,923544035968585728,/AEEONLINE/status/923544035968585728,"AEE would hold ""in the next 24 hours"" two generators in Palo Seco - CC1 https://goo.gl/CC2j8C",2
2060,2060,AEEONLINE,2018-01-16 15:10:27,27,90,"Continuan los trabajos de reparación del sistema eléctrico.  Contamos con 2,939 trabajadores en las líneas de distribución y 736 en las de transmisión. Al momento contamos con 80.9% de generación y 62.7% clientes con servicio. CC6","Continuan los trabajos de reparación del sistema eléctrico.  Contamos con 2,939 trabajadores en las líneas de distribución y 736 en las de transmisión. Al momento contamos con 80.9% de generación y 62.7% clientes con servicio. CC6",False,953358808167976962,/AEEONLINE/status/953358808167976962,"Repair work continues on the electrical system. We have 2,939 workers in the distribution lines and 736 in the transmission lines. At the moment we have 80.9% of generation and 62.7% customers with service. CC6",2
617,617,AEEONLINE,2017-11-21 15:04:52,11,63,"El trabajo en equipo es el mejor trabajo. Así se evidencia en estas labores traspatio, realizadas en Río Grande, en donde tenemos personal de distintas localidades dándole apoyo a las brigadas de Transmisión, así como a las de Distribución. ¡Seguimos! CC6 pic.twitter.com/GI0cNgoSFm","El trabajo en equipo es el mejor trabajo. Así se evidencia en estas labores traspatio, realizadas en Río Grande, en donde tenemos personal de distintas localidades dándole apoyo a las brigadas de Transmisión, así como a las de Distribución. ¡Seguimos! CC6 ",False,933063686419337216,/AEEONLINE/status/933063686419337216,"Teamwork is the best job. This is evidenced in these backyard work, carried out in Rio Grande, where we have staff from different locations giving support to the Transmission Brigades, as well as the Distribution. We continue! CC6 pic.twitter.com/GI0cNgoSFm",2
1508,1508,AEEONLINE,2017-12-05 00:23:42,29,94,La AEE busca dar grandes pasos esta semana -CC1 http://bit.ly/2BIhFnX  ,La AEE busca dar grandes pasos esta semana -CC1   ,False,937915361852354560,/AEEONLINE/status/937915361852354560,ESA seeks to take big steps this week -CC1 http://bit.ly/2BIhFnX,2
157,157,AEEONLINE,2017-11-04 12:43:27,23,116,Continúan los trabajos en torres partidas de líneas que dan apoyo al sistema del Viejo San Juan; área aledaña al Natatorio. #PRSeLevanta  CC6 pic.twitter.com/rYnVUM3y3t,Continúan los trabajos en torres partidas de líneas que dan apoyo al sistema del Viejo San Juan; área aledaña al Natatorio. #PRSeLevanta  CC6 ,False,926852404187947010,/AEEONLINE/status/926852404187947010,The work continues in part-line towers that support the Old San Juan system; area adjacent to the Natatorium. #PRSeLevanta CC6 pic.twitter.com/rYnVUM3y3t,2
608,608,AEEONLINE,2017-10-22 13:58:40,8,22,[VÍDEOS] ¿Quién es Whitefish Energy? – CB en Español CC1 http://cb.pr/videos-quien-e s-whitefish-energy/   …,[VÍDEOS] ¿Quién es Whitefish Energy? – CB en Español CC1  s-whitefish-energy/   …,False,922160290908770304,/AEEONLINE/status/922160290908770304,[VIDEOS] Who is Whitefish Energy? - CB in Spanish CC1 http://cb.pr/videos-quien-e s-whitefish-energy / ...,2
256,256,AEEONLINE,2017-08-30 20:27:14,1,0,Le afectan relevos de carga para estabilizar el sistema en el pico de demanda. Tendrán una duración aproximada de 2 horas. CC5,Le afectan relevos de carga para estabilizar el sistema en el pico de demanda. Tendrán una duración aproximada de 2 horas. CC5,False,903051516654866433,/AEEONLINE/status/903051516654866433,They are affected by load relays to stabilize the system at peak demand. They will last approximately 2 hours. CC5,2
1483,1483,AEEONLINE,2017-09-06 13:37:26,70,45,"Se habilitó teléfonos regionales desde jueves 7-9-17, 6:00am, para reportar averías o emergencias relacionadas a #IrmaPR  #AEEHuracanes  CC6 pic.twitter.com/C7j5gqaBzg","Se habilitó teléfonos regionales desde jueves 7-9-17, 6:00am, para reportar averías o emergencias relacionadas a #IrmaPR  #AEEHuracanes  CC6 ",False,905485105254322176,/AEEONLINE/status/905485105254322176,"Regional telephones were enabled from Thursday 7-9-17, 6:00 am, to report faults or emergencies related to #IrmaPR #AEEHuracanes CC6 pic.twitter.com/C7j5gqaBzg",2
1383,1383,AEEONLINE,2017-11-27 13:01:01,80,116,El hurto de equipo y materiales de la AEE solo atrasa los trabajos y progreso del restablecimiento del servicio eléctrico. Si ves algo no intervengas. REPÓRTALO a la Policía de  Puerto Rico. CC6 pic.twitter.com/6D8epW4wHF,El hurto de equipo y materiales de la AEE solo atrasa los trabajos y progreso del restablecimiento del servicio eléctrico. Si ves algo no intervengas. REPÓRTALO a la Policía de  Puerto Rico. CC6 ,False,935206844552896514,/AEEONLINE/status/935206844552896514,"The theft of equipment and materials from PREPA only delays the work and progress of the restoration of electric service. If you see something, do not intervene. REPÓRTALO to the Police of Puerto Rico. CC6 pic.twitter.com/6D8epW4wHF",2
2171,2171,AEEONLINE,2017-09-11 09:09:44,83,107,"BOLETÍN 9:00 AM- 1,098,348 clientes con servicio(74.74%). Sin servicio 371,193(25.26%). CC4 #AEEyacomenzamos  #AEEHuracanes","BOLETÍN 9:00 AM- 1,098,348 clientes con servicio(74.74%). Sin servicio 371,193(25.26%). CC4 #AEEyacomenzamos  #AEEHuracanes",False,907229674400612353,/AEEONLINE/status/907229674400612353,"BULLETIN 9:00 AM- 1,098,348 customers with service (74.74%). Without service 371.193 (25.26%). CC4 #AEE and we start #AEEHuracanes",2
48,48,AEEONLINE,2018-01-14 05:23:22,30,40,Cambios en el itinerario de apagones coordinados - CC1 http://bit.ly/2mC9MKM  ,Cambios en el itinerario de apagones coordinados - CC1   ,False,952486291702255617,/AEEONLINE/status/952486291702255617,Changes in the itinerary of coordinated blackouts - CC1 http://bit.ly/2mC9MKM,8
756,756,AEEONLINE,2017-10-23 07:36:40,4,11,CC1 pic.twitter.com/zKduXvS8VK,CC1 ,False,922426544542441472,/AEEONLINE/status/922426544542441472,CC1 pic.twitter.com/zKduXvS8VK,2
2122,2122,AEEONLINE,2017-09-04 11:49:05,0,0,"Gracias por la información, el sector está reportado y en turno para atenderse. CC5","Gracias por la información, el sector está reportado y en turno para atenderse. CC5",False,904733062038253568,/AEEONLINE/status/904733062038253568,"Thanks for the information, the sector is reported and in turn to attend. CC5",2
2672,2672,AEEONLINE,2017-09-07 09:06:42,19,68,¡Gracias! https://twitter.com/kikecruznotiun o/status/905776878480392193   …,¡Gracias!  o/status/905776878480392193   …,False,905779361390977027,/AEEONLINE/status/905779361390977027,Thank you! https://twitter.com/kikecruznotiun o / status / 905776878480392193 ...,6
2528,2528,AEEONLINE,2018-03-01 11:00:34,186,111,"AEE Informa: Este evento afecta sectores del área metro, Caguas, Bayamón y Carolina. Las unidades de las Centrales San Juan y Palo Seco salieron de servicio por protección del sistema. CC1","AEE Informa: Este evento afecta sectores del área metro, Caguas, Bayamón y Carolina. Las unidades de las Centrales San Juan y Palo Seco salieron de servicio por protección del sistema. CC1",False,969240990614802437,/AEEONLINE/status/969240990614802437,"AEE Informs: This event affects sectors of the metro area, Caguas, Bayamón and Carolina. The units of the San Juan and Palo Seco plants went out of service for system protection. CC1",2
1223,1223,AEEONLINE,2017-12-14 09:49:13,7,14,[HOY] Trabajos de brigadas en la Región Mayaguez. ¡Seguimos!  CC6 #PRSeLevanta pic.twitter.com/nro075CCSa,[HOY] Trabajos de brigadas en la Región Mayaguez. ¡Seguimos!  CC6 #PRSeLevanta ,False,941319168451858433,/AEEONLINE/status/941319168451858433,[TODAY] Works of brigades in the Mayaguez Region. We continue! CC6 #PRSeLevanta pic.twitter.com/nro075CCSa,2
1379,1379,AEEONLINE,2018-01-16 18:40:08,23,20,Compartimos información relacionada al tema de Facturación y Suspensión de Servicio.  Recuerde mantenerse informado a través de nuestras redes sociales o el Centro de Servicio al Cliente 787-521-3434. CC6 pic.twitter.com/6cWdnf5vY9,Compartimos información relacionada al tema de Facturación y Suspensión de Servicio.  Recuerde mantenerse informado a través de nuestras redes sociales o el Centro de Servicio al Cliente 787-521-3434. CC6 ,False,953411577918738432,/AEEONLINE/status/953411577918738432,We share information related to the Billing and Service Suspension issue. Remember to stay informed through our social networks or the Customer Service Center 787-521-3434. CC6 pic.twitter.com/6cWdnf5vY9,2
1215,1215,AEEONLINE,2017-11-05 06:37:01,0,2,Todo depende de la generación disponible y la cantidad de la demanda. CC6,Todo depende de la generación disponible y la cantidad de la demanda. CC6,False,927137675877978112,/AEEONLINE/status/927137675877978112,Everything depends on the available generation and the quantity of the demand. CC6,2
2668,2668,AEEONLINE,2018-01-07 13:47:06,88,66,"AEE Informa: Desconocidos hurtaron cerca de 125 pies de cable conductor ayer en la Carr. 150 km 2.8 al 2.9 Comunidad Toa Vaca de Villalba, que se había instalado para energizar esta comunidad con un generador del Cuerpo de Ingenieros durante esta semana. CC1","AEE Informa: Desconocidos hurtaron cerca de 125 pies de cable conductor ayer en la Carr. 150 km 2.8 al 2.9 Comunidad Toa Vaca de Villalba, que se había instalado para energizar esta comunidad con un generador del Cuerpo de Ingenieros durante esta semana. CC1",False,950076344649461760,/AEEONLINE/status/950076344649461760,"AEE Reports: Unknown people stole about 125 feet of cable cable yesterday in Carr. 150 km 2.8 to 2.9 Community Toa Vaca de Villalba, which had been installed to energize this community with a generator of the Corps of Engineers during this week. CC1",2
924,924,AEEONLINE,2017-09-03 16:22:24,2,8,En breve conferencia del Gobernador de Puerto Rico. CC6 #PuertoRicoSePrepara  #AEEHuracanes,En breve conferencia del Gobernador de Puerto Rico. CC6 #PuertoRicoSePrepara  #AEEHuracanes,False,904439456605855745,/AEEONLINE/status/904439456605855745,In brief conference of the Governor of Puerto Rico. CC6 #PuertoRicoSePrepara #AEEHuracanes,2
