,Tweet,Manual Coding,Date,Permalink
24,. @insideFPL :We're not going to shut off power. Reports not true. They will supply power until storm doesn't permit them to do so.,1,9/8/2017,https://twitter.com/kiss999/status/906222880484143104
25,. @insideFPL :We're not going to shut off power. Reports not true. They will supply power until storm doesn't permit them to do so.,1,9/8/2017,https://twitter.com/Power965/status/906222880442241025
26,. @insideFPL :We're not going to shut off power. Reports not true. They will supply power until storm doesn't permit them to do so.,1,9/8/2017,https://twitter.com/CBSMiami/status/906222880324800513
27,. @insideFPL :We're not going to shut off power. Reports not true. They will supply power until storm doesn't permit them to do so.,1,9/8/2017,https://twitter.com/GioMaselli/status/906222880303800320
28,#Breaking @insideFPL expects to have to rebuild the system on the west coast and only restoration on east coast. @CBS12 pic.twitter.com/pXP3Ip1KUE,1,9/9/2017,https://twitter.com/Eric_Roby/status/906544221758398469
29,". @insideFPL will only shut down power if the storm makes it impossible - meaning if equipment gets damaged by trees, flood, wind, spox said. https:// twitter.com/collierem/stat us/906551212727848961 …",1,9/9/2017,https://twitter.com/ArekSarkissian/status/906551867928444930
30,. @insideFPL flies a drone above a power line in Southwest Miami-Dade to assess damage pic.twitter.com/6wzeZqH3Ru,1,9/11/2017,https://twitter.com/KyraGurney/status/907333414415749122
31,#Breaking @insideFPL We can’t run a #powerplant that has been impacted with that kind of structural damage until it has been fixed.,1,9/8/2017,https://twitter.com/CBS12/status/906183395348275204
32,"And everyone in your service area is really hoping you prepared for it, bc we are stuck in deathly heat here",1,9/11/2017,https://twitter.com/EpicSensei/status/907319193665724416
33,Looks like . @DukeEnergy is falling in the way that @PSEGLI (formally #LIPA ) did during Superstorm Sandy. And we see how that worked out.,1,9/11/2017,https://twitter.com/0hHeyItsShay/status/907432650146709505
34,Are you shitting me? Shouldn't you guys have an inventory before the storm?,1,9/11/2017,https://twitter.com/Gregory_Eads/status/907378961306570752
35,"...if FPL were smart enough ...5K Technicians would be assigned by County. ...unfortunately, it is braindead.",1,9/12/2017,https://twitter.com/RevJets/status/907764976038883328
36,Irma is a disaster not cuz of the storm...Its a disaster cuz FL was not prepared @insideFPL is horrible n not ready n the gas co. Lied,1,9/12/2017,https://twitter.com/CanesSwag954/status/907647911655346176
37,33484 has minimal damage and no power??,1,9/12/2017,https://twitter.com/noletraveler/status/907621425581830144
38,"Ridiculous, NOT prepared AT ALL storm thank God did not impact directly. Over 10 years since last hurricane and we still have same issues",1,9/12/2017,https://twitter.com/thegagllc/status/907617525625753600
39,@insideFPL poorly maintained infrastructure could not even withstand tropical storm force winds. Finally time to deregulate.,1,9/12/2017,https://twitter.com/coinmynt/status/907604110744211457
40,Can't wait till Tesla makes those home batteries so I can watch @insideFPL die a slow death..,1,9/12/2017,https://twitter.com/CanesEDIT/status/907520893836029952
41,Very little damage around my area yet no trucks in site. Going on three days now.,1,9/12/2017,https://twitter.com/libert23/status/907520363482853376
42,"@NewsfromJEA I understand the storm just hit, but literally NOT EVEN accepting phone calls seems really shitty. I'm just trying to get info",1,9/12/2017,https://twitter.com/barksdaleIV/status/907647238104633350
43,I see @DukeEnergy is still a shit storm. SMH,1,9/12/2017,https://twitter.com/justgrits1/status/907799161097027584
44,"Well, not equipment. Plenty of trucks still gone unused since before the storm started. But ya... They call that ""staging"".",1,9/12/2017,https://twitter.com/ShadowAlpha/status/907788733033930753
45,No damage here at all so what's your excuse,1,9/12/2017,https://twitter.com/sharobo1/status/907782098588766209
46,"@insideFPL after so many ""investments"" how can FPL be so incompetent? Not just at recovery, but at prevention. Shameful. @FLGovScott",1,9/12/2017,https://twitter.com/A_Larrazabal_/status/907776128554807297
47,Who's managing this..why arent down live lines a priority over convenience..how does safety not come first..horrible managment,1,9/12/2017,https://twitter.com/soflodread/status/907720548226039809
48,"Thank you for all that you're doing, and have done. Just stop that pre-hurricane commercial, it's really inappropriate now.",1,9/12/2017,https://twitter.com/susbfgn/status/907556220143325186
49,"As am I. If this was just storm related issue, and not a repeated problem w/ @dukeenergy I might be less venomous. But thanks for your 0.10.",1,9/12/2017,https://twitter.com/UF7Gator/status/907811659867140096
50,"We lost power well before the storm even entered our area. Goes to show you, how little your company prepared for this storm. Thanks.",1,9/12/2017,https://twitter.com/WTFbone/status/907763445893931008
51,It'd be to much work for you guys to plan before a hurricane hits. The best solution is to let your customers suffer right? Thanks Duke!,1,9/12/2017,https://twitter.com/Dukeenergysucks/status/907761905368027136
52,You were obviously NOT prepared for a disaster! We need help from @FLGovScott for repairs & to get rid of #DukeEnergy ! Enough is enough!,1,9/12/2017,https://twitter.com/Sherry09/status/907652669975691269
53,Man @DukeEnergy sucks!!!!!! Drainage systems backed up! We've put in an emergency request and nothing at all!!!!!,1,9/12/2017,https://twitter.com/TheMegaPope/status/907617777246199813
54,Is the Ariel photos of one flooded trailer park supposed to show us how hard your working? How about photos of people working!!!!!,1,9/12/2017,https://twitter.com/TheManinRoomV/status/907610739078258689
55,They werent actually prepared because Florida never gets hurricanes right? 6 days with Matthew last year and neighbors were powered in 3.,1,9/12/2017,https://twitter.com/tophert7CusTomS/status/907655267604721665
56,"What a bunch of ...our lines are underground, no damage/flooding.. neighborhoods all around me have power and we dont...c'mon damnit. 32955",1,9/12/2017,https://twitter.com/russ92x/status/907616885210013696
57,"Fuck Duke. Happily hiking rates on us for a year, and then absent after a crisis.",1,9/12/2017,https://twitter.com/PogOtter/status/907702159722074113
58,Why would you not prepare for this storm a week before it hit? I know it's typical Duke energy but your still being out performed by others.,1,9/12/2017,https://twitter.com/Dukeenergysucks/status/907702004046336000
59,@DukeEnergy would be nice to see some updates. All the other companies in #marioncounty are sending them out. #hurricaneirma2017,1,9/12/2017,https://twitter.com/sammyy_jo/status/907677394110218240
60,Hey #NorthCarolina - hope you don't have a storm anytime soon - your @DukeEnergy sucks,1,9/12/2017,https://twitter.com/GORExJESS/status/907668308715036672
61,Shouldn't you have planned for this kind of load? You knew there was a hurricane coming after all.,1,9/12/2017,https://twitter.com/johnburnette_/status/907649341757820928
62,". @DukeEnergy marketing, stop wasting time on autoreplies and bots and start making lists of places/resources for outage victims",1,9/12/2017,https://twitter.com/viviantphd/status/907629497012375559
63,They definitely should just let fpl handle their cases they suck year round even in natural disasters @DukeEnergy y'all suck,1,9/12/2017,https://twitter.com/nuttpea81/status/907597544800309248
64,"For the love of god, stop giving the same deadass excuses you've been handing out since yesterday morning. We are all tired because we can't",1,9/12/2017,https://twitter.com/WanqiYuan/status/907596574930423808
65,@DukeEnergy why you guys haven't restored the power in Poinciana? There's barely damage here. C'mon.,1,9/12/2017,https://twitter.com/Lissette2402/status/907578296786878469
66,"That's crazy, they need to update the residents immediately",1,9/13/2017,https://twitter.com/sunshinejade98/status/908097605984505856
67,"FPL! Is CRAP! 3.7 billion dollars in UPGRADES for hurricane damage prevention, that the tax payers have paid since 2005. Where did it go?",1,9/13/2017,https://twitter.com/j_carulla/status/908092702683787265
68,Prioritize Residences first... probably could have prevented the nursing home tragedy.,1,9/13/2017,https://twitter.com/Thomaticus/status/908074978712723457
69,"FPL is nothing but a bunch of lying pieces of garbage. After Wilma, they claimed to have buried most of the lines in Boca",1,9/13/2017,https://twitter.com/Josejoso777/status/908048142670671872
70,@insideFPL 6 ppl dead from heat strokes. These are unlivable conditions. #wheresthepower #northmiamineedspower,1,9/13/2017,https://twitter.com/cnd1492/status/908027099377795074
71,http:// bit.ly/2x1AVww ...6 more people dead from heat! #LAWSUIT ! #FPL is the DISGRACE! @POTUS @realDonaldTrump @SenMajLdr @SenSchumer,1,9/13/2017,https://twitter.com/RevJets/status/908022801206054913
72,Wouldnt know anything about #IrmaRecovery @insideFPL didn't listen So now I've had 2 fires & 3 transformer explosions Still no Help or Power pic.twitter.com/mIygJXC2Jj,1,9/13/2017,https://twitter.com/Cgtv0/status/908007295363280896
73,Scattered Facebook reports of @insideFPL not giving extensions on past due bills of storm evacuees. #FlaPol,1,9/13/2017,https://twitter.com/JimRosicaFL/status/907997260419665920
74,Crazy that U had just as long 2 prepare 4 this storm as we did & u never thought 2 test UR website/call center? #crisisprep #customerservice,1,9/13/2017,https://twitter.com/JamieBKinder/status/907959220838060032
75,"Another thing I just heard is that they ran out of transformers, way to plan for a hurricane.",1,9/13/2017,https://twitter.com/josephtc509/status/907943761182945280
76,A cat 1 storm has revealed @DukeEnergy incompetent. @marcorubio #pukeenergy DukeEnergy is the enemy! 4Chan is coming! RIP,1,9/13/2017,https://twitter.com/SnakeIdol/status/908164612817915904
77,So this just proves to me that @DukeEnergy was unprepared for this hurricane while all other power companies are done #TakeNotesDuke,1,9/13/2017,https://twitter.com/BballKyle420/status/908141010550710273
78,Was @insideFPL ready for the storm? Their outage reporting system malfunctned @worst poss time. Your thoughts? #HurricaneIrma #southflorida,1,9/14/2017,https://twitter.com/HazMatFlorida/status/908330587953516547
79,@insideFPL @FLGovScott One utility provider & five days no power 4 mere tropical storm. What if cat 5 hit us? UNACCEPTABLE #HurricaneIrma,1,9/14/2017,https://twitter.com/DebbieRFischer/status/908322890512257024
80,"89 degrees in the house ...but everyone around us has power no downed lines, or at holes or damage just no power",1,9/14/2017,https://twitter.com/marissameringue/status/908292143793545216
81,"@OUCreliableone is proving to be pretty unreliable. But you've convinced me, time to get a @Generac . Can't count on your disaster response",1,9/14/2017,https://twitter.com/Erick407A/status/908522562136760320
82,"Theres no down power lines or broken transformers, just a fuse that popped that prevents the overload of the transformer",1,9/14/2017,https://twitter.com/DQsomethingelse/status/908357781471809538
83,Did management not have a proper disaster recovery plan? Did they fail to request additional resources in a timely manner? Are they lost?,1,9/14/2017,https://twitter.com/Skykingrgc/status/908349402917556224
84,just imagine if the storm actually hit the tampa area/was worse than a category 1-2 @DukeEnergy,1,9/14/2017,https://twitter.com/mareeuh6/status/908345643395149826
85,Seems like residents were way more prepared than your company,1,9/14/2017,https://twitter.com/Scottbrant9422/status/908334905771388928
86,"You knew this storm was coming. Elderly, babies and pets are suffering. 32750",1,9/14/2017,https://twitter.com/JFraz1951/status/908315865795514368
87,"4 power lines in the road isn't an emergency? Honestly 16hr shifts - lame! Work should be around the clock, 12 hour shifts for crews.",1,9/14/2017,https://twitter.com/Lululuvshockey/status/908309761099288576
88,1pm Sunday here in Marion county. Nothing more than a breeze. They fail every storm and this is the first time ever warranted. Greedy co.,1,9/14/2017,https://twitter.com/durpx5/status/908302940112289793
89,You had one job @insideFPL . You failed miserably. #IrmaRecovery #Irmareco #FPLOutage http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 … pic.twitter.com/UUkg2zXgeP,1,9/14/2017,https://twitter.com/anatinsly/status/908434604071190534
90,@insideFPL you must be kidding? This must be the first hurricane this company has been thru smh pic.twitter.com/RgGOakpY3w,1,9/14/2017,https://twitter.com/PetePearl/status/908376984090234881
91,This is about laws that protect the elderly. There should be plans already in place to prevent this. 8 ppl r dead from being hot. Wtf?,1,9/14/2017,https://twitter.com/FlaMediaQueen/status/908487577916801024
92,"Goin on 4 full days without power for a storm that was a category 1 when it hit us. @DukeEnergy plz figure it the fuck out, this is insane.",1,9/14/2017,https://twitter.com/H_Brock7/status/908329932153114624
93,They got a fat rate hike and promised upgrades after Wilma. We experienced tropical storm winds 305/954 and lost 75% of residence power BAD,1,9/14/2017,https://twitter.com/wideslapper/status/908453692164239360
94,"Hey, @insideFPL , many homes in E. Hollywood still without power. $2 Billion spent on storm hardening after Wilma. What gives? #Irma",1,9/14/2017,https://twitter.com/GeorgeCavros/status/908390360484892672
95,FPL has all these customers and never enough man power after a hurricane,1,9/14/2017,https://twitter.com/BryceSomething/status/908347290955415552
96,Yikes! @insideFPL operates nuclear reactors and you can't handle a little hurricane! Who oversees you guys! @citynmb scary! Time to move!!!,1,9/14/2017,https://twitter.com/goldstocktrades/status/908270740901912576
97,"No, Karlene. It's a pattern with @DukeEnergy . They are unprofessional and unprepared. Not just during the storm.",1,9/14/2017,https://twitter.com/UF7Gator/status/908377720551297024
98,"To be fair, last thing they thought was that a hurricane would come during hurricane season...I mean, who prepares for that amirite?",1,9/14/2017,https://twitter.com/JaytheMetsGuy/status/908182672723374080
99,Why didn't @insideFPL do more to prepare for Irma? Too busy lobbying against solar? http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 …,1,9/14/2017,https://twitter.com/DPAppell/status/908482511566667778
100,"Yes Yes, you are creating wonders always, like get even more people suffering than a cat 5 hurricane can do. Amazing job.",1,9/14/2017,https://twitter.com/Ryan9321/status/908189362659217409
101,Not to mention they could have proactively improved a system before a weak hurricane crippled it.,1,9/15/2017,https://twitter.com/TomCalen/status/908692804225916929
102,. @DukeEnergy This does not fill your customers with confidence. You seem unprepared for a hurricane we all knew was coming. #forgotten https:// twitter.com/cityofaltamont e/status/908729649961816064 …,1,9/15/2017,https://twitter.com/joerob577/status/908742154142539780
103,Lived in FL my whole life we've had stronger storms than this hit Pinellas and power has never been out this long. It's called maintenance,1,9/15/2017,https://twitter.com/jjohnston08/status/908661940502908928
104,You are responsible for building overhead power lines in an hurricane area.. This is your fault,1,9/15/2017,https://twitter.com/tomber44/status/908849623774658560
105,"What electric company states their lines are ""hurricane proof""? If you live in FL, you will sooner or later be hit and be w/o power.",1,9/15/2017,https://twitter.com/EnsellJudith/status/908774828366270466
106,I've done everything in my hand to prepare before the hurricane. I wish FPL could say the same. Of course I blame them because i have facts,1,9/15/2017,https://twitter.com/sorscha_asleen/status/908759782659694592
107,Obviously not because you had over 10 years since we got hit with a cat 5 hurricane and you didn't improve the system at all,1,9/15/2017,https://twitter.com/joshmay124/status/908561889256292448
108,@DukeEnergy needs to be booted from Florida completely. Cat 1 hurricane shouldn't keep Central FL in dark for 7 days #DUKEENERGYIRMAFAILURE,1,9/15/2017,https://twitter.com/Lululuvshockey/status/908874627581136896
109,This is ridiculous there was no damage near my home why don't we have light,1,9/15/2017,https://twitter.com/mlazarus/status/908708404650274816
110,@DukeEnergy There is no damage in my neighborhood. We always get power last. WHY?!?!,1,9/15/2017,https://twitter.com/Not_Aimee/status/908700000640790528
111,JEA was completely unprepared for this category 1 hurricane. You people should be ashamed! CEO should be fired by @lennycurry or @FLGovScott,1,9/15/2017,https://twitter.com/Michael_Veritas/status/908744626638598148
112,No since Sunday Tegner DR from a 1 JEA was not ready for this hurricane. CEO should be fired by @lennycurry @FLGovScott please help us,1,9/15/2017,https://twitter.com/Michael_Veritas/status/908742694641504256
113,Their electrical grid is outdated and convoluted hence the reason why tropical storm winds were able to knock out 90% of customers power,1,9/15/2017,https://twitter.com/dfreckleton/status/908892886854504449
114,Many places in Miami shouldn't have even lost power in the first place I lost it Friday b4 the storm got here. Your equipment is antiquated!,1,9/15/2017,https://twitter.com/PeteyGonzalez/status/908855346629943297
115,@insideFPL Seniors are literally being carted out of their homes by first responders in my neighborhood because of your lack of preparation,1,9/15/2017,https://twitter.com/Guaperia/status/908788710749155328
116,"Every hurricane season FPL touts there improvements and after every hurricane it's the same thing. Long power outages, people dying",1,9/15/2017,https://twitter.com/mikejets5/status/908764782932656128
117,After hurricane Charlie and other hurricanes at least I saw trucks going down road to investigate the line. Not so much this time,1,9/15/2017,https://twitter.com/mwk2040/status/908704599892271106
118,"So heres a thought @DukeEnergy , this 21st cent,There will be other major storms in the near future...",1,9/15/2017,https://twitter.com/Ce2Know7/status/908737597685616640
119,Hoping #FPL learns from this. Development of a far better disaster action plan & true status updates,1,9/15/2017,9.09E+017
120,They lied and double talked. They got elderly people killed. They proved themselves to have improper infrastructure and weren't prepared,1,9/16/2017,https://twitter.com/AuthorLMendez/status/909034547886673920
121,@insideFPL @TheEllenShow @wsvn This is not acceptable. Florida should have a setup in place for this issue Since known 4 hurricanes,1,9/16/2017,https://twitter.com/Evacsax/status/909190009504321537
122,@DukeEnergy Would appreciate plans to improve reliability of service over canned responses. Another hurricane WILL hit Florida. #beprepared,1,9/16/2017,https://twitter.com/UCFMatthew/status/909056068248104960
123,"yes but people expect them to turn EVERYONE'S power back in 1,2,3! #ungreatful w/ other hurricanes we've had to wait wks & wks #smh",1,9/16/2017,https://twitter.com/Mnkygrl0384/status/909257746977091584
124,Yeah nice words! But @OfficialFPL needs to get their sh*t together. It was barely a cat 1 storm winds we got!,1,9/16/2017,https://twitter.com/rudimuss/status/909225993713438720
125,Thnx however our power has been going out when a slight breeze blows for at least a decade. I've reported it to @insideFPL dozens of times,1,9/16/2017,https://twitter.com/ellenwidom/status/909207270109696000
126,That company @insideFPL was never hurricane ready as they claimed. They have no plan/process in place. 8 days no power. @MiamiDadeCounty,1,9/16/2017,https://twitter.com/tellyathis/status/909200902988410880
127,"If @insideFPL doesn't totally botch power restoration, did a storm even hit? http://www. miaminewtimes.com/news/city-of-c oral-gables-threatens-to-sue-fpl-over-hurricane-irma-power-outages-9674026 …",1,9/16/2017,https://twitter.com/AlfredSpellman/status/909068657908752384
128,BTW @insideFPL was not prepared for a Cat 1-2 storm. They are not going to be ready for anything else. Let's end this monopoly.,1,9/16/2017,https://twitter.com/JuanG_Arango/status/909000481606905856
129,Yes. They claim its a computer not handling the volume of traffic. I call bullshit! They were woefully unprepared for this storm!,1,9/16/2017,https://twitter.com/NickiMurphy1/status/909115477628252161
130,Its not the 1st hurricane they have been through. 1st couple of days i understand confusion but they should be better than this.,1,9/16/2017,https://twitter.com/dbuckeyes2/status/909103711980531714
131,"Ask FPL the hard questions.. no lip service, things need to change! http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 …",1,9/16/2017,https://twitter.com/theiceman1729/status/909156046157045761
132,With @RepMannyDiazJr @SenReneGarcia @RebecaSosaMiami sharing the numerous concerns and complaints from area residents with @insideFPL pic.twitter.com/27thnjdPYF – bei Maruch Restaurant,1,9/16/2017,https://twitter.com/CommBovo/status/909139864687448065
133,@insideFPL Hurricane Irma did not cause as much frustration as the FPL did...the real aftermath,1,9/16/2017,https://twitter.com/the_morning_owl/status/909114376988356608
134,Quit whining. Next time try being prepared for a hurricane.,1,9/16/2017,https://twitter.com/MissRable/status/909246623951319041
135,@DukeEnergy is incapable of dealing with the aftermath of Irma. Horrendous customer service and management.,1,9/16/2017,https://twitter.com/kimmyflamingo/status/909187320166920192
136,So a category 1 hurricane knocked all of South Florida's power out @insideFPL A very resilient system. https:// twitter.com/JohnMoralesNBC 6/status/909073028251873282 …,1,9/16/2017,https://twitter.com/earlmanwich/status/909073691144867840
137,Lack of power to lift stations causing sewage in residential streets. Want a worse disaster on your hands due to poor @insideFPL response?,1,9/16/2017,https://twitter.com/smallbiztrends/status/909063677348892673
138,What a goddamn joke @insideFPL is. Miami Dade only got tropical storm winds and I'm still without power after more than a week after Irma!! https:// twitter.com/mwrightreports /status/908989486272573440 …,1,9/16/2017,https://twitter.com/Iki1690/status/909056824757940224
139,I agree. I went 17 days without electricity after hurricane wilma. People were bitching about no power the next day. Plan ahead.,1,9/16/2017,https://twitter.com/iluvrsmith/status/908924828769558528
140,this should have been done waaay before the storm came to avoid the present problem! Did we not learn anything after Andrew?!,1,9/16/2017,https://twitter.com/MillyGB/status/909019218259185664
141,I hope things get better. Wish FPL would put all lines underground & other measures to counter power loss from storms.,1,9/16/2017,https://twitter.com/arboretumlvr/status/909061225828495360
142,Maybe you should have prepared better before the storm rather than allow some areas to be 30+ years out of date!,1,9/16/2017,https://twitter.com/theonlyeggie/status/908930047431540736
143,Irma was a hurricane Cat1 and managed to screwed-up our power and internet services. Comcast #FPLOutage are bad prepared for the worst.,1,9/17/2017,https://twitter.com/Luis_sin_Zeta/status/909515111848660992
144,Why Didn't @insideFPL Do More to Prepare for Irma? http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 … via @miaminewtimes,1,9/17/2017,https://twitter.com/JMikkola/status/909513826957238273
145,"@insideFPL Before ""this prevents danger to workers",1,9/17/2017,9.1E+017
146,"Same story with @DukeEnergy where I live near Orlando. Prep and response has been massively botched, but they have no incentive to do better",1,9/17/2017,https://twitter.com/joerob577/status/909510266139889664
147,add @Ask_Spectrum to the list..no internet for over a week...had 7 days to prepare and a week after the storm..still no service-unacceptable,1,9/17/2017,https://twitter.com/Fitzzi55/status/909451981609201664
148,Lmfao the 30 mph winds do knock out everything what about a real hurricane @DukeEnergy your not ready at all,1,9/17/2017,https://twitter.com/DeezNut59104333/status/909407200010997761
149,"Can anyone explain why ""The Sunshine State"" isn't leading the way in #SolarPower or allowing residents solar panels privately. @insideFPL",1,9/17/2017,https://twitter.com/BostonRobb/status/909490436103950337
150,"Sorry 2 hear that. @insideFPL said they were ready for possible cat 5 aftermath, but weren't even prepared for the tail-end of a cat 2. #SMH",1,9/17/2017,https://twitter.com/GroddLy/status/909450983360614400
151,"FPL should have been prepared 4 a cat1 storm. There is no reason to have to report the same ""line down"" outage 4 times. No power - day 8!",1,9/17/2017,https://twitter.com/imjustsayin2/status/909282711948361729
152,@bakerstpete Time to capitalize on the terrible infrastructure of the city and @Kriseman horrid storm response - no power still @DukeEnergy,1,9/17/2017,https://twitter.com/STRATTrading/status/909556839263670272
153,#SundayMorning and I STILL dont have power from a CAT1 storm that happened 7DAYS AGO! #ThankYou @DukeEnergy #TheForgotten #Deltona #Lies,1,9/17/2017,https://twitter.com/TerranceX1/status/909420862675267584
154,"@DukeEnergy This ""historic"" storm was only a Cat 1 by the time it reached your service area. Can't use that excuse! https:// twitter.com/DukeEnergy/sta tus/909562483723112448 …",1,9/17/2017,https://twitter.com/KerryLaneBarnes/status/909582324353904640
155,On the third floor... with no wind and no visible damage in the community? Gimme a break.,1,9/17/2017,https://twitter.com/TimWdowneyJR/status/909516719957389314
156,"you are not prepared for Cat 1 conds, hope you are enjoying your billion per year profits you got from us for hurricane prep.",1,9/20/2017,https://twitter.com/Ramoana/status/910500972518154240
157,"If I paid taxes to @insideFPL to prepare 4 a new storm & I went thru the same case as Wilma, do I get my money back? @FLGovScott stop FPL",1,9/20/2017,https://twitter.com/JValencia34/status/910680597009506304
158,And FPL gave us and everyone price hikes so we would be ready for the next storm. Where'd all that money go? I still got 70 yr old power,1,9/20/2017,https://twitter.com/ZPGIFs/status/910638340583632896
159,It would be 1 thing if I was in a storm surge area/Marco/Everglades. But I have u-ground power lines. Wtf could possibly be happening?,1,9/20/2017,https://twitter.com/CLEvsWorld88/status/910448447924445184
160,"FPL had a decade to prepare for Irma-most of Miami's power grid went dead quickly in Cat 1 conditions after 12 years of ""resiliency efforts"",,,,""910500533475201025",1,9/20/2017,
161,Week and a half after Irma and we just got power back and still don't have telephone. @ATT and @insideFPL not prepared for the hurricane.,1,9/20/2017,https://twitter.com/danijfv/status/910468340556197889
162,Finally got power back in #Miami after 10 days without. Hoping @insideFPL will do some upgrades before next hurricane. We were lucky w/Irma.,1,9/20/2017,https://twitter.com/96flygirl/status/910378975876276224
163,. @insideFPL spent $3 billion preparing for a storm. So why did Irma knock out the lights? http://www. miamiherald.com/news/weather/h urricane/article174521756.html … by @NickNehamas @ndahlberg,1,9/21/2017,https://twitter.com/ByKristenMClark/status/910860088159690752
164,Now u all need to spend some of that $ on up to date equip. & make it hurricane ready!! We will have at least 1 hurricane a Yr frm now on.,1,9/21/2017,https://twitter.com/redhtflchick25/status/910840568326041601
165,now I'm sure FPL will do what you promised after hurricane Wilma! u had 12 years & did very little. even pro active tree trimming stopped.,1,9/21/2017,https://twitter.com/mrlovely954/status/910887099783577601
