Order,ID,Tweet,Date,Permalink,Category,Unrelated,Manual Coding,Informative?
88,24242," Post storm, can we get an assessment to determine why our area is always last for restoration of services?",2017-09-12,https://twitter.com/MomThemanyo/status/907791233841598464,2,,2,1
89,20667,"Still no power in south Saint Prtersburg, 7 days and counting despite having over 12 Duke related trucks less than a block from my house",2017-09-15,https://twitter.com/stbbbq/status/908640272191549440,2,,2,
90,7863,you need to come & clear the streets  needs to restore my neighbors power and can't because the trees are in the way.,2017-09-13,https://twitter.com/Elizabeth_Elias/status/907984181782827008,2,,2,
91,13734,"Hats off to  , wind blowing pretty hard, we still have power.",2017-09-10,https://twitter.com/juancitrix/status/906915031509544961,2,,2,
92,15267,WE HAVE POWER! Thank you to the hard working team at  and the leadership of  . Our furry dog will be so happy!  â bei San Marco,2017-09-15,https://twitter.com/ChrisWarrenFL/status/908773965161738240,6,,6,
93,3391,Power is finally back! Thanks,2017-09-16,https://twitter.com/Phillipturtles1/status/909124782330957824,2,,6,
94,2119,FUN FACT: Homes in Golden Gate Estates can't have water without electricity.,2017-09-18,https://twitter.com/tekj42/status/909797196379426819,2,,8,1
95,1701,10 days without power and counting #afterirma #FPLOutage,2017-09-19,https://twitter.com/LILYGUILLEN/status/910096638412238848,2,,2,
96,14484,Power is back on after #HurricaneIrma ! Thanks for working so hard,2017-09-14,https://twitter.com/jensoltis/status/908467881414987776,6,,6,
97,6088,How do you explain entire neighborhoods with power except one section. Never seen that beg. Your team needs to fix this shit,2017-09-14,https://twitter.com/wolf_dragon15/status/908351436651720705,2,,2,
98,5451,"I'm one of the lucky 75 l on my 1800-customer part of the  grid that didn't get power restored, so now I'm probably last in line.",2017-09-14,https://twitter.com/LeahSwanky/status/908474399942201344,2,,2,
99,17228,"Charlie, here is your chance to show up  and his  cronies. Help restore power faster!",2017-09-17,https://twitter.com/8BB8B8/status/909542477291548673,2,,2,
100,18834,you plan on fixing this anytime soon? Maybe help out the neighborhoods on Jamestown in Altamonte Springs w/o power?,2017-09-16,https://twitter.com/JTCarlucci/status/909067918763331584,2,,2,1
101,14896,when will power be restored in kissimmee #irma,2017-09-11,https://twitter.com/skapunckchick03/status/907414963853185024,2,,4,
102,21287,Most of the neighborhoods around me have power... But my neighborhood has no power. Please Turn The Power On. 32703 Apopka FL,2017-09-14,https://twitter.com/GoneMetro/status/908450430736371712,2,,2,
103,19278,"I've seen repairs for category 5 Hurricanes made MUCH faster than this. They didn't spend 3 days ""assessing"" damage before working either.",2017-09-16,https://twitter.com/codeslinger2/status/908911038661382145,2,,2,
104,2636,falsely claiming power was restored when it wasn't and still hasn't been. Received this several days ago and still no power.,2017-09-17,https://twitter.com/amartinezlaw/status/909464745748713472,2,,2,
105,12513,just got power love u,2017-09-11,https://twitter.com/cutthroatbih/status/907295290692194304,2,,6,
106,9749,when is your website going to work  even the app doesnt work. i just want to see when my power is going to come back on.,2017-09-12,https://twitter.com/HeyScavver/status/907687955342471169,2,,2,1
107,20459," Reportd lines down 5 days ago at vet hosp + neighborhood still no power. Dangerous! Lemon & W Fort Dade, Brooksville ",2017-09-15,https://twitter.com/DonnaMaineSmith/status/908696185170513922,2,,2,
108,2734,Third world islands are restoring power faster than,2017-09-17,https://twitter.com/JeffThomWill/status/909432637974106117,2,,2,
109,1544,We can't touch the tree according g to them. Power was out before storm even hit Cuba. They are saying it's a cause if a main line since sat,2017-09-19,https://twitter.com/AleiaElle/status/910217819798818817,2,,8,1
110,1014,"If you can DM name/cell too. Not sure we have reporter doing power story for late, but if they do, would be good to have contact info.",2017-09-22,https://twitter.com/ABC7Jeff/status/911338108574150656,2,,5,1
111,25933,my bank account has an outage. I will be assessing the damage. It may take a week for you to get an update.,2017-09-12,https://twitter.com/DavidChancey4/status/907614668759470080,2,,8,1
112,2724,if  charges me for September. I'm just gonna knock down all the power lines again.,2017-09-17,https://twitter.com/kickingpuppiez/status/909435611114819584,2,,1,
113,6715,Fpl made 2.8 billion profit in 2016 yet we had to pay to recoup storm damage? Gonna restore Your equipment with your profit this year?,2017-09-13,https://twitter.com/WeldermanMike35/status/908142641879101440,2,,3,
114,20823,Pinellas county is supposed to have power back by midnight tonight. It's 10:38. I don't feel confident #dukeenergysux,2017-09-14,https://twitter.com/lisa_livin/status/908520477022412800,2,,2,
115,18290,Seriously is there a secret deal where  gets you power in short order in exchange for you not saying anything bad about them?,2017-09-16,https://twitter.com/8BB8B8/status/909173591870181376,2,,3,
116,17525,"#DukeEnergy lies saying that customers power has been restored, so that they look good on the news.",2017-09-17,https://twitter.com/AllyKattBronx/status/909438294525714432,2,,3,
117,4110,I'm in the same shitty boat. No power since Sunday at noon,2017-09-15,https://twitter.com/edearl39/status/908880177475784704,2,,2,1
118,18586,"Winter Park, FL without power still!",2017-09-16,https://twitter.com/ericksuarez1013/status/909112235229945857,2,,8,1
119,17003,Well  - it is midnight and still powerless in Volusia. Not just #DukeEnergyFAIL but a COLOSSAL FAILURE!!!!! Fix our power!,2017-09-18,https://twitter.com/Savadad1/status/909630128916922368,2,,2,
120,24123,"As am I. If this was just storm related issue, and not a repeated problem w/  I might be less venomous. But thanks for your 0.10.",2017-09-12,https://twitter.com/UF7Gator/status/907811659867140096,2,,3,
121,5318,Power came on.  thank you. I did hear some streets lose power when it was turned on.,2017-09-14,https://twitter.com/Meow2thePaw/status/908495089256878080,6,,6,
122,10674,in Miramar without power,2017-09-12,https://twitter.com/zayswervoo/status/907584315923591168,2,1,,
123,20862,"5 days without power and its finally on, thanks ",2017-09-14,https://twitter.com/zach_navarra/status/908510188440817669,2,,6,
124,20445,"I got trees touching the power lines and duke aint cutting the trees, im fixing to cut it down for them. Why cant they cut them down?",2017-09-15,https://twitter.com/JonJonGames/status/908698788436602880,2,,2,1
125,2861,Why does my ticket change the number of affected customers from 1600 to 43 to 1582 to 9 to 41? Only accurate info is no power,2017-09-17,https://twitter.com/stevefilter86/status/909299570781323264,2,,2,1
126,2348,"Many thanks to  as mins before the 18:30#WorldMeditationHour today, the meditation center  got back to full power! ",2017-09-17,https://twitter.com/MiamiBK/status/909588507441680387,2,1,,
127,14498,"Thank you for fixing this and restoring power last night, you all ROCK!! I believe this was the calvary ",2017-09-14,https://twitter.com/jyataco/status/908368769801707520,6,,6,
128,15171,"A #drones partnership among  ,  and  restored power in Jacksonville after #Irma .  uasmagazine.com/articles/1750/ drones-help-restore-power-in-jacksonville-after-hurricane-irma â¦",2017-09-17,https://twitter.com/Drone_Book/status/909507307901419521,2,,8,
129,8499,told 8 days without power. Can you imagine if it had been a direct hit? Florida needs a different power company.,2017-09-13,https://twitter.com/Anarojas/status/907820864648990720,2,,1,
130,22431,please come fix my power - 4 going on 5 days & haven't even seen a Duke truck in sight. my patience is running thin.,2017-09-13,https://twitter.com/JasmineFons/status/908149788214001664,2,,2,1
131,27454,4500 crews doing nothing bet you made sure your houses had power,2017-09-11,https://twitter.com/lookatnoel1/status/907358567568695297,2,,2,
132,12303,FPL  Sep 10. hey FPL what about an update on Manatee County power restoration. #Irma,2017-09-11,https://twitter.com/DeclanSh/status/907330215201951744,2,,4,
133,10512,".  CEO: Company has 4,500 working in  2 restore power - Part of 19,500 working throughout the State.  â bei MDFR Headquarters and Training Center",2017-09-12,https://twitter.com/HernandezMA5/status/907606150723579905,2,,8,1
134,3296,"What a lie!!! We were told power would be restored by Sunday, yesterday they changed it to Tuesday!",2017-09-16,https://twitter.com/JudithCGolden/status/909147379307249665,2,,2,
135,6907,"Sorry, so excited, but a little selfish!! Do You and you Family have power. If not we now have room in our freezer ha haaa.",2017-09-13,https://twitter.com/michaelm2491/status/908116786578706432,2,,5,
136,12505,Shoutout to  for restoring our power already. Got the damn generator set up and then power comes on. #Blessed #AfterIrma,2017-09-11,https://twitter.com/SouthFlaVet/status/907296841393475584,2,,6,
137,18819,I understand that everyone in my neighborhood has power execpt 8 rows of houses between murphy & champlain but us do all or do none #Deltona,2017-09-16,https://twitter.com/alisdblock4life/status/909069209535213569,2,,8,1
138,24231,can you explain how only 3/4 of my apt complex got power back. and not a truck insight working on my side?. 7 hrs ago. fix this,2017-09-12,https://twitter.com/_A_Alabre/status/907792646550310912,2,,2,1
139,19588,Power is a need in Florida. You can't survive without it. I don't know if I can go to bed in a puddle of my own sweat once more.,2017-09-15,https://twitter.com/Kuwwbie/status/908851951382691840,2,,2,1
140,3355,"Thank you,  for restoring my power, minutes ago! #IrmaHurricane #Irma #IrmaRecovery #IrmaFlorida",2017-09-16,https://twitter.com/Hkflygirl/status/909131539165925377,6,,6,
141,19613,My work doesn't have power yet but I saw 5 FPL trucks in the vicinity when I went there earlier,2017-09-15,https://twitter.com/ErickJackson74/status/908849208710586368,2,,8,1
142,27389,So proud of our team working on #industrial #water #research for  . Great job today at #2017symp !,2017-09-11,https://twitter.com/MelTheEngineer/status/907367571078258688,6,1,,
143,3863,"How about an act of man, like insufficient vegetation management around power lines and utility poles?",2017-09-16,https://twitter.com/felixemartinez/status/909008142909964288,2,1,,
144,13098,Thanks for tha hard work! Any update on West Boca parents have been with out power 27hrs & counting.,2017-09-11,https://twitter.com/Johnsons_Team/status/907123618957676544,6,,6,
145,6290,After #IrmaHurricane :  : x #of customers out of power. Regular updates with numbers. Expected restoration date.  :,2017-09-14,https://twitter.com/bethpoll25/status/908312904612696064,2,,8,1
146,145,"I would like to know when is gonna be restored the power at 2735 North Poinciana Blvd in Kissimmee, zip code 34746. We still without power.",2017-09-12,https://twitter.com/nelterdimarzio1/status/907638152822697984,2,,4,1
147,20125,had my area marked as restored when we weren't... still no sign of power coming anytime soon...,2017-09-15,https://twitter.com/sashalala429/status/908757657300987909,2,,2,1
148,21909,Thanks to all of your linemen! We really take things for granted when we don't have them. Working hard everyday for our power,2017-09-14,https://twitter.com/ucfelexis/status/908333869539225601,6,,6,
149,26832,thank you for restoring our power!!,2017-09-11,https://twitter.com/MGoTalk/status/907422085005406209,6,,6,
150,15839,Yeah this getting ridiculous. Some of us work from home. No power =No work No work=no pay for all that manpower it sure seems like a waste,2017-09-12,https://twitter.com/DanielLaplaunt/status/907493167473283072,2,,2,1
151,2032,No email updates and zero communication about power restoration,2017-09-18,https://twitter.com/Betterduck/status/909848474002259968,2,,1,
152,11720,You'd figure that they would have been coordinated with each other since they knew ahead of time a hurricane was coming.,2017-09-11,https://twitter.com/FatErik/status/907399364322230279,2,,1,
153,4888,Day 6 and still no power,2017-09-15,https://twitter.com/know_ur_self/status/908684219068624896,2,,2,
154,7759,We have been with out power. And no one answers the phone fpl,2017-09-13,https://twitter.com/NoPower17/status/907996557647237120,2,,2,1
155,1592,"In response to lawsuits,  blames  lush trees for difficulties with restoring power.  ",2017-09-19,https://twitter.com/LianeMorejonTV/status/910182135201398785,2,,2,
156,110,Thank you for our power back on from Doris street 34741. Please be safe out there.,2017-09-12,https://twitter.com/Gabby7297/status/907706487992188929,6,,6,
157,8546,I Saw 3 Trucks In My Neighborhood Why My Power Still Off ? One of them was on They Phone Chiling,2017-09-12,https://twitter.com/Spo_day/status/907813106478350336,2,,2,
158,20594,Thanks to  & the wonderful guys from NC for getting our power back on yesterday. Feel like I should drop off Krispy Kreme for all,2017-09-15,https://twitter.com/cindysnyderbook/status/908667585570451456,2,,6,
159,25756," I have been without power for FUCKING 2 DAYS NOW, I see where you flipped the switch for the power lines, WTF. >:| ",2017-09-12,https://twitter.com/RaymondMyarse/status/907637652442284033,2,,2,1
160,20078," pinellas county is supposed to have power by midnight, can that happen if no one has been to my house to pick up a tree on lines",2017-09-15,https://twitter.com/Mrs_Ossa/status/908765567322083328,2,,2,1
161,11002,Looks like I'm sleeping in my car tonight on to day 3 without power,2017-09-12,https://twitter.com/_Yayaa_xP/status/907488548735082496,2,,2,
162,20922,How can you let Seminole county water get contanimated? How can we boil water without power? You are the worst.!!,2017-09-14,https://twitter.com/Barbfalk13/status/908500227577012226,2,,5,
163,20535,updated on Orange county restoration and customers left without power,2017-09-15,https://twitter.com/bugga_mane/status/908680397491458049,2,,2,
164,18773,When will power be restored at Sweetwater Springs ? Watercrest Drive Longwood FL 32779 please?,2017-09-16,https://twitter.com/HenryFSU/status/909076782627934211,2,,4,
165,18458,Just going to keep reporting it until my power comes on. I'm working nonstop to safely inform you that my power is still out.,2017-09-16,https://twitter.com/17gsxs13/status/909137742256275456,2,,2,1
166,6024,For what ?!? To check her out ?! What we need is power for the a/c and for her device !!,2017-09-14,https://twitter.com/carlitaswaynmia/status/908366633726562304,2,1,,
167,23915,"My house isn't in a lake or destroyed, therefore duke can take as long as they like to fix my power. *logic*",2017-09-13,https://twitter.com/celly_birb/status/907932652346527744,2,,6,
168,14362,Visit  StormCenter for important tips before #HurricaneIrma & after.  fpl.com/storm.html?cid =MC17EN015 â¦,2017-09-07,https://twitter.com/Cityofdoral/status/905810187428253697,2,,8,
169,27179,OHHHH YOUR POWER!!!! THOUGHT YOU MEANT LIKE SUPERPOWERS,2017-09-11,https://twitter.com/Slimy_Goomy/status/907389808028164097,2,1,,
170,22504,"Maggie and my mom's dog. Mom has power, so we got some AC today. ",2017-09-13,https://twitter.com/UF7Gator/status/908136570502426624,2,,8,1
171,18930,We are one of 240 homes in my entire neighborhood still waiting for power in Maitland. Is Sunday still accurate?,2017-09-16,https://twitter.com/GATORBAIT30/status/909051185663037440,2,,2,
172,18501,what is going on in Deltona? Not a truck for 6 days but we're supposed to believe that we will have power by midnight Sunday?,2017-09-16,https://twitter.com/djintenseny/status/909127447400022017,2,,2,
173,13041,We STILL have power!!!!,2017-09-11,https://twitter.com/PaigeRosalie_XO/status/907156951473192960,2,,8,1
174,3001,Why don't u use ur influence 2 get  2 answer customer questions re when power will be back on? We have lives to live.,2017-09-16,https://twitter.com/therealdeadball/status/909222208735793152,2,,3,
175,20966,Midnight for my family AM Friday will be 126 hours without power it better be on by Midnight or lawyers and detectives will be,2017-09-14,https://twitter.com/1xJessex1/status/908494018794975234,2,,2,
176,21156,"  when my son has an emergency, who do I sue? Real feel was 100 today. Duke don't do nights.",2017-09-14,https://twitter.com/jenniferelesher/status/908470372743438337,2,,3,
