content,Code #,category,ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Subcode,,unk,directed,hashtag,geocode,source,,,
Be safe!,11,0,61,0.1601549512,16967,dbphotog51,,9/10/17,9/10/2017 0:00,7:28:00 AM,0,1,,,,,,,9.07E+017,https://twitter.com/dbphotog51/status/906841851465957377,,,
Did these Pink Flamingos have their shots?,5,0,67,0.4235923103,17899,DitzyDeedy,,9/11/17,9/11/2017 0:00,4:34:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/DitzyDeedy/status/907341597125353472,,,
pic.twitter.com/j8FNcRInyn,6,0,75,0.1912628887,21748,fogleman_jr,,9/1/17,9/1/2017 0:00,7:07:00 PM,0,0,1,,,,,,9.04E+017,https://twitter.com/fogleman_jr/status/903756213388808193,,,
West Zephyrhills Elementary is the 10News School of the Week powered by Duke Energy Florida http:// on.wtsp.com/2xzIJGa pic.twitter.com/6P6r9NIVKC,4,0,76,0.9055901039,824,10NewsWTSP,,9/22/17,9/22/2017 0:00,7:05:00 AM,0,1,,,,,,,9.11E+017,https://twitter.com/10NewsWTSP/status/911184594678018048,,,
We live sea level.. there's no good drain system here [South Tampa].,10,0,87,0.5107838836,4154,Alieninho,,9/6/17,9/6/2017 0:00,2:56:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/Alieninho/status/905505089359634433,,,
@WPLGLocal10 representing.,11,0,111,0.6884243099,35068,LeMansSuperfan,,9/9/17,9/9/2017 0:00,7:57:00 PM,0,0,,,,,@WPLGLocal10,,9.07E+017,https://twitter.com/LeMansSuperfan/status/906667794061824005,,,
No more Rubio for Florida!,9,0,112,0.4979723539,60462,watchwonk,,9/10/16,9/10/2016 0:00,9:06:00 PM,0,0,,,,,,,7.75E+017,https://twitter.com/watchwonk/status/774776178221707264,,,
So now Rick Scott is in the Navy? The Guy has never shown one emotion most of his life. Seems to be a total sociopath.,9,0,125,0.3085791785,26819,hs4265,,9/9/17,9/9/2017 0:00,2:20:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/hs4265/status/906583154290434048,,,
Watch it live here: http:// bit.ly/2eP8Myy https:// twitter.com/KirstinTVNews/ status/906907756694827009 â€¦,14,0,137,0.769580623,44096,news6wkmg,,9/10/17,9/10/2017 0:00,11:54:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/news6wkmg/status/906908629898551297,,,
Thanks for being a friend to his mother getting breakfast was added delight and would love to see the drop off at school. Take care hero!,11,0,140,0.4727721202,36501,loyalangel32,,9/28/17,9/28/2017 0:00,7:24:00 PM,0,1,,,,,,,9.14E+017,https://twitter.com/loyalangel32/status/913545000885084161,,,
The democrats come out of the woodwork when there is free stuff!,9,0,141,0.1754976113,41422,mousebag2_crat,,9/10/17,9/10/2017 0:00,8:39:00 PM,0,6,,,,,,,9.07E+017,https://twitter.com/mousebag2_crat/status/907040970059010048,,,
I actually L VED it #ThatViewerDoesntSpeakForMe,14,0,148,0.5298282506,9462,BrianSLSpringer,,9/27/17,9/27/2017 0:00,11:12:00 AM,0,2,,,,,,#ThatViewerDoesntSpeakForMe,9.13E+017,https://twitter.com/BrianSLSpringer/status/913058651170070529,,,
Their poor little sad faces. I hope they made it through and are safe.,11,0,158,0.7673011697,45974,pacam24,,9/11/17,9/11/2017 0:00,12:03:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/pacam24/status/907092329554616321,,,
I'm sorry but even protesters have a right to also counter-protest what they don't agree with. I see what side you're on. I'm done with this,5,0,172,0.4446721702,26339,Hi_Im_Rav,,9/25/17,9/25/2017 0:00,5:04:00 PM,0,0,,,,,,,9.12E+017,https://twitter.com/Hi_Im_Rav/status/912422488260345856,,,
Once in the last generation. But a regular order placed by @realDonaldTrump #ParisAgreement #185mphReality,7,0,175,0.7912648387,45060,NorfolkHarry,,9/7/17,9/7/2017 0:00,4:07:00 AM,0,2,,,,,@realDonaldTrump,#ParisAgreement #185mphReality,9.06E+017,https://twitter.com/NorfolkHarry/status/905704027463311361,,,
They found her Prayers Family so very sad,11,0,187,0.399671546,17666,Diane09876,,9/30/17,9/30/2017 0:00,6:12:00 PM,0,0,,,,,,,9.14E+017,https://twitter.com/Diane09876/status/914251586267992066,,,
"TRAFFIC ALERT: The Florida Highway Patrol is reporting a crash w/ injuries on US-27 N, south of Wayside, near Perry. The road is blocked. pic.twitter.com/o4Kb1UnS6V",16,0,190,0.0530834675,60851,WCTV,,9/22/17,9/22/2017 0:00,12:27:00 PM,0,0,1,,,,,,9.11E+017,https://twitter.com/WCTV/status/911265590056284160,,,
Yay time to leave lol,6,0,193,0.1200316202,27315,iloverickgrimes,,9/5/17,9/5/2017 0:00,3:34:00 PM,0,0,,,,,,,9.05E+017,https://twitter.com/iloverickgrimes/status/905152251517427713,,,
It's going to be raining. You'll be fine ya big baby.,6,0,205,0.0857633182,61937,wnathans,,9/18/17,9/18/2017 0:00,7:10:00 AM,0,1,,,,,,,9.1E+017,https://twitter.com/wnathans/status/909736423074488322,,,
looks to be about 11 feet,6,0,217,0.4743634653,46436,PaulFox13,,9/5/17,9/5/2017 0:00,7:02:00 PM,0,1,,,,,,,9.05E+017,https://twitter.com/PaulFox13/status/905204480697819137,,,
The fire hydrant is 6-8 inches above the street! @wsvn,3,0,219,0.4387532321,26755,HouseCracka,,9/10/17,9/10/2017 0:00,11:22:00 AM,0,3,,,,,@wsvn,,9.07E+017,https://twitter.com/HouseCracka/status/906900788064210944,,,
be safe,11,0,227,0.9973332269,34996,lee_warner,,9/7/17,9/7/2017 0:00,2:35:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/lee_warner/status/905862146503958532,,,
Be safe Jane.,11,0,235,0.432712193,38902,MaxineBentzel,,9/12/17,9/12/2017 0:00,12:12:00 PM,1,1,,,,,,,9.08E+017,https://twitter.com/MaxineBentzel/status/907638080957505536,,,
I wear waterproof one so I'm good. Wish it worked that well for these cars.,6,0,271,0.3529754319,61767,WillManso,,9/9/17,9/9/2017 0:00,12:28:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/WillManso/status/906555009063583745,,,
"Residents of Florida be prepared for the worst, military is not really looking for survivors"". Be ready for the worse. #weshalllive""",6,0,314,0.9047941948,24157,gasperdavid13,,9/10/17,9/10/2017 0:00,12:34:00 PM,0,1,,,,,,#weshalllive,9.07E+017,https://twitter.com/gasperdavid13/status/906918859113947137,,,
Global climate change. Too much carbon dioxide emission in the atmosphere is not allowing heat to escape the planet n keep temps leveled.,12,0,315,0.5538398468,17047,Ddsouza74,,9/7/17,9/7/2017 0:00,1:44:00 AM,1,2,,,,,,,9.06E+017,https://twitter.com/Ddsouza74/status/905668171226423297,,,
TheCap'n is literally putting foil on the ears to see if we can coax a decent signal out of weak sauce @wsvn to watch game. #FlyEaglesFly,14,0,340,0.6026471307,41253,MonkeeSass,,9/17/17,9/17/2017 0:00,12:24:00 PM,0,0,,,,,@wsvn,#FlyEaglesFly,9.09E+017,https://twitter.com/MonkeeSass/status/909452957619572737,,,
RT @jaynelibralady : RT @WPLGLocal10 : Two parrots seek shelter at the edge of a 22nd-floor window at Dadeland Marriâ€¦ https:// twitter.com/i/web/status/9 06617879222738944 â€¦,3,0,395,0.6644548016,21678,flrelieffund,,9/10/17,9/10/2017 0:00,12:20:00 PM,0,0,,,,,@jaynelibralady @WPLGLocal10,,9.07E+017,https://twitter.com/flrelieffund/status/906915286007382018,,,
"Welcome back, at least you get to enjoy more warm weather, enjoy your weekend!",11,0,428,0.0053931297,48475,rascalsdaddy,,9/22/17,9/22/2017 0:00,2:59:00 PM,0,0,,,,,,,9.11E+017,https://twitter.com/rascalsdaddy/status/911304073953071105,,,
Trump authorizes waiver to loosen shipping regulations for Puerto Rico http:// bit.ly/2fzZiv8 pic.twitter.com/3FL6yW0sff,9,0,429,0.935233062,63198,WPTV,,9/28/17,9/28/2017 0:00,10:14:00 AM,0,4,,,,,,,9.13E+017,https://twitter.com/WPTV/status/913406573455773698,,,
#NeedMoreBananas !,7,0,502,0.8901235079,47221,PhotogEricP,,9/7/17,9/7/2017 0:00,9:42:00 AM,0,2,,,,,,#NeedMoreBananas,9.06E+017,https://twitter.com/PhotogEricP/status/905788284579794946,,,
Just in--Comcast offering free Xfinity WiFi @WPTV,8,0,504,0.9404184904,50445,RSteinWPTV,,9/8/17,9/8/2017 0:00,11:27:00 AM,1,0,,,,,@WPTV,,9.06E+017,https://twitter.com/RSteinWPTV/status/906177295383134208,,,
@BBPD great job catching Boynton Beach robbery suspect. @CBS12 thanks for making me aware.,14,0,508,0.611356511,36493,loyalangel32,,9/22/17,9/22/2017 0:00,12:02:00 PM,0,0,,,,,@BBPD @CBS12,,9.11E+017,https://twitter.com/loyalangel32/status/911259472143798272,,,
the rest of the team should refuse to visit in solidarity.,15,0,522,0.038113539,17973,DJFrustration,,9/23/17,9/23/2017 0:00,2:49:00 PM,1,2,,,,,,,9.12E+017,https://twitter.com/DJFrustration/status/911663871575945217,,,
"I did not VOTE for u on both occasions, but U are doing an OUTSTANDING JOB! I like what I see!",9,0,540,0.9514620377,37736,Manzanares305,,9/8/17,9/8/2017 0:00,11:09:00 AM,0,4,,,,,,,9.06E+017,https://twitter.com/Manzanares305/status/906172665513345025,,,
WATCH LIVE: @lizquirantes hosts #DangerOnDuty Town Hall. Watch on @CBS12 â€™s Facebook Page: https:// facebook.com/CBS12News/ pic.twitter.com/tjlWtQqZTZ,14,0,584,0.3813131399,9606,BrittanyCBS12,,9/26/17,9/26/2017 0:00,7:04:00 PM,0,0,,,,,@lizquirantes @CBS12,#DangerOnDuty,9.13E+017,https://twitter.com/BrittanyCBS12/status/912815055640649740,,,
"Yea if they were doing this in a neighborhood which I'm sure some will, I would be locked and loaded",6,0,590,0.1810701862,50709,ryan_la_sports7,,9/10/17,9/10/2017 0:00,5:42:00 PM,0,3,,,,,,,9.07E+017,https://twitter.com/ryan_la_sports7/status/906996342614056966,,,
Houston Strong due to help from all across America. Thanks Tampa for jumping in. #TampaProud,7,0,597,0.7278958596,49723,rmderenzo813,,9/1/17,9/1/2017 0:00,7:42:00 AM,0,1,,,,,,#TampaProud,9.04E+017,https://twitter.com/rmderenzo813/status/903583865738055681,,,
@wsvn isnt normandy north miami beach,14,0,602,0.1355032984,38852,mauricefemenias,,9/9/17,9/9/2017 0:00,1:54:00 PM,0,0,,,,,@wsvn,,9.07E+017,https://twitter.com/mauricefemenias/status/906576569073795075,,,
I believe it is channel 43,14,0,640,0.8274280136,38765,MattLincolnTV,,9/10/17,9/10/2017 0:00,2:09:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/MattLincolnTV/status/906942722145181697,,,
But it was great to see! Love it. Thank you for all you do.,11,0,654,0.3182631213,13851,ChristianneGen3,,9/15/17,9/15/2017 0:00,5:58:00 PM,0,2,,,,,,,9.09E+017,https://twitter.com/ChristianneGen3/status/908812366594367488,,,
@CBS12 Cant u plz show ANYTHING SOUTH PBC THIS IS ALL WAY NORTH..Keep using battery see what's going on.. EVERY THING UP NORTH,14,0,672,0.4221498803,29051,Jcoccia0184,,9/10/17,9/10/2017 0:00,3:05:00 PM,0,0,,,,,@CBS12,,9.07E+017,https://twitter.com/Jcoccia0184/status/906956867011833858,,,
Another opinion that doesnâ€™t matter. Plenty of work being done. Problem is with the roads being inaccessible.,3,0,724,0.6292329469,58391,Tree0819,,9/29/17,9/29/2017 0:00,10:31:00 AM,0,2,,,,,,,9.14E+017,https://twitter.com/Tree0819/status/913773257668665344,,,
"Rich people don't flood baseball stadiums, it's middle income if you have it in abundance. This area doesn't have that, lacks corp support.",6,0,727,0.8412201301,48557,rayguy3,,9/6/17,9/6/2017 0:00,12:56:00 AM,0,0,,,,,,,9.05E+017,https://twitter.com/rayguy3/status/905293707607515136,,,
"RT @10NewsWTSP Comcast to open more than 137,000 free wi-fi hotspots across Florida https:// tampanews.co/comcast-to-ope n-more-than-137000-free-wi-fi-hotspots-across-florida/ â€¦ #Pet pic.twitter.com/NbTuspjSsm",8,0,740,0.0893056694,56160,Tampa_Live,,9/7/17,9/7/2017 0:00,10:00:00 AM,0,1,,,,,@10NewsWTSP,#Pet,9.06E+017,https://twitter.com/Tampa_Live/status/905792953448361984,,,
And @fdot shuts down express lanes for almost any reason during rush hour. They are frauds and charge an arm and a leg.,9,0,749,0.2600969953,19424,El_Kuki,,9/29/17,9/29/2017 0:00,8:38:00 AM,0,0,,,,,@fdot,,9.14E+017,https://twitter.com/El_Kuki/status/913744823433285632,,,
"Hey @wctv , one of your cars rode my bumper and was going at least 85 on I-10. Bad example to the community. Have a pic if interested.",14,0,760,0.9359149816,61580,whittles1387,,9/25/17,9/25/2017 0:00,4:56:00 PM,0,0,,,,,@wctv,,9.12E+017,https://twitter.com/whittles1387/status/912420611384909824,,,
You can't open the windows,6,0,802,0.4362003239,32423,KarenZeedyk,,9/10/17,9/10/2017 0:00,2:16:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/KarenZeedyk/status/906944516804018178,,,
Who cares about mar a crap,9,0,810,0.4606626809,17182,deborahc613,,9/7/17,9/7/2017 0:00,6:42:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/deborahc613/status/905924174593613828,,,
"@FOX13News Rick Scott, make Duke bury the lines and it wouldn't be this bad next time! Rest of US mandates it. Why doesn't Florida?",9,0,824,0.0015157067,15833,CummingsBenj,,9/12/17,9/12/2017 0:00,11:34:00 PM,0,0,,,,,@FOX13News,,9.08E+017,https://twitter.com/CummingsBenj/status/907809733016522753,,,
. @wptvTRAFFIC ALERT @wptv @Fox29WFLX https:// twitter.com/stluciesheriff /status/776003370272165888 â€¦,2,0,833,0.9838839207,5421,AndrewRuizWPTV,,9/14/16,9/14/2016 0:00,6:28:00 AM,1,0,,,,,@wptvTRAFFIC @wptv @Fox29WFLX,,7.76E+017,https://twitter.com/AndrewRuizWPTV/status/776004564319436804,,,
Thanks Lloyd. I have been there year's ago while I attending Unif.Of Tampa. Wayne Alexander,11,0,839,0.5406918196,60498,WayneAl49348113,,9/26/17,9/26/2017 0:00,6:20:00 PM,0,0,,,,,,,9.13E+017,https://twitter.com/WayneAl49348113/status/912804163922403329,,,
If Walmart's closed...should've been here earlier,6,0,864,0.1171058237,12505,CBS12,,9/8/17,9/8/2017 0:00,3:49:00 PM,4,6,,,, says man in interview with @KUTV2News Chris Jones in Jupiter. #HurricaneIrma pic.twitter.com/jztvTsXxIe,,@KUTV2News,#HurricaneIrma,9.06E+017,https://twitter.com/CBS12/status/906243102112931842,,
Sadly young DACA kids being dumped. Am I illegal and being deported ? My family came here in 1820 and didn't sign in @wsvn @HelpMeHoward7,3,0,887,0.3208191143,46941,pfraser7,,9/5/17,9/5/2017 0:00,11:30:00 AM,0,1,,,,,@wsvn @HelpMeHoward7,,9.05E+017,https://twitter.com/pfraser7/status/905090657408229376,,,
I just called and they said they only had 1 person & the manager (?) at Rawlings in GNV. They need people for at least 4 hr shifts.,6,0,912,0.6126825632,34059,KristenSauby,,9/10/17,9/10/2017 0:00,7:12:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/KristenSauby/status/906837702464720896,,,
And water. Batteries too.,11,0,925,0.9427098282,10138,Caffeinefreak,,9/8/17,9/8/2017 0:00,1:36:00 AM,0,1,,,,,,,9.06E+017,https://twitter.com/Caffeinefreak/status/906028444663726081,,,
some news from Lower Keys trickling in https:// twitter.com/SuttaCBSMiami,3,0,974,0.3786529048,25343,grits116,,9/11/17,9/11/2017 0:00,12:32:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/grits116/status/907280759043522562,,,
@wsvn just 5 min N or GB in 3 islands; you might want a report about how confident we are & are staying; 921 NE 27 Ave im happy to interview,6,0,982,0.4957193785,42633,mythic_e_media,,9/9/17,9/9/2017 0:00,4:35:00 AM,0,0,,,,,@wsvn,,9.06E+017,https://twitter.com/mythic_e_media/status/906436008668999681,,,
"lowes, babies r us, home depot, if you cant find water use empty milk jugs and juice bottles. empty them, rinse them out, and fill them.",1,0,1005,0.9339368628,27900,itsjustagorilla,,9/6/17,9/6/2017 0:00,8:49:00 AM,0,1,,,,,,,9.05E+017,https://twitter.com/itsjustagorilla/status/905412561599942656,,,
"true news:MD acting #inhumane ! @rickscott @governor Bed bound people call 911 to be picked up, told ambulance will b sent out NEVER SHOWING",9,0,1007,0.0290279246,41111,Mnkygrl0384,,9/9/17,9/9/2017 0:00,10:53:00 AM,0,0,,,,,@rickscott @governor,#inhumane,9.07E+017,https://twitter.com/Mnkygrl0384/status/906531135840284672,,,
"Meh - there's 6 of water on the road. That's NOT flooding; they get that from a good rainstorm.""",6,0,1010,0.296898532,57604,tickerguy,,9/10/17,9/10/2017 0:00,1:09:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/tickerguy/status/906927636261240832,,,
Cut down these damn trees Tally,6,0,1012,0.5023074212,34023,Kris_Denese,,9/11/17,9/11/2017 0:00,5:45:00 AM,0,0,,,,,,,9.07E+017,https://twitter.com/Kris_Denese/status/907178280771612672,,,
"Honestly, I have no idea. We are based in Sarasota for the week. So just south of Tampa",6,0,1014,0.0097367337,33312,KevinWAFB,,9/13/17,9/13/2017 0:00,8:08:00 PM,0,0,,,,,,,9.08E+017,https://twitter.com/KevinWAFB/status/908120186015944705,,,
@wsvn hope y'all 100% ready,14,0,1024,0.659981267,27552,InkCudii,,9/6/17,9/6/2017 0:00,9:31:00 PM,0,0,,,,,@wsvn,,9.06E+017,https://twitter.com/InkCudii/status/905604422587338752,,,
For the effected areas. Which is Dade and Broward with Monroe being completely devestated.,6,0,1055,0.0100356774,36938,Lunaneko514,,9/11/17,9/11/2017 0:00,9:10:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/Lunaneko514/status/907411090849636353,,,
Hi Eric - I work for NBC in Philly- would you allow us use of this photo across NBC partners/platforms? (since you're NBC too?),14,0,1064,0.3746254529,56592,telesara,,9/12/17,9/12/2017 0:00,1:52:00 PM,0,0,,,,,,,9.08E+017,https://twitter.com/telesara/status/907663174429757443,,,
GREAT JOB,11,0,1066,0.1110485231,15172,courierbat,,9/9/17,9/9/2017 0:00,6:20:00 PM,1,3,,,,,,,9.07E+017,https://twitter.com/courierbat/status/906643387281002496,,,
"It's with mixed emotions to say that today is my last day at @WPTV . Now, onto my next adventure! pic.twitter.com/EWkhRElD4b",14,0,1082,0.6038516155,6916,AustinKTNV,,9/13/17,9/13/2017 0:00,3:37:00 PM,0,17,1,,,,@WPTV,,9.08E+017,https://twitter.com/AustinKTNV/status/908052094372007941,,,
Found and in the hospital! Thatâ€™s for working so quickly SRQ!,6,0,1084,0.9003728468,35205,lexi_j_smith,,9/27/17,9/27/2017 0:00,6:30:00 AM,0,1,,,,,,,9.13E+017,https://twitter.com/lexi_j_smith/status/912987806397554689,,,
I just got my free cup of coffee at Wawa gas station. Asleep online to pay and the lady said it's free! What a way to start Friday,6,0,1085,0.5768466065,42087,MykingRichard1,,9/29/17,9/29/2017 0:00,7:21:00 AM,0,3,,,,,,,9.14E+017,https://twitter.com/MykingRichard1/status/913725350940745728,,,
Wow! Thank you so much ! We are humbled to have met such wonderful people today in Texas ! And knowing that we could help some families!,11,0,1091,0.407051027,15558,CsChargers_,,9/3/17,9/3/2017 0:00,10:33:00 PM,0,2,,,,,,,9.05E+017,https://twitter.com/CsChargers_/status/904532910568591362,,,
Good Afternoon to Anchor @ShyannMalone @WPLGLocal10 #Great Smile and public personality for TV. Professional!!!,14,0,1097,0.1285226223,37959,marieaurelus67,,9/28/17,9/28/2017 0:00,5:31:00 PM,0,1,,,,,@ShyannMalone @WPLGLocal10,#Great,9.14E+017,https://twitter.com/marieaurelus67/status/913516448349335552,,,
Great job by everyone and thank you for sharing#Please continue doing well by educating the public#2 their surroundings while dinning out.,14,0,1100,0.3127849842,38006,marieaurelus67,,9/18/17,9/18/2017 0:00,6:45:00 PM,1,1,,,,,,#Please #2,9.1E+017,https://twitter.com/marieaurelus67/status/909911176481529857,,,
yes to local news all night?,14,0,1102,0.5705372027,291,_smoakqueen,,9/11/17,9/11/2017 0:00,6:20:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/_smoakqueen/status/907368169098096649,,,
"Born and raised here, 37 years. So I've seen my fair share. Don't get me wrong though, forecasting has gotten much better. But just use....1",14,0,1123,0.0716711033,29841,jfb880,,9/8/17,9/8/2017 0:00,10:13:00 PM,0,1,,,,,,,9.06E+017,https://twitter.com/jfb880/status/906339743901863937,,,
That's amazing news!!! Soak up some A/C for me! @CBS12 https:// twitter.com/bocalegend/sta tus/908251693636358144 â€¦,14,0,1124,0.6976696365,19900,Eric_Roby,,9/14/17,9/14/2017 0:00,10:09:00 AM,1,1,,,,,@CBS12,,9.08E+017,https://twitter.com/Eric_Roby/status/908331884618420224,,,
Boycott!!! @LuLaRoe @FOX13News @10NewsWTSP @ABC,14,0,1128,0.6425685456,27158,IBMello813,,9/22/17,9/22/2017 0:00,6:09:00 PM,0,0,,,,,@LuLaRoe @FOX13News @10NewsWTSP @ABC,,9.11E+017,https://twitter.com/IBMello813/status/911351698043686914,,,
Somewhat disturbing to hear children's voices in the background.,6,0,1142,0.54393924,45291,nycWeatherGuy,,9/10/17,9/10/2017 0:00,11:54:00 AM,0,5,,,,,,,9.07E+017,https://twitter.com/nycWeatherGuy/status/906908862716026881,,,
"Why this careful racing community didnt move 1 on 7000 greyhounds Does it cost Too much ? Hope they all be safe ,obviously trainers too.",1,0,1145,0.0748479533,46877,PetLevrieri,,9/10/17,9/10/2017 0:00,5:51:00 PM,3,1,,,,,,,9.07E+017,https://twitter.com/PetLevrieri/status/906998540840456193,,,
No one learned shit from the tsunamis.,6,0,1157,0.9923401196,31201,Joosef,,9/10/17,9/10/2017 0:00,5:22:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/Joosef/status/906991361752100864,,,
Belkis from @wsvn just said ratchet tie downs go ahead girl!! #irma,14,0,1176,0.2291765799,60143,WaitWhichCaro,,9/9/17,9/9/2017 0:00,2:29:00 PM,0,0,,,,,@wsvn,#irma,9.07E+017,https://twitter.com/WaitWhichCaro/status/906585264268640258,,,
"Hi, I work for AccuWeather. Would you give us permission to use this video in our syndicated news coverage w/credit to you? Stay safe!",14,0,1181,0.601207257,23515,freyd0g,,9/10/17,9/10/2017 0:00,10:52:00 AM,1,0,,,,,,,9.07E+017,https://twitter.com/freyd0g/status/906893224383582213,,,
"pets are the best friend you will ever have,they just want to be loved,& taken care of,they give you so much love in return.they are family",6,0,1215,0.6216957245,25990,heatherlspurge3,,9/11/17,9/11/2017 0:00,12:35:00 PM,0,1,,,,,,,9.07E+017,https://twitter.com/heatherlspurge3/status/907281569534156805,,,
Good luck Austin! Thanks for your hard work! I'm sure you'll boomerang back!,11,0,1224,0.7671425907,5313,AndrewRuizWPTV,,9/13/17,9/13/2017 0:00,5:39:00 PM,0,1,,,,,,,9.08E+017,https://twitter.com/AndrewRuizWPTV/status/908082855842115584,,,
Wellington is feeling the effects of feeder bands. https:// twitter.com/WandaMooreWPTV /status/906673679836348416 â€¦,3,0,1237,0.3737069787,64898,WPTV,,9/9/17,9/9/2017 0:00,9:02:00 PM,4,8,,,,,,,9.07E+017,https://twitter.com/WPTV/status/906684232713605120,,,
Almost showtime! @news6wkmg #HeaddressBall #florida #orlando pic.twitter.com/34bKl05RW9,14,0,1245,0.5488007634,58584,TroyLeeCampbell,,9/23/17,9/23/2017 0:00,8:18:00 PM,0,3,1,,,,@news6wkmg,#HeaddressBall #florida #orlando,9.12E+017,https://twitter.com/TroyLeeCampbell/status/911746502070071296,,,
"I95SB near 10th Ave backed up. Looks like the left lane is shutdown ahead, I see flashing lights @CBS12 pic.twitter.com/y3mU8oJ34S",6,0,1250,0.5819458687,31206,joProducerrr,,9/29/17,9/29/2017 0:00,11:18:00 AM,2,4,1,,,,@CBS12,,9.14E+017,https://twitter.com/joProducerrr/status/913785020749402113,,,
Grady could care less about racial injustice. Sure he agrees with the Roy Moore agenda. #TakeAKnee,9,0,1251,0.4879448284,47445,Pjdogster1,,9/28/17,9/28/2017 0:00,8:11:00 PM,0,0,,,,,,#TakeAKnee,9.14E+017,https://twitter.com/Pjdogster1/status/913556814507200512,,,
@LuliOrtizTV @CBS12 Smart Move putting Luli Ortiz on the anchor desk. She's got the IT Factor!! Good Luck Luli!!,14,0,1253,0.6179890638,8189,Bigbillcarguy,,9/16/17,9/16/2017 0:00,5:34:00 AM,0,2,,,,,@LuliOrtizTV @CBS12,,9.09E+017,https://twitter.com/Bigbillcarguy/status/908987524340740096,,,
I hear ya. Would be lying if I said I didn't have the same flashbacks. But all indications are west coast of Fla. will be the strike zone.,6,0,1271,0.3450031981,16999,DCMonteverde,,9/9/17,9/9/2017 0:00,8:23:00 AM,0,1,,,,,,,9.06E+017,https://twitter.com/DCMonteverde/status/906493141703938048,,,
This does not look good,6,0,1289,0.6306359657,34883,LBisogne,,9/4/17,9/4/2017 0:00,9:20:00 AM,0,0,,,,,,,9.05E+017,https://twitter.com/LBisogne/status/904695759257210881,,,
It might help if they gave it in probabilities. For every 1000 people still staying in the Keys,6,0,1292,0.6156021281,30155,jientho,,9/9/17,9/9/2017 0:00,2:11:00 PM,0,1,,,," we expect about 10 deaths from Irma.""""",,,,9.07E+017,https://twitter.com/jientho/status/906580854545281025,,
